,taxa,stat,est,lower,median,upper,name
0,Mmd_ira,Sb_est,0.22613757598,0.0061067715825,0.070519689165,41.8205173149,Mmd_ira
1,Mmd_ira,pa_est,0.00252601517,0.00010836118675,0.000922077,0.00495785556425,Mmd_ira
2,Mmd_ira,b,0.06496847889,0.0609845422735,0.06518455605,0.10851528696,Mmd_ira
3,Mmd_ira,S_d,-200.14146007,-304.563830471,-192.421092035,-38.6045660956,Mmd_ira
4,Mmd_ira,alpha_dfe,0.004591,0.000175975,0.001548,0.099523825,Mmd_ira
5,Mmd_ira,alpha_div,0.013379,0.008322975,0.0105225,0.099642175,Mmd_ira
0,Mmd_fra,Sb_est,0.02614636857,0.001518038966,0.097520447685,31.8038843328,Mmd_fra
1,Mmd_fra,pa_est,0.00156738511,0.00014010185375,0.004319532225,0.025976501792,Mmd_fra
2,Mmd_fra,b,0.06094748965,0.041602348429,0.061462204635,0.0797920474067,Mmd_fra
3,Mmd_fra,S_d,-277.37996784,-10597.1985786,-270.5124273,-93.7528043596,Mmd_fra
4,Mmd_fra,alpha_dfe,0.00256,0.000225825,0.0085985,0.06408555,Mmd_fra
5,Mmd_fra,alpha_div,0.004506,0.002249775,0.010543,0.06400625,Mmd_fra
0,Mmm_cze,Sb_est,0.03315324454,0.00089610504,0.044056465925,0.104794174651,Mmm_cze
1,Mmm_cze,pa_est,0.00235846516,0.00012401194625,0.00258333522,0.00540823638525,Mmm_cze
2,Mmm_cze,b,0.06435584792,0.0599597665338,0.06464718362,0.0689440695067,Mmm_cze
3,Mmm_cze,S_d,-200.38941114,-320.035301279,-196.196798275,-130.915500107,Mmm_cze
4,Mmm_cze,alpha_dfe,0.003873,0.000200475,0.00427,0.009186175,Mmm_cze
5,Mmm_cze,alpha_div,0.003485,-0.0003004,0.0038355,0.00885965,Mmm_cze
0,Mmm_afg,Sb_est,44.9969186546,1.52412024721,42.5077904352,54.2873136828,Mmm_afg
1,Mmm_afg,pa_est,0.00165250784,0.0013137351785,0.00177714546,0.03254295236,Mmm_afg
2,Mmm_afg,b,0.0880854376,0.046948433032,0.08788620895,0.0975305658113,Mmm_afg
3,Mmm_afg,S_d,-158.73205011,-14280.9223354,-162.27612867,-107.594878276,Mmm_afg
4,Mmm_afg,alpha_dfe,0.120668,0.0931293,0.121197,0.13873765,Mmm_afg
5,Mmm_afg,alpha_div,0.12074,0.095154275,0.121295,0.13863615,Mmm_afg
0,Mmm_kaz,Sb_est,0.1180706151,2.176875025e-05,0.02375909881,0.174996866703,Mmm_kaz
1,Mmm_kaz,pa_est,0.00512650991,4.7823095e-06,0.001362918385,0.0068534212145,Mmm_kaz
2,Mmm_kaz,b,0.09140205115,0.0863527723035,0.09105160628,0.0961784734992,Mmm_kaz
3,Mmm_kaz,S_d,-33.300432755,-41.8277153143,-33.0523793595,-26.5711092516,Mmm_kaz
4,Mmm_kaz,alpha_dfe,0.008827,7.975e-06,0.002239,0.012141025,Mmm_kaz
5,Mmm_kaz,alpha_div,0.009607,0.000484575,0.0030035,0.012793175,Mmm_kaz
0,Ms,Sb_est,0.16338470234,0.00639476517,0.143931059425,2.42930752043,Ms
1,Ms,pa_est,0.00241029416,0.00016224202475,0.00214303667,0.013663122534,Ms
2,Ms,b,0.05363203727,0.0356597274852,0.05263042151,0.0653536944427,Ms
3,Ms,S_d,-710.2905956,-50000.0,-840.595645465,-453.569506979,Ms
4,Ms,alpha_dfe,0.004216,0.00026295,0.0037365,0.039798675,Ms
5,Ms,alpha_div,0.006852,0.002278575,0.005821,0.0349397,Ms
0,Mmc,Sb_est,16.7003998393,4.89013249105,7.37529751396,50.0099669849,Mmc
1,Mmc,pa_est,0.00789360967,0.0024397753825,0.020504239065,0.0337666281562,Mmc
2,Mmc,b,0.11112136762,0.103990949109,0.12155705283,0.131882885582,Mmc
3,Mmc,S_d,-92.967594604,-110.482220948,-79.2119813205,-67.9006571221,Mmc
4,Mmc,alpha_dfe,0.209499,0.190183725,0.24445,0.278980225,Mmc
5,Mmc,alpha_div,0.20943,0.190041575,0.244574,0.279124625,Mmc
0,Mmd_ger,Sb_est,0.19295061105,0.0009026249005,0.072177886235,0.495750764438,Mmd_ger
1,Mmd_ger,pa_est,0.00867979337,9.9992281e-05,0.003749578705,0.0105854841575,Mmd_ger
2,Mmd_ger,b,0.06479627308,0.0577635176355,0.063864878535,0.0712848116627,Mmd_ger
3,Mmd_ger,S_d,-202.33659782,-436.659057346,-209.124597545,-123.641491749,Mmd_ger
4,Mmd_ger,alpha_dfe,0.015429,0.000160925,0.006606,0.030058975,Mmd_ger
5,Mmd_ger,alpha_div,0.017083,0.00166165,0.008165,0.0301675,Mmd_ger
