taxa,statistic,value,lower,upper
Mmc,sites,1.540414,1.540414,1.540414
Mmc,pi,0.5899111332544712,0.580875682953331,0.5982024508577344
Mmc,tajima,-0.6197779941572502,-0.6408338409544243,-0.5942758671005035
Mmc,xsi,0.7739336129845805,0.7703787264315494,0.7782769848823036
Mmc,div,1.9732358677602253,1.9520381248823442,1.9998050130158584
Mmd_fra,sites,1.598944,1.598944,1.598944
Mmd_fra,pi,0.1977060067978199,0.19227538160996402,0.20497828679717872
Mmd_fra,tajima,0.3875024051020543,0.3342113955772461,0.43966973811974464
Mmd_fra,xsi,0.7793791303485484,0.7730502003462518,0.784146900652658
Mmd_fra,div,2.335103324193968,2.3136871565596016,2.355258446928384
Mmd_ger,sites,1.601066,1.601066,1.601066
Mmd_ger,pi,0.19252433482858713,0.1883178296787871,0.19772230048651757
Mmd_ger,tajima,0.46130285349563455,0.39273949449530726,0.5082340268961945
Mmd_ger,xsi,0.7784324936216622,0.7718940206231252,0.784427994592496
Mmd_ger,div,2.3458121898784934,2.3225094441725735,2.3690571140233048
Mmd_ira,sites,1.601932,1.601932,1.601932
Mmd_ira,pi,0.29141530352099837,0.28542471903260286,0.29732155232374524
Mmd_ira,tajima,-0.25549356511022114,-0.2933473975625697,-0.21552608346063398
Mmd_ira,xsi,0.7862052111742686,0.7812604682448573,0.7900032316778444
Mmd_ira,div,2.2479108302349915,2.2178087038383842,2.2730826435098597
Mmm_afg,sites,1.5885870000000002,1.5885870000000002,1.5885870000000002
Mmm_afg,pi,0.242772445900131,0.23672347092112417,0.24816181475651633
Mmm_afg,tajima,-0.22664119217144532,-0.26761380565877,-0.17008617241114196
Mmm_afg,xsi,0.7953830041800359,0.7912107207042882,0.8003772097808229
Mmm_afg,div,2.3158314420299293,2.28542489993258,2.3447330468260934
Mmm_kaz,sites,1.563692,1.563692,1.563692
Mmm_kaz,pi,0.20282819975630328,0.19818373692705882,0.20953837368404174
Mmm_kaz,tajima,0.33840490861270217,0.28475684575995336,0.3963316726269262
Mmm_kaz,xsi,0.7825874248554979,0.7757631270296358,0.7859608820253277
Mmm_kaz,div,2.3736772597161075,2.349026087365685,2.3950527204485867
Ms,sites,1.594773,1.594773,1.594773
Ms,pi,0.32052785359839087,0.31503575924483684,0.32880968561525753
Ms,tajima,0.4852322278789377,0.4392948154059333,0.525905242946046
Ms,xsi,0.771087071676191,0.7675882395564443,0.7748455074477912
Ms,div,2.3240925522315714,2.2990464954640846,2.3480460417517226
