taxa,statistic,value,lower,upper
Mmc,sites,10.424334,10.424334,10.424334
Mmc,pi,0.12760774831981445,0.12475288076397842,0.1311358191811622
Mmc,tajima,-0.8204284339575414,-0.8492017860118237,-0.7957633693887614
Mmc,xsi,0.777058574029869,0.7730960956579013,0.7808191425621088
Mmc,div,0.4627633117185232,0.4550019692474128,0.47477259852432513
Mmd_fra,sites,10.7836,10.7836,10.7836
Mmd_fra,pi,0.05977386957973218,0.05750543015723192,0.06286254702546264
Mmd_fra,tajima,0.2884198043269137,0.22870384528554746,0.343519822686203
Mmd_fra,xsi,0.7726642196087959,0.7678759793442623,0.7782791431941157
Mmd_fra,div,0.5259560624744983,0.5152748489357653,0.5390011754975469
Mmd_ger,sites,10.791535,10.791535,10.791535
Mmd_ger,pi,0.05687621516926617,0.05455139223375774,0.05974340561573279
Mmd_ger,tajima,0.2279279079869749,0.16410106181523043,0.2902440965321054
Mmd_ger,xsi,0.7771416429334397,0.7722762883068511,0.7817572804372824
Mmd_ger,div,0.5272095070256455,0.5151495903353067,0.538726906191484
Mmd_ira,sites,10.801004,10.801004,10.801004
Mmd_ira,pi,0.07858605860467542,0.07596653170770225,0.08156833380985812
Mmd_ira,tajima,-0.4341763028186694,-0.4696536217175468,-0.3973198975421676
Mmd_ira,xsi,0.782510543936654,0.7779108999126564,0.787913740525152
Mmd_ira,div,0.510008147724045,0.4977095068754546,0.5224971853772336
Mmm_afg,sites,10.658404999999998,10.658404999999998,10.658404999999998
Mmm_afg,pi,0.07334416530257748,0.07144460366452221,0.07661247742299888
Mmm_afg,tajima,-0.26651430630474393,-0.29993904409234967,-0.21740318270626297
Mmm_afg,xsi,0.784835012403609,0.7810614371835745,0.7891472899861806
Mmm_afg,div,0.5198620099630292,0.5097832143767033,0.5304299013046714
Mmm_cze,sites,21.565332,21.565332,21.565332
Mmm_cze,pi,0.06484180257461375,0.06270563276627268,0.06691552267718062
Mmm_cze,tajima,0.4280484067346908,0.37611254947923,0.4764709593385065
Mmm_cze,xsi,0.7860580420032405,0.7800741548523837,0.7909391591657441
Mmm_cze,div,0.5275967842600338,0.5160368863681847,0.5404208155937584
Ms,sites,10.734223999999998,10.734223999999998,10.734223999999998
Ms,pi,0.09510041589095466,0.09180398217677752,0.0985385792401461
Ms,tajima,0.4914969050524555,0.4365052419123866,0.5340691236572707
Ms,xsi,0.7704983980124228,0.7663130059129827,0.7744111718830505
Ms,div,0.5258041635892824,0.5185441264748311,0.5415182799760215
