,taxa,stat,est,lower,median,upper,name
0,Mmd_fra,Sb_est,0.04337191107,0.000617772852,0.06851660911999999,0.2130822452254995,Mmd_fra
1,Mmd_fra,pa_est,0.00012267543,7.905819599999999e-05,0.00051708252,0.22403698776575,Mmd_fra
2,Mmd_fra,b,0.20192277190000002,0.18060144696125,0.20188742320999997,7.492404306561737,Mmd_fra
3,Mmd_fra,S_d,-724.31748026,-4174.620454874998,-757.783879875,-257.36480136849997,Mmd_fra
4,Mmd_fra,alpha_dfe,0.000585,0.0003662,0.002481,0.999999525,Mmd_fra
5,Mmd_fra,alpha_div,-0.008809,-0.013805875,-0.0053185,0.999999525,Mmd_fra
0,Mmm_cze,Sb_est,0.00014164241000000003,1.344636425e-05,0.000246857225,0.06693662771874995,Mmm_cze
1,Mmm_cze,pa_est,0.23294007035,3.46781305e-05,0.0005717051550000001,0.23615984939100002,Mmm_cze
2,Mmm_cze,b,8.164716507789999,0.21168320014949998,0.25499008434500003,8.1672637581005,Mmm_cze
3,Mmm_cze,S_d,-6382.2825064,-6468.5125971325,-253.010647525,-43.792939221725035,Mmm_cze
4,Mmm_cze,alpha_dfe,1.0,0.00015962500000000002,0.0026455,1.0,Mmm_cze
5,Mmm_cze,alpha_div,1.0,-0.023868875,-0.01715,1.0,Mmm_cze
0,Mmd_ira,Sb_est,0.20105710889000003,0.06539571811125,0.20422796784000002,74.81154149787741,Mmd_ira
1,Mmd_ira,pa_est,0.00197488732,0.0002342260245,0.001858632785,0.008859907745499995,Mmd_ira
2,Mmd_ira,b,0.13308265417,0.12572218541,0.1364119633,0.16362323237325,Mmd_ira
3,Mmd_ira,S_d,-26929.173508999997,-49820.72773695,-20504.601597999997,-5764.614130342505,Mmd_ira
4,Mmd_ira,alpha_dfe,0.010225,0.002606,0.0115265,0.09592512499999996,Mmd_ira
5,Mmd_ira,alpha_div,0.012602,-0.00056225,0.014020500000000002,0.09872625,Mmd_ira
0,Ms,Sb_est,0.10729838829,0.0334712087995,0.093127757685,0.18054734774974984,Ms
1,Ms,pa_est,0.00154831635,0.0005345962414999999,0.001554213875,0.0032733012567499964,Ms
2,Ms,b,0.15509158684,0.1301919894195,0.15369372035999998,0.17427753486025002,Ms
3,Ms,S_d,-5146.419113600001,-25100.759595125,-5830.76375315,-1862.8484455625,Ms
4,Ms,alpha_dfe,0.007481999999999999,0.00251555,0.007393,0.01643199999999998,Ms
5,Ms,alpha_div,-0.015422,-0.02510645,-0.014087,-0.0022868750000000267,Ms
0,Mmm_afg,Sb_est,0.09777207,0.005656658479250001,0.08824671355000001,0.17544086004299994,Mmm_afg
1,Mmm_afg,pa_est,0.0012934163,4.29214355e-05,0.0010913867849999999,0.002506211989499998,Mmm_afg
2,Mmm_afg,b,0.18969845053,0.16555715495625,0.18854509503,0.20921208735999997,Mmm_afg
3,Mmm_afg,S_d,-1153.245713,-2991.5869433375,-1157.8596752,-612.1577105767501,Mmm_afg
4,Mmm_afg,alpha_dfe,0.006347,0.000202225,0.0053265,0.013070649999999986,Mmm_afg
5,Mmm_afg,alpha_div,-0.004204,-0.0133491,-0.006000999999999999,0.003677274999999984,Mmm_afg
0,Mmc,Sb_est,1.27355556799,0.33877435173375003,1.162256431515,2.879598202928747,Mmc
1,Mmc,pa_est,0.06458198573,0.025235363287,0.074188013395,0.18469145138575,Mmc
2,Mmc,b,0.18617976208,0.15647345466875,0.197781236225,0.97825417080675,Mmc
3,Mmc,S_d,-50044.583114,-90194.608533075,-48509.032587,-699.7113246325004,Mmc
4,Mmc,alpha_dfe,0.5423720000000001,0.37645895,0.5940445000000001,0.991119575,Mmc
5,Mmc,alpha_div,0.543609,0.377915375,0.5942135000000001,0.991174825,Mmc
0,Mmd_ger,Sb_est,0.08446790556,1.6744824750000002e-05,0.10090697489499999,13.738067554976391,Mmd_ger
1,Mmd_ger,pa_est,0.00040905271,0.0001283182525,0.0007080578849999999,0.22213745001525,Mmd_ger
2,Mmd_ger,b,0.24613294081,0.21290336034375001,0.24309494894,8.162105657192251,Mmd_ger
3,Mmd_ger,S_d,-233.45432724,-6352.0488330675,-262.788110425,-127.4923870405,Mmd_ger
4,Mmd_ger,alpha_dfe,0.00201,0.000634075,0.0035465,1.0,Mmd_ger
5,Mmd_ger,alpha_div,0.0019030000000000002,-0.00370165,0.0033995,1.0,Mmd_ger
