"","dist","sites","pi","pi_lower","pi_upper","theta_W","theta_W_lower","theta_W_upper","tajima","tajima_lower","tajima_upper","xsi","xsi_lower","xsi_upper","fwh","fwh_lower","fwh_upper","B","Bsmooth","map","lab"
"36",0.0593060052991097,47496907,0.00838695939093637,0.00837090232790698,0.00840075739099115,0.00866826433213985,0.00865302432652214,0.00867816512240494,-0.102780777555854,-0.107616763895191,-0.0989371351976729,0.752125103636892,0.751669298523469,0.753101090275708,0.00831779494738941,0.0082864226914916,0.00835040896555239,0.838695939093637,0.845204193407432,"castaneus - LD-based","CNEs"
"68",0.122129212862757,43787272,0.00844165465643598,0.00842410055779143,0.00846363794264957,0.00870397711965428,0.00868664996126756,0.00872215714770692,-0.0942548392380014,-0.099982430589188,-0.0885827733135984,0.751875151053927,0.751180471038597,0.752550268605978,0.00835605304086856,0.00832563312147592,0.00838657152762361,0.844165465643598,0.846981098999039,"castaneus - LD-based","CNEs"
"14",0.188678213907082,40740436,0.00848319555819888,0.00846348112612134,0.0085000618416939,0.00872359402658283,0.00870833943244684,0.00873670564501783,-0.0847455108849193,-0.0903255117111899,-0.0795177932479831,0.752438149096052,0.751619392136354,0.753177570398704,0.00844342240726343,0.00840793816556248,0.00847360831275873,0.848319555819888,0.848794997633561,"castaneus - LD-based","CNEs"
"58",0.259173970359991,38741965,0.00852765011916612,0.00850701594250009,0.00855033368578806,0.0087548602042183,0.00873879631331365,0.00877247442961261,-0.0788326711089295,-0.0844190662484673,-0.0727245286158913,0.751847058226652,0.750993108447512,0.752557780073415,0.0084765604471344,0.00843794088934654,0.00851773665503415,0.852765011916612,0.850638571361606,"castaneus - LD-based","CNEs"
"24",0.333850548518662,36897834,0.00855652487042232,0.00853849181485764,0.0085753607176077,0.00877849117828298,0.00876465516320136,0.00879190051726603,-0.0763744006914106,-0.0804340959095098,-0.0707916973621351,0.751524480443438,0.750680806419903,0.752227780229471,0.00848295550577936,0.00845032960150977,0.0085163537183343,0.855652487042232,0.852516469041238,"castaneus - LD-based","CNEs"
"60",0.41295589621733,36008633,0.00857338380550043,0.0085547249830416,0.00860215352342368,0.00879869402126592,0.00878338420599846,0.00881616098146648,-0.0775607342998496,-0.0832765749877355,-0.0712647421120403,0.752332311279333,0.751367425981277,0.753279177577618,0.00853178978904694,0.00849699148103913,0.00856608159349497,0.857338380550043,0.854434670519557,"castaneus - LD-based","CNEs"
"12",0.496752666085803,34093582,0.00860816194385327,0.00857682957502685,0.0086355578504696,0.00881586651150133,0.00879403987784219,0.0088352999928333,-0.070019017201283,-0.0765926314402944,-0.0650605266665773,0.7518489150381,0.751013863555021,0.752765922163112,0.00854893279399301,0.00850839103292796,0.00858420682263798,0.860816194385327,0.856385190771423,"castaneus - LD-based","CNEs"
"21",0.585519087632144,33273634,0.00860203322865553,0.00858406378936612,0.00862055424887647,0.00882415476004571,0.00880916032943546,0.00884245785335514,-0.0759570998736303,-0.079631349463339,-0.0696782449888187,0.751818031523149,0.75106721607156,0.75278582231936,0.00855180119061064,0.00851392085800676,0.00859210582999863,0.860203322865553,0.858349836769433,"castaneus - LD-based","CNEs"
"76",0.679549891045096,32237815,0.00862503068751618,0.00860360639318317,0.00865964443475268,0.00883030758792914,0.00881592780833108,0.00884709131570721,-0.0688641100810011,-0.0756291116911526,-0.0612894157318131,0.751279714788105,0.750287338940607,0.751948961168246,0.00858089815786022,0.00854444703310492,0.00861749591760784,0.862503068751618,0.860321540997795,"castaneus - LD-based","CNEs"
"26",0.779157285783535,31278360,0.00865606044223155,0.00862890095492092,0.00867328118115485,0.00885249391201095,0.00883704768614125,0.00887203326010565,-0.0649688031208269,-0.0709944599509912,-0.0598847786419047,0.752045302730525,0.751185783249951,0.75287494906431,0.0086222738177384,0.0085878229761877,0.00865946221161986,0.865606044223155,0.862311417886034,"castaneus - LD-based","CNEs"
