"","dist","sites","pi","pi_lower","pi_upper","theta_W","theta_W_lower","theta_W_upper","tajima","tajima_lower","tajima_upper","xsi","xsi_lower","xsi_upper","fwh","fwh_lower","fwh_upper","B","Bsmooth","map","lab"
"73",0.00394432,53440773,0.00828942051418306,0.00827292305274945,0.00831021942211259,0.00863015557591493,0.00861544418615548,0.00864681209090328,-0.128680903626851,-0.131259325812343,-0.124503537710516,0.752749976564988,0.752278134726775,0.753496806740616,0.00817821981301484,0.00815503516588269,0.00821306236662848,0.828942051418306,0.838991185716959,"Cox - Pedigree-based","CNEs"
"15",0.0657836,47496907,0.00838695939093637,0.00836642763103429,0.00840195791767654,0.00866826433213985,0.00865116760123445,0.00868027914733884,-0.102780777555854,-0.106867000056599,-0.098614443695535,0.752125103636892,0.751458567987914,0.752752409775256,0.00831779494738941,0.00828411786447096,0.00835055238276616,0.838695939093637,0.841147810968603,"Cox - Pedigree-based","CNEs"
"90",0.1429092,43787272,0.00844165465643598,0.00841950793764485,0.0084591591014999,0.00870397711965428,0.00868915848043472,0.00871742304549359,-0.0942548392380014,-0.0993925755232206,-0.0891714158915409,0.751875151053927,0.750961174609957,0.752578127715309,0.00835605304086856,0.00832859572593619,0.00838129904354809,0.844165465643598,0.843730064901456,"Cox - Pedigree-based","CNEs"
"48",0.255231,40740436,0.00848319555819888,0.00846276398079453,0.00850268749570757,0.00872359402658283,0.00870991649193671,0.00873733191561425,-0.0847455108849193,-0.0902118854025775,-0.0799927812799728,0.752438149096052,0.751833595592057,0.753138230910975,0.00844342240726343,0.00841284837787517,0.00847340053208729,0.848319555819888,0.847274036931794,"Cox - Pedigree-based","CNEs"
"80",0.2694105,38741965,0.00852765011916612,0.00850876541998949,0.00854649604830635,0.0087548602042183,0.00874085780686261,0.00877079822394354,-0.0788326711089295,-0.0836976532420636,-0.0724374672955398,0.751847058226652,0.751174132765717,0.752507778679011,0.0084765604471344,0.00844408424709346,0.00851022729975277,0.852765011916612,0.847703449305694,"Cox - Pedigree-based","CNEs"
"46",0.349374,36897834,0.00855652487042232,0.0085385095741815,0.00858051663439307,0.00877849117828298,0.00876240962638356,0.0087971820644577,-0.0763744006914106,-0.0820321377726906,-0.0705697516745273,0.751524480443438,0.75080664244007,0.752334357770586,0.00848295550577936,0.00845358151016368,0.00852650470533185,0.855652487042232,0.850066861890788,"Cox - Pedigree-based","CNEs"
"51",0.489621,36008633,0.00857338380550043,0.00855344906568169,0.00859388564158518,0.00879869402126592,0.00878392674264374,0.00881558818822548,-0.0775607342998496,-0.0817337849678629,-0.0716720074924002,0.752332311279333,0.751582135215981,0.753077455034362,0.00853178978904694,0.00848469132919054,0.00856747321485394,0.857338380550043,0.85398044311373,"Cox - Pedigree-based","CNEs"
"38",0.5072616,34093582,0.00860816194385327,0.00858499811260034,0.00863268538908,0.00881586651150133,0.00880130952935355,0.0088332199440012,-0.070019017201283,-0.0753482767890918,-0.0625445732919342,0.7518489150381,0.75104241653409,0.752651652216603,0.00854893279399301,0.00851244379866927,0.00858503483627602,0.860816194385327,0.854451807128634,"Cox - Pedigree-based","CNEs"
"19",0.640519,33273634,0.00860203322865553,0.00857911908986147,0.00862353942848268,0.00882415476004571,0.00880647690174191,0.00884434001172751,-0.0759570998736303,-0.0825106467312018,-0.0705142769925157,0.751818031523149,0.750961423928221,0.752693740656594,0.00855180119061064,0.00851528087260674,0.00858828316641445,0.860203322865553,0.85783413136877,"Cox - Pedigree-based","CNEs"
"93",0.70686,32237815,0.00862503068751618,0.00860697107346271,0.00864672055290011,0.00883030758792914,0.00881119625634427,0.00884746886852167,-0.0688641100810011,-0.0736041101926743,-0.062422225492196,0.751279714788105,0.750526741419356,0.751945397937078,0.00858089815786022,0.00854571236710067,0.00861544681879354,0.862503068751618,0.859408260496113,"Cox - Pedigree-based","CNEs"
"53",0.85077,31278360,0.00865606044223155,0.00863593242806809,0.00867687754090199,0.00885249391201095,0.00883291330854576,0.00886789722720249,-0.0649688031208269,-0.07077711749671,-0.058728838529159,0.752045302730525,0.750971554375643,0.753027260412406,0.0086222738177384,0.00858890424708041,0.00865276794885062,0.865606044223155,0.862600116789903,"Cox - Pedigree-based","CNEs"
"7",0.9581608,30493405,0.00864065806079333,0.00861542081624599,0.00866055397688435,0.00884213330616097,0.00882626255616956,0.00885938219012009,-0.0671654431088176,-0.0747844039405681,-0.0616508979358173,0.751447840366225,0.750716947713634,0.752662945868976,0.00858810310368583,0.00853664021782127,0.00862805601613158,0.864065806079333,0.864806281813837,"Cox - Pedigree-based","CNEs"
"29",1.044806,30046634,0.0086726273972815,0.00865411397101921,0.00869178788298337,0.00887308810320478,0.00885827143124942,0.00888776232395715,-0.066451291599726,-0.0714121850378631,-0.061664974972975,0.751854271578066,0.751010580346269,0.752500996269476,0.00863929309189909,0.00859754935667444,0.00867518440162901,0.86726273972815,0.866492061278326,"Cox - Pedigree-based","CNEs"
"5",1.1483839,29379846,0.00867670637697887,0.00865004091063157,0.00870606560259798,0.00885542636385919,0.00883432538229508,0.00887296053714328,-0.0575717987634689,-0.0645732134020838,-0.051083458831412,0.751371955518434,0.750571202842934,0.75218492278487,0.00866404385801458,0.008624480945126,0.00871551554584201,0.867670637697887,0.868318858056205,"Cox - Pedigree-based","CNEs"
"40",1.29616039,29021204,0.00870908451514785,0.00868015634089566,0.00873669401576571,0.00889079599246228,0.00887417439538222,0.00891208619354582,-0.0585156775250617,-0.0648997060282391,-0.0536050512157897,0.75060816209633,0.749753760282384,0.751518996312848,0.00864565053038813,0.00860670123849423,0.00868166169100215,0.870908451514785,0.870491321305058,"Cox - Pedigree-based","CNEs"
"64",1.4259014,28393016,0.00869784959995594,0.00867924539390698,0.00872842706061276,0.00887414329017589,0.00885738465905757,0.0088947407993162,-0.0564075972503169,-0.0613176623672446,-0.0501928568297776,0.750788867884671,0.749917826723455,0.751583605803078,0.00866531363105028,0.00862162897147473,0.00871341462345757,0.869784959995594,0.872067169094006,"Cox - Pedigree-based","CNEs"
"65",1.6296016,27885879,0.00873414053480075,0.00870833130599681,0.00875889707924398,0.00890584249636738,0.00888712263386982,0.00892639941196809,-0.0542474364804281,-0.0604294720984013,-0.0463113044863609,0.75200951630589,0.751161456802176,0.752999207458221,0.00872744982490666,0.00868384363623969,0.00876670996111142,0.873414053480075,0.874128223897011,"Cox - Pedigree-based","CNEs"
"76",1.7204967,27687104,0.00876755875299952,0.00874202224797836,0.0087979269900508,0.00893412270473532,0.00891667091516815,0.00895068972252792,-0.0519036787094667,-0.0577307306037939,-0.0459087652845553,0.750585478951166,0.749629746732541,0.75137343849292,0.00874641837232384,0.0086997230041551,0.00878878591859176,0.876755875299952,0.874958813908111,"Cox - Pedigree-based","CNEs"
"100",1.865388,27418011,0.00875336982701195,0.00872683812209087,0.00878236728507595,0.00892151293270245,0.00890287036120189,0.00894122010871726,-0.0526529251594439,-0.0591048040829695,-0.0460551700455759,0.750552130990405,0.749716052351321,0.751505591510785,0.00868620777809751,0.0086448825400452,0.00873257803269275,0.875336982701195,0.876266623069139,"Cox - Pedigree-based","CNEs"
"60",1.99206,26994435,0.00874579958303802,0.00871821764619451,0.00876851131082641,0.00892690930067936,0.00890938183488655,0.00894511262078774,-0.0579626686645925,-0.0654019401392726,-0.0511872268325703,0.751076376217848,0.750282477149083,0.752047865584033,0.00872397497892451,0.00868624724492596,0.00876586141860775,0.874579958303802,0.877297023799627,"Cox - Pedigree-based","CNEs"
