chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
u:4800-4900,-4850,0.008537886480447801,0.008272918702227816,0.03054458942046764,0.029552640641142033,0.1562915876733207,0.1533695436663223,672525,383316
u:8300-8400,-8350,0.008327782431036986,0.00801752696158924,0.031285278104592286,0.029951002973323843,0.15918909778554724,0.15871686419029274,209939,119395
u:3000-3100,-3050,0.008497953250385316,0.008118706788653155,0.030298776256733394,0.029100004251278927,0.15378299227776,0.14978976413499634,1745219,987938
d:5200-5300,5250,0.008476924535662681,0.008116666439897483,0.030115352555771663,0.029209253642881013,0.15553145530648646,0.15286859146137696,557855,317194
u:800-900,-850,0.008333910823250962,0.007915798196335725,0.030132114874543897,0.02881768541430376,0.15179375612400442,0.14721606776830246,11673326,6535917
d:8600-8700,8650,0.008229014641528427,0.007780934131617469,0.030211253638376224,0.029210936393256837,0.16053882810782993,0.15734995514001038,186553,105885
u:7000-7100,-7050,0.008336073410110747,0.008047421789920508,0.030505171146577068,0.02999750985922018,0.15805137022259555,0.15504890520671064,304768,172681
d:7700-7800,7750,0.00833864955768375,0.008066112642155709,0.030761515346380486,0.029574084755780584,0.15944947969117154,0.1575124441880835,247257,140427
u:2100-2200,-2150,0.008429512866568678,0.008132939833318004,0.03019717411559507,0.0290931549995492,0.1534734448780921,0.14957373625798148,3286334,1852257
d:4700-4800,4750,0.008633203529705978,0.008449069300942066,0.03009681683398235,0.02916490868543186,0.15532992747668894,0.15153295963675084,699775,398184
u:500-600,-550,0.008227525269823288,0.0077740664498240925,0.0301263042677728,0.028614354933298412,0.15117181121410114,0.1460366624885821,17594259,9835448
d:5700-5800,5750,0.008577931417242581,0.008263995071098583,0.03042755155300383,0.029802045657838446,0.1558864639637647,0.15308987671605803,452156,257130
u:1400-1500,-1450,0.008404024714484107,0.007987900610277822,0.030046175607744776,0.028757950586505578,0.1524121185054684,0.14812831977309238,6009883,3378996
d:100-200,150,0.0076584537322507,0.007113978810406198,0.02911763236817474,0.027308257006419378,0.14436890037837913,0.13743911344853427,39601022,22321637
u:7100-7200,-7150,0.008373774102788166,0.008216531641266784,0.030057657878435135,0.029464178925965794,0.15709899864534618,0.1545987322090659,293802,167220
u:4400-4500,-4450,0.008461526349454985,0.008162708169045602,0.03018847613098822,0.02885459349073539,0.15549750213110589,0.15201369071510168,798881,453446
d:800-900,850,0.008348417738629295,0.007908888538332406,0.030093976781260804,0.028719736137395587,0.15182076965665395,0.14714267268614056,11687887,6544315
u:6700-6800,-6750,0.00849033292772191,0.008213305709219408,0.029601595694313355,0.028673603828883332,0.1561819409189904,0.152289532413756,327381,185955
d:200-300,250,0.00788174162981159,0.007381886641497939,0.02960635476092861,0.02794173437061197,0.1475603885374124,0.14159778964771894,30357334,17049228
u:3300-3400,-3350,0.00858739383601203,0.008197747546482531,0.03037621116028591,0.029377152125244468,0.15529798629534564,0.15143946714981513,1462131,826799
d:6200-6300,6250,0.008492191666073252,0.00818036321385956,0.030398252481331916,0.02939050502570817,0.15672412546605663,0.15433083752710608,387292,219969
d:9500-9600,9550,0.008360420376364464,0.008259611583020835,0.030121496295528728,0.029786023218757115,0.15805528210973524,0.15594127020259504,154408,87860
u:2300-2400,-2350,0.00839947729612507,0.00802196998297537,0.03021953419461979,0.02916978309648467,0.15312443805393106,0.14894219014757762,2791638,1576323
d:4400-4500,4450,0.008409097217540953,0.008026166279180976,0.030322207991159998,0.029366381197027107,0.1536351992767272,0.15066960831561121,796380,452354
u:100-200,-150,0.007626823083876866,0.007086201608716242,0.029031941080946207,0.027168881117350985,0.14412636252528016,0.1372054865136439,39708988,22393966
u:2900-3000,-2950,0.008535266446167806,0.008202488468375351,0.030428108293793076,0.02924279413894587,0.15408087682761878,0.1500543829639804,1863080,1056397
u:6400-6500,-6450,0.008351063635079129,0.00811493620598236,0.030357068339569627,0.029718729950387157,0.15722969495486222,0.15501442347720895,359455,204181
u:5600-5700,-5650,0.008377347734643905,0.008134355227639414,0.030402299213327356,0.029271900306918612,0.15617945141207634,0.15293421587841585,475293,270430
d:7600-7700,7650,0.008319334290220493,0.007934584969063234,0.030388334101302192,0.02933347930508324,0.15862106351425131,0.15617152592937247,258257,146147
d:6100-6200,6150,0.008417286388993321,0.008095361529087354,0.030171271011188293,0.029041962872997124,0.15631036337330415,0.15312994451006173,396039,224365
u:1200-1300,-1250,0.008406546400731471,0.007984753145072812,0.03022883668356278,0.028884778506436486,0.15260488654266502,0.14823169842507325,7346462,4121271
d:1600-1700,1650,0.00843816671105365,0.00805989837161495,0.030162122888303743,0.028871537705257532,0.15258495125933833,0.1481974770763805,4990597,2810311
d:3800-3900,3850,0.008430401533231562,0.008152490264187504,0.030388703697876853,0.02912300198965899,0.15507335970223013,0.15153836000606186,1080566,613673
u:4300-4400,-4350,0.008514875483682726,0.008210061491305284,0.030066593955281308,0.029401249061740114,0.15536171138971916,0.15234622469311845,840767,478279
u:7900-8000,-7950,0.008385009613582536,0.008146981666289074,0.030212005472834154,0.02963799308446828,0.15936732611049956,0.15695591152510213,224381,127539
u:5100-5200,-5150,0.008433004594955253,0.008141497147678705,0.03071285485646041,0.029941730713966896,0.15599276486864627,0.15243563169898075,576078,327102
d:4100-4200,4150,0.008471327209579587,0.008188029783526068,0.030136626156573067,0.028953079524234114,0.15569212046169634,0.15316775364553833,943304,534969
u:8200-8300,-8250,0.008312553733902245,0.008213169860950404,0.03052185270011925,0.030236535814108716,0.15908746758531922,0.15651412122981936,211324,119855
d:7200-7300,7250,0.008496954245476055,0.00828387687348057,0.030479935651085886,0.028798285966349486,0.1577978371614979,0.1554099187094335,279725,158690
u:6500-6600,-6550,0.008250720967787319,0.008045795592719137,0.030600208753503975,0.02996357467192256,0.15738260444039634,0.1544184421935033,353527,200410
u:1700-1800,-1750,0.008475108167683678,0.008139958368696996,0.030181707134873722,0.02894203186243028,0.15320764157519534,0.14932604693344542,4564818,2569170
u:8700-8800,-8750,0.008397699569524082,0.008195986417916143,0.030906905736373676,0.02970127045896761,0.1600673466294203,0.15673762923963222,184716,104844
u:7400-7500,-7450,0.008387369468320928,0.008129802544809729,0.030480267719858904,0.02908223758709351,0.15891344327534745,0.15593568069488298,265352,150126
d:3700-3800,3750,0.008479786113245253,0.008166199201430569,0.030081855507537215,0.02905378095681356,0.15518693792870583,0.15146332949562746,1149098,653168
d:2700-2800,2750,0.008513473120559974,0.008222923319110103,0.030127281136775843,0.028949781298381157,0.153980364282667,0.1501834621827407,2116653,1197522
u:9100-9200,-9150,0.008607324723027202,0.008338771606392856,0.030130108642505336,0.029581248353963654,0.1591475558417707,0.15771398472478274,167706,94925
d:3500-3600,3550,0.008489191502402925,0.00809366763508529,0.030264818140203566,0.028924035300224953,0.15433683184004912,0.15082194151237238,1273591,722375
u:9800-9900,-9850,0.008397522211470559,0.008249089071264877,0.03016784240740614,0.02897660184582761,0.16089744028354624,0.15731704378418757,146149,82998
d:2400-2500,2450,0.008457103660370915,0.008121563787691797,0.03008574213668536,0.028895825236429588,0.15386692884381628,0.1499330655957162,2625197,1482048
d:9700-9800,9750,0.008751386070104025,0.008400319268353955,0.03043346718741405,0.029847139145670956,0.1596622476483855,0.15672769016977825,145432,82755
u:3700-3800,-3750,0.008468737803055904,0.008177984974374228,0.030265172425025993,0.029023422684002063,0.15527540725832367,0.15114377560981676,1135827,643308
d:3400-3500,3450,0.008416601414594917,0.008093085889111904,0.030393465969074312,0.029186862187563414,0.15424693080235255,0.15051538712469723,1373486,778638
u:2400-2500,-2450,0.008523085930719458,0.008185778093468635,0.030132634574323688,0.028883920725551664,0.1536246840085715,0.15011028505177743,2596985,1468014
u:5200-5300,-5250,0.008474828170511787,0.008217573434854023,0.03022830769564518,0.029221151275162657,0.1560226120251574,0.15286991176358242,553157,314156
