chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
u:4800-4900,-4850,0.0024347929687468127,0.002369610200411265,0.029986706848054132,0.02920327551123459,0.15680655893419768,0.15395375521333582,816962,465393
u:8300-8400,-8350,0.002596866581158278,0.002473089416529622,0.029593113999165522,0.028670644358970872,0.15969464233283368,0.15820161191676746,258844,147154
u:3000-3100,-3050,0.0024251246026719335,0.002310053688499185,0.029714026323503846,0.0287604029352858,0.15510836389464075,0.15141423965795592,2145687,1215282
d:5200-5300,5250,0.0026028433680644583,0.0025478134026130196,0.029808454348383487,0.029013430625515625,0.1567008927530827,0.15414986343908052,686416,390302
u:800-900,-850,0.002327657307724217,0.0021905752143073745,0.0297604148339206,0.028568110526915037,0.1528982594163945,0.14846465613748966,14146577,7913439
d:8600-8700,8650,0.0026633332751843327,0.002539605585824073,0.029869688088758634,0.029073167728629914,0.1622487963156793,0.15984085942069134,229296,129948
u:7000-7100,-7050,0.002515958136075506,0.0024043168826204586,0.029496812810531306,0.02903509307866922,0.15869913676956912,0.1562856887727527,375566,212777
d:7700-7800,7750,0.002582375831817449,0.002491439794670946,0.029986546185399487,0.02887005289656491,0.16178787709331816,0.15944867063342621,304003,172601
u:2100-2200,-2150,0.0023576146577927873,0.002248083847031054,0.029661105697641136,0.02861840533360707,0.15467070532582386,0.15098288382201724,4010572,2260084
d:4700-4800,4750,0.002403349800769618,0.002257295737110432,0.029682107893897896,0.02866616421859768,0.15720778057276893,0.15366104416354684,859474,488276
u:500-600,-550,0.0022762770178832922,0.002146083193962806,0.029731124306484103,0.028386245342433405,0.15213164663351192,0.14721952538394298,21283218,11887377
d:5700-5800,5750,0.0024403841561874235,0.002352066101960882,0.02959012149539339,0.028953382155338776,0.1571248217996638,0.15456248811405518,563972,320757
u:1400-1500,-1450,0.0023521946557715535,0.0022388094394541155,0.029715933114030868,0.028590541363185267,0.15355342020027524,0.14942001695124266,7275188,4087016
d:100-200,150,0.0021512826815504663,0.0019887673502895003,0.029032318425080923,0.02733451451821042,0.1454724627524043,0.13874351106197563,47029210,26477368
u:7100-7200,-7150,0.0024616013616630367,0.0023510641242979256,0.029798417566786684,0.02894118451715024,0.15788216206605324,0.15522910142605195,359952,204691
u:4400-4500,-4450,0.002475005779452036,0.002366577796277491,0.029331100988158998,0.02824535404025362,0.15668985576320846,0.15332295116673783,981927,557366
d:800-900,850,0.0023106115198558777,0.002185014716091431,0.029789438652525053,0.028481615882962958,0.15284462831869297,0.14821134137641087,14140582,7911068
u:6700-6800,-6750,0.002550875770326821,0.002405746300610336,0.02921514430802854,0.0283860573468899,0.1580366987900574,0.1544272931135834,404482,229655
d:200-300,250,0.002201961750704061,0.002048622547808664,0.02938960275811878,0.02781671156387363,0.14868061060184357,0.14288364565320535,36363336,20402160
u:3300-3400,-3350,0.002401818055747903,0.0022660915836266587,0.02982533948372794,0.02899707500867582,0.15643753325592075,0.1529701055971444,1783517,1008550
