chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
u:4800-4900,-4850,0.0040144429210004036,0.0038832177631293124,0.029938823019868985,0.029322947846506273,0.15691347719177642,0.15425584791123148,794253,452683
u:8300-8400,-8350,0.003964417663035574,0.0039081854139650755,0.03003387786513912,0.0297070429605254,0.16003522663260367,0.15842826665923002,252082,143434
u:3000-3100,-3050,0.0039231111164506165,0.0037690176873610083,0.029803572930307436,0.02883122963375102,0.15497627257109217,0.15125178748025928,2080925,1179034
d:5200-5300,5250,0.0041734588442775495,0.00398902413512435,0.029928571535689487,0.028835048229815467,0.15642428777737954,0.1540479819421664,666821,379226
u:800-900,-850,0.0037637881801002217,0.0035502137234005816,0.029856102943502598,0.028618143263849236,0.1526286221074139,0.1481311978367224,13750455,7693511
d:8600-8700,8650,0.003997545632392268,0.0037914491731947707,0.02980688120322343,0.028610127604971128,0.16163827916075885,0.15914581501635658,222868,126249
u:7000-7100,-7050,0.0038828994412896975,0.0036918708274661805,0.029509231064658602,0.02915914622639227,0.1582887553836447,0.15580255396571163,364530,206659
d:7700-7800,7750,0.004053303735836694,0.0038996561114755398,0.03018605754566713,0.029369670224819608,0.1613278205171654,0.15925815492873754,295070,167690
u:2100-2200,-2150,0.0038673760455517547,0.0036872138417188005,0.029817440415846573,0.028763978564226182,0.1544982109278903,0.15085134082989776,3893359,2193716
d:4700-4800,4750,0.003911331160571574,0.003748005032211646,0.02964307828182224,0.02853111938549008,0.1568888387564379,0.1530192213870403,833348,473483
u:500-600,-550,0.003724640564556718,0.003507172714821058,0.029784225114864143,0.02842159021014498,0.15187087254201853,0.1469548809289212,20683130,11554737
d:5700-5800,5750,0.003975526343913648,0.0037992649010108953,0.02965419319378922,0.028873209928671116,0.15700270233133332,0.15427409243423915,545825,310253
u:1400-1500,-1450,0.003835328743671207,0.0036544255539880353,0.02979359480536385,0.02867057911682103,0.15331144108356634,0.1492120453731918,7098707,3989316
d:100-200,150,0.003493599632613048,0.0032265800492946284,0.029054295735781974,0.02733156453063926,0.14524825495522847,0.13849128694918714,45858279,25821610
u:7100-7200,-7150,0.003961363225268175,0.003805996393297266,0.0297375695709119,0.02877028770287703,0.15776509394026347,0.15511655116551165,351979,199998
u:4400-4500,-4450,0.0039002165964930236,0.003731943199711938,0.02954917917205895,0.028340028818496836,0.15652082177844487,0.15307296085211475,957387,543401
d:800-900,850,0.0037807278368131975,0.0035632393887090066,0.029830337891010535,0.028520955670479756,0.15254916148643088,0.14794119010840243,13759348,7699181
u:6700-6800,-6750,0.0038890482269899568,0.003776862138722296,0.029061577548725733,0.02836892110508299,0.15761019921774863,0.15414316741596132,393991,223766
d:200-300,250,0.0035804273832519716,0.003339133994844438,0.029446407604846948,0.027866492724042617,0.14844485115191391,0.14261020501445482,35388799,19856356
u:3300-3400,-3350,0.003920207994957698,0.003769458338904159,0.029972144975417624,0.02914961824114341,0.15622709290741582,0.152764779186105,1732542,979807
d:6200-6300,6250,0.004015531112489803,0.003867299434856856,0.030005945610588357,0.02910405029786621,0.15881673732464757,0.15639208369831897,464208,263709
d:9500-9600,9550,0.003941851824063852,0.003914647691120272,0.029785956977030837,0.0292069049904934,0.1597659138897523,0.15753656745919692,186598,106242
u:2300-2400,-2350,0.003892476721566489,0.003699804240098895,0.029820484699756167,0.028700824008464524,0.15417817367100886,0.15010901279297187,3315372,1871340
d:4400-4500,4450,0.003895348551636837,0.003739282346211524,0.03012049460889774,0.029007930986503408,0.15489998779055325,0.15186679653077315,950084,539025
u:100-200,-150,0.0034873712756125132,0.0032150540174530158,0.028940528651315578,0.027209330117499597,0.14505750058588424,0.1383292162694507,45990314,25906812
u:2900-3000,-2950,0.003940885865612884,0.00380560401915338,0.029920681889279665,0.02887970556772452,0.15529981397192288,0.15152055422545974,2215257,1256384
u:6400-6500,-6450,0.003902330360356819,0.0038082253386812525,0.0296704135266192,0.02895435168666718,0.1580317770105746,0.1555610642197361,432451,246077
u:5600-5700,-5650,0.004045305874159165,0.003945256849882384,0.029921801303017748,0.029029172050492,0.15808655634802388,0.1552094722194613,567145,321952
d:7600-7700,7650,0.003827726162747828,0.0036283426505258035,0.03000611573043942,0.028893829969376793,0.1601963539836827,0.15772388552780506,307404,174051
d:6100-6200,6150,0.004024933978842276,0.003914761438504658,0.029820318336646702,0.028737579252651684,0.15752852240639206,0.1548344582897436,473838,268603
u:1200-1300,-1250,0.0038276078803353084,0.0036309765661918696,0.02994541230859198,0.028682467051051392,0.1533224587714431,0.1490959814118922,8686940,4870641
d:1600-1700,1650,0.0038681131983390746,0.00367863693182913,0.029738931568837175,0.02861898832347444,0.15346039712008633,0.1493236863908746,5901288,3321536
d:3800-3900,3850,0.003892912017182422,0.003788681138324926,0.029876108069212516,0.029048495100278633,0.1557273832395065,0.1525148884855519,1284103,728919
u:4300-4400,-4350,0.003978269980526336,0.003853978545775961,0.029660966048554692,0.029023988441852475,0.15660950031833235,0.15378679094024472,998956,567565
u:7900-8000,-7950,0.0038657999471330864,0.003811041244571501,0.02956079508858931,0.02898113603430527,0.16016813167584393,0.1577045891169933,268599,152513
u:5100-5200,-5150,0.00404575925301457,0.003960724428972044,0.02984046326120071,0.029438773030615404,0.1568332189909185,0.15349650975707704,687992,390947
d:4100-4200,4150,0.003910669615515077,0.003742192096925838,0.029683331462085853,0.028793180347641452,0.1565164856903032,0.1539133220677568,1122246,636748
u:8200-8300,-8250,0.003929066080379077,0.0038345705541446896,0.02987129982022454,0.029323528590963637,0.159583460657748,0.1569572740211537,251981,143332
d:7200-7300,7250,0.0039780392484110106,0.003910987241030823,0.02982374574563835,0.028639253831901634,0.15812516019050002,0.15566047667171973,335538,189984
u:6500-6600,-6550,0.004011331984325059,0.0038603919149994234,0.0299253165722597,0.029491555088824714,0.157928414411564,0.1545962569853355,423521,239967
u:1700-1800,-1750,0.003915206139855855,0.003761941626037686,0.029935170271396767,0.028837791540387403,0.15400642014653176,0.15004710765581764,5395827,3035600
u:8700-8800,-8750,0.004047068949895805,0.003893788155193886,0.03012594001993295,0.029268137243186835,0.16096765425387333,0.1577643413075863,220740,125529
u:7400-7500,-7450,0.0039607421224227965,0.00377201604961322,0.029831876512223906,0.028884910654468375,0.15934207944994752,0.15702738025941507,321133,182102
d:3700-3800,3750,0.003906370860898019,0.00375304759495936,0.029565668777993905,0.028640080110668344,0.15590363901509846,0.15233028100675158,1363913,774928
d:2700-2800,2750,0.003897870104729394,0.00371839670545184,0.029795945509471244,0.028690909497844388,0.1546415746774837,0.1511306824381223,2526384,1429756
u:9100-9200,-9150,0.003912216781656627,0.003778673866960363,0.02926330939596302,0.02873307990194337,0.16018579559465157,0.15907556755604504,198713,112588
d:3500-3600,3550,0.003931313209550209,0.003751297726645163,0.029720946444008453,0.02858160984436536,0.15552183139685627,0.1520202885002522,1523471,864332
u:9800-9900,-9850,0.003779347259555977,0.0036711672279494813,0.029433639616531095,0.028826249497935098,0.16054393084910135,0.1571797855796661,170757,97099
d:2400-2500,2450,0.003898069837179074,0.0037371967637147585,0.029723193207006476,0.028656066503177043,0.15452906303040212,0.1506901224924169,3119685,1762803
d:9700-9800,9750,0.004159523319694302,0.003893681628056628,0.029876334377214438,0.02934966216216216,0.16180538094040733,0.15802968146718147,174988,99456
u:3700-3800,-3750,0.003947100353780329,0.00380345114069405,0.029829182495716124,0.02891162432700546,0.15632633013720923,0.1524253806539017,1357999,769137
d:3400-3500,3450,0.0039097625458285185,0.0037175610357956896,0.029924147805908234,0.029012972338809003,0.1550775062248635,0.15143414368061162,1629353,923966
u:2400-2500,-2450,0.003914511951795833,0.0036940035313758855,0.02968509706249385,0.028628878043865092,0.15448897852663845,0.1511873163604385,3089968,1746628
u:5200-5300,-5250,0.003988221535166156,0.003855241266038681,0.029642932921099693,0.028662207982414253,0.1567988239216756,0.15329906175553357,659820,374849
u:1000-1100,-1050,0.003836460242826261,0.0036378969031361772,0.029862368602545597,0.028605348754122267,0.15309983667004093,0.14863355881013066,10750018,6023384
u:4000-4100,-4050,0.003963459969536578,0.0038351924553375184,0.030164299235084492,0.028843991759293586,0.15562439393234778,0.15214464992190777,1161174,658196
u:2800-2900,-2850,0.003937146742564768,0.003751330442907849,0.029803266814813052,0.02885677249482505,0.1545063647971545,0.15098112276761114,2352628,1333829
d:2900-3000,2950,0.003924362330071599,0.003748802719274364,0.0298844273118602,0.028808989445832347,0.15529154195064587,0.15157234662764044,2214364,1252491
d:5100-5200,5150,0.004043231463765687,0.003896044369069992,0.03003774588292418,0.028983514384806956,0.15674368059930982,0.15350924100981395,691996,392706
u:3900-4000,-3950,0.003943024642615931,0.0037932198233655615,0.029481912646963027,0.028599948663833672,0.15630068996953853,0.1528049510880415,1237301,701260
d:1700-1800,1750,0.0038982695632515706,0.003708128534729265,0.029889620814180402,0.028768646467207573,0.15392969989701558,0.15004694631085191,5386251,3028992
u:7600-7700,-7650,0.004162628628622052,0.0039375576161813355,0.030259825162534452,0.02927095679657905,0.1593346846388105,0.1563887145878361,304397,172116
d:1100-1200,1150,0.0038367297429687318,0.0036126554388033368,0.02989983641675224,0.028657446629160116,0.15315123471377792,0.14896117332383035,9669083,5421453
d:8300-8400,8350,0.003965585196863461,0.003843824419362419,0.030763805335435424,0.029441904748061312,0.15905074057171306,0.15637423415435378,241030,137593
u:3100-3200,-3150,0.0038978223210807926,0.003734585684209,0.02986787347014084,0.02877218157638217,0.15559513315156112,0.15209304938016605,1951160,1103844
u:1900-2000,-1950,0.003868529268140446,0.003655656951115805,0.02984634363950786,0.028774155167649244,0.15425358256137994,0.15042407247947648,4539350,2558407
d:5500-5600,5550,0.004042151273602086,0.003932042259468686,0.029665144725584704,0.02874363231519928,0.15779281835816722,0.15450559342798295,590255,335483
u:2500-2600,-2550,0.003934470943706789,0.0037724859381070923,0.029926431704519273,0.02877556247062268,0.1547504035220489,0.15110195893623693,2895133,1636041
d:4300-4400,4350,0.003996130462655031,0.0038718563062339895,0.029850716661194963,0.02909334580456922,0.155561749107583,0.15269643941562022,1008217,573052
d:900-1000,950,0.003819926800268551,0.0036084865856689857,0.029863192135218816,0.02856883624005316,0.15270076090710902,0.1482864595074583,12148132,6800277
u:7500-7600,-7550,0.0038881788833427413,0.0037982134813474644,0.02960987397489646,0.02891971275728437,0.157984866839605,0.15474475379993521,315334,179082
d:0-100,50,0.003264880297717648,0.002965160110137694,0.027384184170266623,0.025387227288254842,0.13590392812871938,0.12794392981377087,72729134,41524385
d:6900-7000,6950,0.004081482004796789,0.003981086271357296,0.02985946568702041,0.0287629674999043,0.1588238810512358,0.1558971021705011,368024,208984
d:9600-9700,9650,0.004088157730421433,0.004067832179120862,0.029001476518941315,0.02875684052496489,0.16055490667078035,0.15658869678919077,181508,103245
d:8400-8500,8450,0.004022874960659615,0.0038940011136183806,0.03087890925577004,0.02996512616124022,0.16028000648856391,0.15810450429329193,240423,136492
d:4500-4600,4550,0.0039781814218443805,0.0038807978667419764,0.02959488045269824,0.028706022636121695,0.1564246804175536,0.15469127836624547,899142,509893
u:5400-5500,-5450,0.004022647963566177,0.003902703741193271,0.029723213864213147,0.028878330212565844,0.15710376509235702,0.15361057983190868,614301,348739
u:8500-8600,-8550,0.003964884197406264,0.003907487571813383,0.03025702964072104,0.029250950820150817,0.15819690439357714,0.15651120179287087,241762,136987
d:4000-4100,4050,0.003950197528848949,0.00379512622386153,0.02982563908708595,0.0288271386984978,0.15623407920341248,0.15311737099162145,1163965,659899
u:4700-4800,-4750,0.0039333469246770145,0.0037656846757320693,0.029827771940469913,0.02897772153188887,0.15604511200192048,0.15305936111842497,828959,470948
u:5800-5900,-5850,0.003990408259768038,0.00391767506116946,0.029797969275875066,0.029281446095973634,0.15626272517041076,0.1536476971986884,527989,300395
u:4600-4700,-4650,0.003993829984439561,0.00387936440506534,0.02948148131076436,0.028597726261277663,0.15578261786427502,0.1527835093255654,867799,494340
