chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
u:4800-4900,-4850,0.002962614590305564,0.0028778728689086317,0.03047239659966445,0.029498107549879953,0.15665515726404497,0.15360037324777992,678286,381516
u:8300-8400,-8350,0.003136447415440899,0.002936196335573005,0.030879383851026995,0.02969381464483869,0.15895761098402558,0.1569542434413316,208521,116792
u:3000-3100,-3050,0.0028735376923970726,0.0027529021983137276,0.030230536480831308,0.029010866637453114,0.15485175625984154,0.150759016334128,1780716,994972
d:5200-5300,5250,0.0029884230343846375,0.0028466796790733236,0.030110878820602573,0.02932336060646329,0.15640776027619518,0.15366288892685612,563949,316062
u:800-900,-850,0.0027814289839600587,0.0026116744033064868,0.030225353462640606,0.02893653617968221,0.15257967489001334,0.1479458484620277,11977362,6630061
d:8600-8700,8650,0.0031844405486020303,0.003073588136597774,0.02997614024646222,0.028824770485259738,0.16012073354128695,0.15728649902111724,188183,105222
u:7000-7100,-7050,0.003048373463519449,0.002829255354419468,0.0302007299270073,0.029770970094821297,0.1580813347236705,0.15558278628738148,306880,171375
d:7700-7800,7750,0.003195590948164762,0.003053604638442184,0.03058617771965977,0.02995667870036101,0.1601493075095038,0.15773285198555956,247007,138500
u:2100-2200,-2150,0.00283686889119543,0.002711971058286563,0.03016828314435641,0.029047074298298607,0.1542125086373254,0.15035004734422464,3351732,1867176
d:4700-4800,4750,0.002906721280794337,0.0027728141146334474,0.030028380481552687,0.028848713788409277,0.1560940570004014,0.15190407538943002,709995,398146
u:500-600,-550,0.0026944011470767535,0.002520178047082518,0.030147950661179063,0.02865124020646339,0.15188269672834037,0.1467349065261381,18054262,9978137
d:5700-5800,5750,0.0031316565306554003,0.0030160164500104988,0.03046377557922851,0.029749765051337744,0.15734853212650726,0.15424330932502467,458282,256439
u:1400-1500,-1450,0.0028117478294313286,0.002650422877737607,0.030167407268799944,0.028927845394302612,0.1531779932447697,0.14896169765879616,6135098,3408930
d:100-200,150,0.002514098538618232,0.0022958140777216353,0.029297511166547573,0.02744699043550123,0.1454301866688213,0.13837324211015548,39604900,22002303
u:7100-7200,-7150,0.0030421730183445832,0.0028941271846750997,0.030029938290462518,0.029239127798394333,0.15718960238420127,0.1548000194038177,294606,164916
u:4400-4500,-4450,0.0029819471308833016,0.0028568721927535973,0.029901472461354703,0.02892207763515454,0.1563777748041096,0.1527914632260345,807084,452630
d:800-900,850,0.0027564430022044063,0.0026022719168128337,0.030131282251999406,0.028728126818351588,0.15252039815815452,0.14778687151473974,11977552,6632037
u:6700-6800,-6750,0.0031635616827166016,0.0030135309156761195,0.030039862898065733,0.029279134187979127,0.1570694311351163,0.15320814275591058,332891,186276
d:200-300,250,0.0025680570604164955,0.0023725676691175204,0.029697414632250306,0.028037546195970403,0.14851829182661486,0.14242125321799282,30718802,17026918
u:3300-3400,-3350,0.003007825748114005,0.002836404302287908,0.0302546997526375,0.02923192674688086,0.15598336709728064,0.15214852548147237,1482844,828033
d:6200-6300,6250,0.003211352805426098,0.003046091073829747,0.03020926593335244,0.029227907060958996,0.1576101429683755,0.15486671585513243,394283,220919
d:9500-9600,9550,0.0033221565961903026,0.0033149415765222766,0.030339750181763398,0.029709679303697646,0.15864833530925979,0.15590863952333664,152671,85595
u:2300-2400,-2350,0.0028773208278402044,0.002698441975237575,0.030339519224003828,0.0291287538880698,0.15403445976965052,0.1499556942698547,2870942,1601373
d:4400-4500,4450,0.0030366733992943165,0.0028671439535059686,0.030461242753565078,0.029280558748277032,0.1551350837866146,0.15192069720229523,810571,454158
u:100-200,-150,0.0025034031494521086,0.002289250173875416,0.02919187450836901,0.027333842130064415,0.14522726549201784,0.13817239543413629,39704576,22063821
u:2900-3000,-2950,0.002914136639572243,0.002785309901181062,0.030409407490294926,0.029231572140093715,0.15513085308312752,0.15129640764986405,1889218,1057692
u:6400-6500,-6450,0.003011682402097713,0.002918068483879511,0.030248185301422877,0.029474943845572872,0.15698689896275433,0.1547802375651048,363559,203902
u:5600-5700,-5650,0.003017904931530582,0.0028939080206043816,0.030208873138195615,0.02923103278761787,0.1566548536467127,0.15332792086877506,478568,268516
d:7600-7700,7650,0.003036619921670547,0.0029085765184452537,0.030599537448852517,0.029185995714672047,0.1592862170587007,0.15686519245837754,258566,144213
d:6100-6200,6150,0.003182111634979348,0.002980276434818671,0.030120437224971985,0.029021995477896117,0.15686769220113933,0.15388869960752385,404277,226001
u:1200-1300,-1250,0.002793631400761334,0.0026327349988677744,0.030183555841548974,0.028876326903853933,0.15338091151421793,0.1489775254856195,7535527,4180691
d:1600-1700,1650,0.002807512277675116,0.0026657032178719962,0.030137021601576136,0.02888197309058437,0.15317924943054081,0.14889301436171948,5122404,2851121
d:3800-3900,3850,0.002848775589099017,0.0027341100536046386,0.030213376449725812,0.02929110600590745,0.15534416580547378,0.15171808336068263,1086671,609400
u:4300-4400,-4350,0.0029987883810133655,0.002876513847267657,0.030137618751664742,0.02952502666906072,0.15608866790967474,0.15279206582241045,844725,473395
u:7900-8000,-7950,0.003179627079675595,0.0031594128414937665,0.03007535530046424,0.029100235025090515,0.1588247599802376,0.15668868703550784,224669,125944
u:5100-5200,-5150,0.0030249850303792707,0.002896845201053996,0.03046727649536589,0.029709863650086567,0.1564329680228194,0.15298238479880225,579507,324606
d:4100-4200,4150,0.0029350566737880055,0.0028097610094721913,0.030196418116175038,0.029110050281336047,0.1565165294752862,0.15385939183526876,954749,534592
u:8200-8300,-8250,0.003142328048418455,0.003000172682803085,0.030088586877511876,0.029375178604447882,0.16019733911094228,0.15668442905411084,213237,118978
