chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
u:4800-4900,-4850,0.008883383703169444,0.008797530306452828,0.031627814602418015,0.031100706637187323,0.15769221220923016,0.15673472926691812,201405,115335
u:3000-3100,-3050,0.008998192226425394,0.008701003614293318,0.030716339049500267,0.029693042833695133,0.1570478216540896,0.15349512892465716,532583,302192
u:9600-9700,-9650,0.009191021580039635,0.009285397491644148,0.031697796224923414,0.031317869863608724,0.1613548769641269,0.16006428633481018,40476,23022
d:5200-5300,5250,0.009067301824718524,0.008788826574633306,0.030122995375185844,0.029190573770491803,0.1564033402088512,0.1544672131147541,170169,97600
u:800-900,-850,0.00888786038473196,0.0084880561347562,0.030777551434540983,0.029511875489885257,0.15485448181381928,0.15029395697168038,3444621,1936678
d:8600-8700,8650,0.008608542583057472,0.008124701696533171,0.02903971175687319,0.0286479802143446,0.16411451398135818,0.1592470458917285,51068,29112
u:5600-5700,-5650,0.00913637145289302,0.008918394328954402,0.0320697929800301,0.03001365876833541,0.15961687070403058,0.1561731694281133,147522,84195
d:7700-7800,7750,0.008752210144739985,0.008569686118289111,0.03268093237604148,0.031270890589021764,0.16051030587441867,0.15838470870781649,71173,40389
u:2100-2200,-2150,0.009071073925355914,0.008788033535235737,0.030686683692752164,0.030151467992738747,0.15599548099031102,0.15260143893693542,981631,555827
d:4700-4800,4750,0.009266373686434886,0.009096966693457066,0.031065535322010597,0.0296710087655104,0.15953074275841891,0.15635621473061098,215319,122982
u:500-600,-550,0.008771349173356419,0.008321811726398065,0.030671600189885097,0.0292406966953784,0.15404553586255612,0.14923870750900706,5196827,2915765
d:5700-5800,5750,0.00921375092238747,0.008872992444532338,0.03079761769064174,0.029213427227710455,0.1593953037729397,0.1553860701221788,140368,80374
d:100-200,150,0.008238630706492969,0.007685249598551149,0.029827588580634244,0.028011072396044497,0.14742604534585368,0.14060596142167148,11476154,6489291
d:8900-9000,8950,0.00911429789137622,0.008801937529765708,0.03055162061018669,0.02997866548959023,0.16273759435059307,0.16394467740748914,47297,27186
u:5700-5800,-5750,0.009175732916847843,0.008802583433609193,0.030552745461698422,0.02945654576262862,0.15762518968133535,0.15270990398074705,142344,81442
u:4400-4500,-4450,0.00899867567218159,0.008700199989966807,0.030905913551430422,0.029803821148620773,0.15751546925091756,0.15328695602691592,245487,140586
d:800-900,850,0.008893622360898143,0.008494122802715835,0.030664395724452044,0.02944381496116848,0.15468152531618748,0.14998335238989993,3445266,1937215
u:6700-6800,-6750,0.008976445492093822,0.008836936090225563,0.03049651859284259,0.02967857142857143,0.1602866206533086,0.15678571428571428,98667,56000
d:200-300,250,0.008431999650443292,0.007921479748539724,0.03028066998692941,0.028584143988815005,0.1507550612893122,0.14472368040755626,8872591,4999555
u:3300-3400,-3350,0.009221163382387385,0.008992941554506284,0.031220307688160812,0.030210046817664177,0.15876331731773555,0.15532076426673416,445191,252896
d:6200-6300,6250,0.00890896391562907,0.008491988354021627,0.031439695231716,0.02952866017016516,0.16188721898940847,0.15819766243707128,119435,67934
d:9500-9600,9550,0.00900440825765423,0.008852191477550148,0.029701539276853033,0.02918625831321218,0.1594199407414545,0.1586817469394671,41513,23607
u:2300-2400,-2350,0.009051071817953645,0.008658913533467745,0.030936045086988485,0.0301044103999319,0.1555166531581626,0.15207917667551807,848848,481657
