chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
u:4800-4900,-4850,0.009058229382611664,0.00895171944252819,0.03098083809155134,0.030519146748907735,0.1562590728733185,0.15355949627345156,82664,46692
u:3000-3100,-3050,0.009042227519677957,0.008746703492749213,0.029832257583801355,0.02862541645256999,0.1539113507874859,0.15034559347599077,214734,120662
d:5200-5300,5250,0.008958296891724692,0.00844034109525424,0.029469158764521147,0.027851458885941646,0.15379455437997377,0.15097710171601797,65594,36946
u:800-900,-850,0.009043870597902457,0.0085958832620994,0.030497660569970227,0.029286937622691397,0.15393100947626054,0.14828507471655783,1434110,798752
d:8600-8700,8650,0.008565992865636148,0.008028668026237007,0.028252080856123664,0.027799161748353434,0.16152199762187872,0.1545633393208451,21025,11691
u:5600-5700,-5650,0.009017549912386626,0.008852150576606791,0.03051578402622046,0.028892357604137973,0.15533896843194755,0.1500321366265724,57970,32673
d:7700-7800,7750,0.008293434886766317,0.008176383581905585,0.031019395285051918,0.03044496487119438,0.160027427675831,0.15930913348946135,30626,17080
u:2100-2200,-2150,0.009082316416767895,0.008819828650154909,0.0301929195495177,0.030020453199849292,0.15365890611585273,0.14976586468593572,396020,222948
d:4700-4800,4750,0.009113429765078835,0.008713794561052143,0.030702604136987863,0.029394509518318464,0.15786654510228504,0.15346644818029173,87745,49431
u:500-600,-550,0.008922943726344548,0.008446213066820368,0.030244726445000033,0.02874393684499925,0.15300203779430382,0.14742794582599644,2197474,1222136
d:3000-3100,3050,0.009119900272488842,0.008566862465033928,0.030342667735598718,0.028390617742684626,0.1546904082101483,0.15025545750116118,213297,120568
d:100-200,150,0.008355467569859006,0.0077448961786707946,0.02956327963996636,0.02764349215086741,0.14688156011378828,0.13955926317903022,5000866,2794003
d:8900-9000,8950,0.00936909036822982,0.008805865595666184,0.027906742026645136,0.025199645075421474,0.16148566814695195,0.15989352262644188,19816,11270
u:5700-5800,-5750,0.009674495707763919,0.009329187175184018,0.02958128646673879,0.027857345210740028,0.15476971642399845,0.14662091976455036,56387,31769
u:4400-4500,-4450,0.009110194785515524,0.008706828462698355,0.02947905155198821,0.028257162346521147,0.15429729153337599,0.14960777626193725,103158,58640
d:800-900,850,0.009076441957826536,0.008530560940605957,0.030258520816399063,0.028625266303226465,0.15315985697814619,0.14763826016054013,1440619,804534
u:6700-6800,-6750,0.009125745573693637,0.009170846295473302,0.029360507334075615,0.02791659486472514,0.1574042697390715,0.15354127175598828,41314,23212
d:200-300,250,0.008579264148343162,0.00799497292806048,0.02998447878894266,0.028109842461425717,0.15020937807634824,0.1431912189920068,3822511,2128685
u:3300-3400,-3350,0.009291571106974428,0.009039397401277387,0.030713393693412427,0.02911612813866519,0.1541021809910352,0.14985456775955203,179368,101078
d:6200-6300,6250,0.009096645778318257,0.00882335082785918,0.030136763600154444,0.028841300742663493,0.16114938324290273,0.15549066262888456,49209,27738
d:9500-9600,9550,0.00861005859312601,0.008675385798977236,0.028286997693334953,0.029342218400687875,0.1573995386669904,0.15638435081685298,16474,9304
u:2300-2400,-2350,0.008961011473818262,0.008474797730750203,0.029736349910324103,0.02890898498391321,0.15292473429637662,0.14955203669782552,338441,190529
d:4400-4500,4450,0.008733491792160781,0.00861855793610607,0.030141051176781432,0.029857912613589884,0.15417056217226943,0.15096117937865666,98404,56233
u:100-200,-150,0.008356006361668849,0.007733201407783432,0.029611021923623755,0.027403052260651015,0.14682633133945414,0.1390408485701359,5010668,2802644
d:10000-10100,10050,0.010334263985762024,0.011016690687063072,0.03031267910590333,0.03204181343029201,0.16372667643125519,0.1607771844108624,15703,8801
d:5700-5800,5750,0.009532645540192447,0.008811336470060169,0.0290808817309807,0.026605807633404404,0.15638375260103873,0.15269811717365844,59111,33301
