chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
d:13000-14000,13500,0.007418120735608626,0.006867741821484922,0.028452961064878952,0.026294279782315414,0.14147179269293528,0.13441070962652082,1445122,808693
u:10000-11000,-10500,0.0072065198812248975,0.006626075975341623,0.028167190162177808,0.026252983293556086,0.1393510348452493,0.13161926797719034,1969135,1097780
u:91000-92000,-91500,0.008191091000579243,0.007434099914460165,0.029331879493301717,0.02662642443489632,0.14308281961764446,0.1354847748925836,304481,171296
d:27000-28000,27500,0.007801808240324346,0.007258502932891712,0.02843520181594299,0.026564354777238598,0.1410600512906147,0.1333218430705219,736587,411943
d:49000-50000,49500,0.007636068734517627,0.0070719710027229935,0.028289008765422886,0.026350138684940447,0.14084590500686925,0.13326573899261124,455654,257418
d:39000-40000,39500,0.007660615873480621,0.007126956076993945,0.028654075145418553,0.026648219244551834,0.14157405744148535,0.1341558173311782,539993,305011
u:1000-2000,-1500,0.006765434004986656,0.006268807690260522,0.028139865856130545,0.02648553499570514,0.14019716878704408,0.13390591082770206,8475378,4726580
u:27000-28000,-27500,0.0073514960154368175,0.0067194235126908685,0.02796341498200904,0.025923497347164526,0.14052611847547483,0.13246921675509452,981604,550543
u:98000-99000,-98500,0.007731392404579252,0.007150039327574272,0.028171657605076107,0.026155503642783236,0.14135475824322197,0.13430296436152622,330332,187494
d:42000-43000,42500,0.0079370704987692,0.007378177835660137,0.028884810094822314,0.026495967630948778,0.14190343294211652,0.13430334975640637,518127,290648
d:93000-94000,93500,0.007941758600653452,0.007485255459203708,0.02828934798680855,0.02694696607740086,0.1422026731793223,0.13632254033591826,240762,136045
u:16000-17000,-16500,0.0074392128772210984,0.006890119201064989,0.028111586313327455,0.026053811317108398,0.1402594665397365,0.13259447240142094,1413901,786526
d:86000-87000,86500,0.008058377483174636,0.007427474521848387,0.029048815114120344,0.027009283819628648,0.14264195847909833,0.1355106100795756,265553,150800
u:30000-31000,-30500,0.007561496198486375,0.00698818765427466,0.02808492370313501,0.026386790197976885,0.140886851681075,0.1331776363496417,880508,493694
d:14000-15000,14500,0.007477407145908818,0.006958790239929333,0.028267691782880754,0.02639081554200286,0.14113500618389221,0.13373936692686744,1307429,730974
