chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
d:13000-14000,13500,0.0020604608004294203,0.001883835045123326,0.028310676184277857,0.02636839012558683,0.14416363752561237,0.13736411429714507,2300157,1279752
u:10000-11000,-10500,0.0020247930964783856,0.0018500776577514717,0.028303283608498174,0.026560776942702577,0.14243458985765725,0.1350724759570827,3255382,1807289
u:91000-92000,-91500,0.0024318020047807607,0.0022393518363020932,0.028804361533094014,0.027071507741913813,0.14627067062354454,0.13904096552805115,475796,267957
d:27000-28000,27500,0.002166294728320917,0.0019734855326019977,0.028398313150208396,0.026841419776018043,0.14442338617045716,0.13768561766834989,1218840,681037
d:49000-50000,49500,0.0021778959120543687,0.0019943538702124532,0.028460756773172457,0.02668671107539981,0.143327278992215,0.13611363106192167,684908,385810
d:39000-40000,39500,0.002213046024563622,0.002065804603566641,0.028975312056387616,0.02708660774427956,0.14521624471968575,0.13839888959196586,871397,489910
u:1000-2000,-1500,0.0018604550552610755,0.0017244717159710515,0.028224955604091752,0.026609655650060494,0.14278747037904854,0.13662394823862833,13549109,7531176
u:27000-28000,-27500,0.0021144341074411004,0.0019852500699942465,0.02821191282729744,0.026228591534111976,0.14342074481934622,0.1356494419612447,1513226,844117
u:98000-99000,-98500,0.0023186594530594795,0.0020910186750016657,0.02859063327358537,0.026731359828454086,0.14580832415188041,0.13898853331879554,486488,275145
d:42000-43000,42500,0.0021142373607021536,0.001962549663328829,0.028823294194627213,0.026779217629326772,0.14493074993638447,0.13810808703787117,825270,461776
d:93000-94000,93500,0.0021349898553397807,0.0020192093950864277,0.02878712023398593,0.027365286896409217,0.14554293694500803,0.13970056449416252,379510,212934
u:16000-17000,-16500,0.0020806938083546807,0.0019456032729562322,0.028047652933288796,0.026289443875929297,0.1428879480114613,0.13604228378743646,2272347,1261571
d:86000-87000,86500,0.002133365793271564,0.0019539527731552674,0.0286673763300221,0.026945842900174835,0.14491691687869052,0.1387778316095465,418978,237365
u:30000-31000,-30500,0.002093476231832875,0.0018922265218873084,0.0284663036545066,0.02649514022804043,0.14374200430281125,0.13629751381572988,1387465,772670
d:14000-15000,14500,0.0020913315468739343,0.0019233870334773235,0.028408988143684644,0.026637440545249826,0.14435290029938266,0.13700943141779512,2100990,1167905
u:0-1000,-500,0.001857324721711705,0.0017045088183114405,0.028466280966153168,0.026854093844340617,0.14285330633589033,0.13655068250596172,29714419,16366890
d:96000-97000,96500,0.002239950885016249,0.002056498863206644,0.028948392457116414,0.027241023534190167,0.14704521312958152,0.14124248946073512,380332,214199
d:21000-22000,21500,0.0020993894647815454,0.0019597596322227353,0.028384307877896607,0.0265080471734242,0.14462448078946702,0.13740094464683758,1460631,814696
d:54000-55000,54500,0.0022642674959233527,0.0021341740060548237,0.02912060041966473,0.027628912469031586,0.14450835860520833,0.13760837226439945,648613,363677
d:99000-100000,99500,0.0020762956286213808,0.0019678753614865234,0.0288676282968554,0.027773462691766344,0.1452207799849684,0.14002061826552373,373879,212433
u:12000-13000,-12500,0.001950170308092673,0.0017845371093384505,0.028248709709315575,0.026364710445597864,0.14376476750668316,0.1367045355952618,2821651,1567512
u:96000-97000,-96500,0.0023795312440583866,0.0021495540749694496,0.02872345626700999,0.02707759566005711,0.14651407245644626,0.14007462443497867,490888,276317
d:20000-21000,20500,0.002143326243516549,0.001978094347810295,0.028493387279909164,0.026778842569493432,0.1448382402328445,0.13792703978344775,1563275,871845
u:83000-84000,-83500,0.002157560571120755,0.001992495480171593,0.02844406514989196,0.026592637761160498,0.1438944673433443,0.13726371192913764,550730,311590
d:79000-80000,79500,0.0020136231381390063,0.0018477422764958628,0.028988958899358343,0.027398379964525963,0.14410543962078734,0.1378133607971032,432475,244686
d:18000-19000,18500,0.002039105306085503,0.0018624024826787416,0.028620404503745808,0.026715234734001704,0.1446365125524445,0.13718625546076016,1708711,953164
u:35000-36000,-35500,0.0021436926799966657,0.001927622748853142,0.028197346071271525,0.02639506770198491,0.14238267272523475,0.1352051862478754,1159790,648947
u:20000-21000,-20500,0.002011887574765839,0.0018642327230856152,0.028102810430962064,0.026405845191298148,0.14294323917922364,0.13610530804430476,2001081,1116268
d:78000-79000,78500,0.002203086810898886,0.0020150505505926227,0.02908568152525788,0.027583123820295128,0.14399082707220665,0.13791561910147562,463974,261718
d:1000-2000,1500,0.0018589352638910452,0.0017048088552406896,0.028353799441692175,0.026720998436016937,0.14333669886561373,0.1368438058865899,12036729,6684855
u:77000-78000,-77500,0.0021516687167995544,0.0019955258226565507,0.02783954826264087,0.025917267394661506,0.14443500279252083,0.13753975181439185,583702,327658
u:22000-23000,-22500,0.002062047517500067,0.001922904925797212,0.028257942718855983,0.02658792125327133,0.14445849984029624,0.13701859763586197,1818993,1013731
d:63000-64000,63500,0.002144777697308727,0.001991010128511157,0.028997399224405192,0.027096247237822675,0.14604121997424196,0.1394385102920785,560602,315874
u:6000-7000,-6500,0.001958337958101654,0.0017936662236065098,0.02809480686967491,0.026337215069335607,0.14361711499023955,0.13650445374650347,4540768,2520350
d:92000-93000,92500,0.0022325189915642723,0.001998613590465885,0.02858793549917981,0.027032703133346422,0.1435354744194204,0.13763348567097808,387716,219031
d:33000-34000,33500,0.0020686584957826585,0.0019220055873310135,0.028881554951931253,0.027172405560178504,0.14547542295482943,0.1384602420552577,1017189,569622
d:16000-17000,16500,0.002100311028400822,0.0019150079957769874,0.028617928013581977,0.026926555295067458,0.14456307473275753,0.13736337313108415,1850099,1030544
d:55000-56000,55500,0.002185598319663283,0.002017817657828776,0.028526118100790986,0.026991420770248634,0.14422781937678855,0.13809288036853337,616067,345369
u:70000-71000,-70500,0.0021799165851188024,0.00201074799289085,0.028653880819942315,0.026935098363669793,0.14469541872682323,0.1379590687626402,621312,348096
d:6000-7000,6500,0.0019909089856045906,0.0018201138953275289,0.02846648138147637,0.02669987724404652,0.14368590025697603,0.13678690408021763,3942391,2186452
u:90000-91000,-90500,0.0022823039498639404,0.002115177216809549,0.02870454358044034,0.027045899062277223,0.14473076605920673,0.1380006214926792,485080,273535
d:25000-26000,25500,0.00212808338367956,0.0019388830274399325,0.028627639304137684,0.026806617653199562,0.14514584914721237,0.1377188416044719,1291060,718442
u:40000-41000,-40500,0.0021729126320738598,0.0019961112387411432,0.028446770587194827,0.02685299932374059,0.14297493298985436,0.13605756941366043,1102445,618106
d:68000-69000,68500,0.0021710813094493937,0.0020111740119329244,0.029346796491806673,0.027908821156554676,0.14396132857290775,0.13776647386197372,521522,292524
u:32000-33000,-32500,0.0020606017153348187,0.001868339394836445,0.028198604298877116,0.026440223711754383,0.14332335703623086,0.13643007421817183,1359890,756688
d:7000-8000,7500,0.0019435874216257286,0.0017635929809514778,0.028296788505670096,0.026347202922633504,0.14365449422193355,0.1363722110662582,3491739,1940168
u:75000-76000,-75500,0.0022351168621535977,0.001999369395651187,0.028411759646998894,0.026732909590784927,0.14571880313043709,0.13895985643437442,604644,339357
u:68000-69000,-68500,0.0022551004315103378,0.0021313847907928475,0.028926446748935443,0.02699189499571754,0.1448975001357357,0.13815686198909968,644635,363109
d:97000-98000,97500,0.002234044252310575,0.0020955400411189723,0.028419012734784276,0.026799032971554962,0.14269666510498744,0.13593109220906144,375664,213851
d:44000-45000,44500,0.002220017772178091,0.002032077562157306,0.02854047908055867,0.02687298286207482,0.14500202305773652,0.13725490196078433,780996,435642
u:65000-66000,-65500,0.002118970120597588,0.001998485898324223,0.028337433251334972,0.026688364956023797,0.14417711645767084,0.1374823789891181,666680,376681
d:45000-46000,45500,0.002153429974768492,0.002005542542311372,0.028635380910402703,0.027096873522263646,0.14621798249718054,0.14015593898804615,812212,454665
u:44000-45000,-44500,0.002135482252097992,0.0019973884652111306,0.028736001709322237,0.026811796413319534,0.14565146642635918,0.13859443382797074,1010927,566206
u:69000-70000,-69500,0.002246781774758234,0.002064427104556952,0.028605473507211255,0.026811969294816024,0.14505350486211138,0.13872674809193933,647044,363196
d:34000-35000,34500,0.0020820095112819995,0.0019501922834997342,0.028544976221795002,0.0272435231850743,0.1439997976322979,0.13751415265546252,988300,553783
d:75000-76000,75500,0.002327844938646168,0.002235307439701053,0.02898664973559403,0.027339297172838107,0.14464561929801387,0.1392669761823878,469354,264930
u:38000-39000,-38500,0.0020948028331635032,0.001971301261153625,0.028433354807508703,0.02656265224009571,0.14416190933377115,0.13745014511226433,1120726,626067
d:31000-32000,31500,0.0020942837352499314,0.0019243689530295662,0.028457817577906393,0.026664504621371817,0.1446101573774001,0.13806713150640507,1102509,616700
d:67000-68000,67500,0.002248226594826892,0.0020537578803828697,0.028505066783511508,0.02625476775515313,0.14541427314214844,0.13869144472039052,538606,303602
d:12000-13000,12500,0.0019799205740275135,0.0018267158442308708,0.028251751042124334,0.02669256982905004,0.14348808371865873,0.13636721395279608,2305627,1283241
u:86000-87000,-86500,0.002034976352861902,0.0019228222131696749,0.028187640513120855,0.026625618559799124,0.14432563148249608,0.13766586751968374,529310,299486
u:13000-14000,-13500,0.0019690208331937407,0.0018279604415322884,0.02827218426540341,0.026311740988176874,0.1431961006348306,0.13598000315711462,2686386,1495036
u:62000-63000,-62500,0.0021793437266019243,0.002004032331410183,0.028347681833490596,0.026428844274453193,0.14317325918317927,0.1369239851373407,718542,403158
d:9000-10000,9500,0.0020121297348779524,0.0018470207314964715,0.028763191506248603,0.026906621819153452,0.14457642603578433,0.13734278484195966,2860079,1590575
d:91000-92000,91500,0.002349759097014282,0.0021739035746797504,0.0283020960408118,0.026761097100445583,0.14397742535704164,0.13777348020576077,405765,229587
u:7000-8000,-7500,0.001973087227928537,0.001800443775488632,0.028274728566117686,0.026471587346616483,0.14297231953867404,0.13593831592984154,3986422,2213732
u:95000-96000,-95500,0.0022237039805694417,0.002050178644032425,0.029653674817127548,0.028223238476290536,0.1465437563352787,0.14031022534694362,492283,277927
u:79000-80000,-79500,0.0021192878236971032,0.0019951317305957825,0.02861605542508907,0.027427356714420426,0.14676016358302424,0.14022819405243733,546756,308597
d:88000-89000,88500,0.002046177818111548,0.0018791121201526797,0.028932685275102676,0.02699809653707868,0.14529697097191613,0.13848232282903794,408811,231683
u:81000-82000,-81500,0.002195649255227386,0.0020789532676922006,0.028323245476097204,0.026779884562145785,0.1458739100608214,0.13928935203322104,543723,306312
u:36000-37000,-36500,0.002084755453527814,0.001955917865449858,0.028427160701175583,0.026775211484614588,0.14465924406534172,0.13809093468051378,1202723,674990
d:70000-71000,70500,0.0022262967177559085,0.0020279014040500212,0.028850763003997384,0.027253134940843905,0.14349518771857428,0.137457653388836,479814,270978
d:35000-36000,35500,0.002127627192372369,0.001954737599852857,0.02878837591808607,0.026824465099464387,0.14492725923235952,0.13791824036988765,941769,525565
u:74000-75000,-74500,0.0021687722141090016,0.0019773228866173794,0.02846906862450904,0.026652090767385738,0.1447859776875321,0.13827263807079526,599844,339373
u:85000-86000,-85500,0.002195840156022671,0.0020652478148383466,0.02868501782455736,0.026595489941285588,0.1446626303966797,0.13820715108984039,555133,313211
u:84000-85000,-84500,0.0021501780900452542,0.002010800882578374,0.028735316719727743,0.027239499382173515,0.14619058074431882,0.1402093150720473,546540,308339
u:9000-10000,-9500,0.002044737451798098,0.0018778307064942015,0.027987241712414297,0.026208718514210777,0.14281271352166436,0.13572296424822333,3395440,1888074
d:71000-72000,71500,0.0022525209836258917,0.0020621712818290074,0.0282802272325202,0.026355711219703166,0.14374029445875022,0.137570520752501,508730,286086
u:60000-61000,-60500,0.0021481334338890835,0.0019715380247216155,0.02800791876531904,0.02597427561565761,0.14411614189134592,0.13705334938404204,742540,416181
d:48000-49000,48500,0.0021617342673951384,0.0019290340457056485,0.028902755704985652,0.027000793921399292,0.14573284607741357,0.13914530254876145,718582,401803
d:53000-54000,53500,0.0021644007598570288,0.0020069203675808452,0.028602514432249336,0.02691315255376159,0.14338859659667064,0.13753989607056408,648894,363131
u:88000-89000,-88500,0.0023099678967545383,0.002154139473224171,0.028471681403200187,0.026815890682361166,0.14577147448213226,0.13884316182040674,486659,274576
d:4000-5000,4500,0.001940184452226544,0.0017915214328834202,0.028446508410937925,0.026770560680691856,0.14368880384738894,0.1367154204162298,5262790,2916562
d:28000-29000,28500,0.0021507257020553557,0.0020139275288455394,0.028522227027459757,0.026873148204430437,0.14411651840526832,0.13634826303328984,1149209,641607
u:57000-58000,-57500,0.002309281666000916,0.002130277911142158,0.028770624967297407,0.02686122949570061,0.1448472836747378,0.13778070041708287,783577,439481
d:37000-38000,37500,0.0021203041838979723,0.0019667178108214245,0.028336209021444417,0.026973975192475547,0.1450727138279517,0.1382516527259704,912825,510974
u:78000-79000,-78500,0.0021612261528137283,0.0019731072569224295,0.027855809940405724,0.025672096371835058,0.14344931142190206,0.13619098973116145,598044,337526
d:56000-57000,56500,0.002228304775680729,0.0021307720346612023,0.028504820306068275,0.027023146128228776,0.14655884774295805,0.13963615678174376,649855,362134
u:45000-46000,-45500,0.0021285171868351735,0.0019336853795730745,0.028421370594482933,0.026460942548073994,0.144390852309821,0.13700195239364157,1026270,574167
d:65000-66000,65500,0.0022805848347428196,0.0021509436725057674,0.02822803039588185,0.026651032655709343,0.14513880377497243,0.1385536061851211,522176,295936
u:8000-9000,-8500,0.0019630790829590163,0.0018288959277193318,0.028137619230861007,0.026285642709163975,0.14326957440441823,0.13641884624659545,3645973,2027799
d:62000-63000,62500,0.0022479299533086773,0.0021164061391237355,0.028922696368217923,0.027261115503923117,0.14568069576180745,0.13914907852320418,583763,328820
d:98000-99000,98500,0.0021583849972148733,0.0020392322228989985,0.02880288982285534,0.027545331021880712,0.14565374562037706,0.13980696247013072,377601,213430
d:66000-67000,66500,0.0023236165896961844,0.0021918830643430135,0.028502780667809372,0.027044342946971424,0.1443683056264549,0.1377712608033712,534404,302799
u:54000-55000,-54500,0.0021801694871991222,0.0020105242149223235,0.028286287234857186,0.02646505269618626,0.14462248257906424,0.1380637933957547,835776,465973
u:46000-47000,-46500,0.002134340025806058,0.001997006833943441,0.028424746812238593,0.02645361641330861,0.14349885700694728,0.13619522450596103,962823,540342
d:36000-37000,36500,0.002168197318660803,0.00201401260463958,0.028430886934743407,0.026751336130107464,0.14544803466857079,0.1383675267704921,932718,522030
u:97000-98000,-97500,0.0020839952872533057,0.0018970522770820834,0.028528479175020983,0.026500474190489093,0.14481616124430538,0.13773588557493177,456351,258335
d:19000-20000,19500,0.002151314166660933,0.0019809671671838103,0.02826897562495191,0.026715842120281393,0.14460889642027644,0.13779874312753188,1598643,890146
u:55000-56000,-55500,0.0020846326776362612,0.00193999094251967,0.02845094745663571,0.026767237923540133,0.14468650429858418,0.1377430405831457,825737,461497
u:2000-3000,-2500,0.0018753591360532796,0.0017407800978172664,0.028170760232353362,0.026521098078480996,0.14302706901945517,0.13649441973038443,8969442,4985691
d:85000-86000,85500,0.002122406434850786,0.002004168772107125,0.02864924317812811,0.027337038908539668,0.144062793122658,0.1370052214923362,420046,237480
u:21000-22000,-21500,0.002077317125902031,0.0018874367571090189,0.028211025491496344,0.026389522990582306,0.14410856098636288,0.13706119773796085,1925701,1071069
u:80000-81000,-80500,0.0021919747007895416,0.002089482171242133,0.028646908717427443,0.02701728880895835,0.14583223037528809,0.13877104704135151,566658,319166
u:18000-19000,-18500,0.002066298451933598,0.0019171714926012838,0.028142427432257287,0.026433009795417486,0.1429883235290967,0.1359918352556253,2053874,1142473
d:38000-39000,38500,0.0022657051960383754,0.002080990954802271,0.028948241070104814,0.027091184717027216,0.14598840848052858,0.13882289296953376,883577,495401
u:3000-4000,-3500,0.001935374680416603,0.0017780090921073201,0.02806288244654349,0.026377188957682922,0.14325642507378952,0.13665452012802437,7107039,3942687
d:60000-61000,60500,0.002132326963505539,0.0019557844315853073,0.029000031481850715,0.02727306702877111,0.14500015740925357,0.13872607338843798,571758,321086
u:53000-54000,-53500,0.0020977860702747378,0.001872137898863499,0.02887967050605734,0.02690866634392811,0.14359465323676798,0.13592242883818187,878438,491626
