chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
d:13000-14000,13500,0.003308070061416862,0.0030369410855131534,0.02827641225012056,0.026402838909196955,0.1432430351634327,0.13659198649042734,2117171,1179608
u:10000-11000,-10500,0.003288738430195938,0.0030119824283606203,0.02829646026475617,0.026536369299242513,0.14203800894685967,0.13473842254673063,3024972,1682408
u:91000-92000,-91500,0.003813595266407226,0.0035235839241985305,0.029090245748054196,0.027257158405224156,0.14609983064283655,0.13875062020839002,444032,249916
d:27000-28000,27500,0.003538028348103753,0.003225850381552196,0.0285737567371295,0.027023476314604725,0.14385019507342228,0.13709763987176385,1116759,624161
d:49000-50000,49500,0.0035870421763113712,0.003343981589063187,0.028487392964728766,0.02668129985245493,0.14253658767997343,0.135425094980388,632385,357179
d:39000-40000,39500,0.00354983298557391,0.00330310111580127,0.029134557152279396,0.027283319379441656,0.14490166703853632,0.13796864855648266,815698,457459
u:1000-2000,-1500,0.0030340163480379145,0.0028001808478690213,0.028206206328260052,0.026620226836570417,0.14246565751719337,0.13625058821330951,12712025,7063764
u:27000-28000,-27500,0.0034011851880810084,0.003133456472909293,0.028263287116769138,0.026073013936933873,0.14319013668104985,0.13556267621123352,1432459,800176
u:98000-99000,-98500,0.0036631925041071237,0.0033820265531224027,0.028302444989382475,0.026571219166023584,0.14461749514048225,0.1376297634882287,456321,257873
d:42000-43000,42500,0.003561377888573169,0.0032759630116644986,0.028726404630871775,0.026615170694511005,0.14395023714204228,0.1371198296477987,757352,423593
d:93000-94000,93500,0.0036505517532281983,0.0033754442169924392,0.029110255398473325,0.027613641313027192,0.14517300967439076,0.13940388217018249,367465,206637
u:16000-17000,-16500,0.0033822162772046247,0.0031252943427638987,0.028130285154958915,0.026355291975293453,0.1425685210689527,0.13550501369144646,2120917,1178473
d:86000-87000,86500,0.0035040863828987743,0.0032261421464042524,0.02878212220528986,0.026823525074765795,0.14482913387470514,0.13821419190732268,383224,217011
u:30000-31000,-30500,0.0034786234763615324,0.003147993197700893,0.028551271112437843,0.026490093612023584,0.14309949398622984,0.13560165471761315,1299767,725441
d:14000-15000,14500,0.0034219239848207166,0.003136681805647625,0.028480188720901255,0.026753446446539673,0.1441290919176965,0.13647179565845435,1970317,1095186
u:0-1000,-500,0.0030133417960512277,0.0027700171435011867,0.028457846563620784,0.026843405595268165,0.1424816514458644,0.1362189517822795,28094993,15476613
d:96000-97000,96500,0.0035977832594261384,0.003358895136767869,0.029061925199264257,0.027164788931814964,0.14639898478604937,0.14070369546309594,350665,197756
d:21000-22000,21500,0.003415257684249782,0.0031810656211672156,0.028415142956102354,0.02662886065971223,0.1440219872267719,0.13663708048426954,1380074,771306
d:54000-55000,54500,0.0037178178573377373,0.003471589987307586,0.0291609291695956,0.027487188296258125,0.1444404857052066,0.1373443270634716,623094,349290
d:99000-100000,99500,0.003597020148442925,0.003372442417582063,0.02899968669785031,0.027614386204425852,0.14550961068085505,0.13988255171645875,363866,206559
