chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
d:13000-14000,13500,0.002309424412916477,0.0021026163191115266,0.028441647539611155,0.026237464652548392,0.14256978720440736,0.13470248721819944,1349746,740506
u:10000-11000,-10500,0.00239333148391965,0.0021781778354499318,0.02824615590114031,0.02634718332759014,0.1403991215911434,0.13202809149635267,1886593,1030205
u:91000-92000,-91500,0.002785728941021093,0.0025756796055391566,0.02910552973735053,0.027142193716817493,0.14415609280629385,0.13577372510135177,287265,159346
d:27000-28000,27500,0.0024606540145372265,0.0022355053702180954,0.028695316989948778,0.026706585307064837,0.14220887563507226,0.13429916145483148,718619,394135
d:49000-50000,49500,0.0025816419598279996,0.0023250891217079274,0.02861757431989098,0.02633446997905262,0.1421361155374177,0.13358417928517613,416073,229623
d:39000-40000,39500,0.002716451789959033,0.0024974280524251934,0.028766614886632333,0.026525483943642444,0.1428765467053359,0.13471743236920092,522724,288515
u:1000-2000,-1500,0.002311168026716374,0.0021057494570983033,0.028286593383740316,0.02644447558218691,0.1414366977383771,0.1343912565219166,8309166,4531835
u:27000-28000,-27500,0.0024751214730104306,0.0022800846593083396,0.028715930004187984,0.026633621893325885,0.14198970800267263,0.13329416053864532,938399,515664
u:98000-99000,-98500,0.002483898821807561,0.0022495014943151406,0.028939883759959015,0.026691712623035088,0.14090836822301128,0.13324914168945975,283035,157577
d:42000-43000,42500,0.002532247684602255,0.0022401473563773916,0.028941662257358357,0.026310835335135584,0.14348407980329297,0.13490515598996966,481935,265594
d:93000-94000,93500,0.0026200402842039843,0.002416112229304111,0.02804832705810957,0.026622078720787208,0.14060062652517855,0.13465559655596557,233989,130080
u:16000-17000,-16500,0.0024929946696243856,0.002298083269487728,0.02817433851178087,0.026388401407626792,0.14065464622885596,0.13295947354652807,1391408,760713
d:86000-87000,86500,0.002874795783034977,0.0026221259915182923,0.02899022525874315,0.02718815811402512,0.14360667658797266,0.13628925957911003,236528,132006
u:30000-31000,-30500,0.002470029306352783,0.002184479531151805,0.02842159924521126,0.02622562581616166,0.14094509497026922,0.13218609592527833,820362,451810
d:14000-15000,14500,0.002448014084292397,0.00221796575328853,0.02833612551692768,0.0263500772978544,0.1419024540250688,0.1334354211561885,1248724,683072
u:0-1000,-500,0.002290707269414386,0.002077323350752192,0.028558008320781637,0.026710750871640904,0.141623793467923,0.13466543220960625,18943653,10202596
d:96000-97000,96500,0.0026080047537890136,0.0023332104532662935,0.028718014907553806,0.02642425048195174,0.1457704310468016,0.13915110017948548,216937,120344
d:21000-22000,21500,0.002518804195894948,0.002348238270364038,0.02828702229937547,0.02645748506986843,0.14253782786631825,0.13491087763751766,873298,479902
d:54000-55000,54500,0.002668576954796917,0.002489149069547634,0.02950317637815124,0.027421974537779982,0.1427023751102816,0.1333508398253241,372909,205638
d:99000-100000,99500,0.0025133429244206303,0.0023540114591122296,0.029193372538654686,0.027804982216887698,0.14162234042553193,0.1341575664749674,242144,135803
u:12000-13000,-12500,0.002437849100188044,0.0021756760922579848,0.02853950781877951,0.02633966621759094,0.14190398952683028,0.13401996095790603,1662152,909275
u:96000-97000,-96500,0.0028557110789233417,0.002575268407632755,0.02924096467855435,0.027211723972171156,0.14583805280777265,0.1388518978050032,278103,153941
d:20000-21000,20500,0.0026341515235470065,0.002378284776610528,0.02850246182910521,0.026409566909337354,0.14305223178933638,0.13478856247925572,916798,503151
u:83000-84000,-83500,0.0025881858930873023,0.0023461003955345824,0.02895608776728391,0.02681312136344894,0.1427377877739551,0.1353999633481468,314787,174616
d:79000-80000,79500,0.0024773697235757055,0.002235350110865245,0.028349824135885725,0.02649262063785298,0.14117487051036484,0.13426987961590775,264693,147777
d:18000-19000,18500,0.0026446587289818703,0.002404352657395844,0.028738958179320952,0.026796624649001705,0.14253932642168707,0.13439765268200546,1009118,554846
