chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
d:13000-14000,13500,0.0019376498652930918,0.0017846443191509207,0.028620939081950396,0.026659205417189188,0.142888086926219,0.13566423572180544,1782017,993578
u:10000-11000,-10500,0.0019040032081169785,0.0017300861044658939,0.02846585049790455,0.02663730203951847,0.14150536886960086,0.1338594495697385,2531911,1405773
u:91000-92000,-91500,0.002037034618749755,0.0018655162752828382,0.029204591456964885,0.027239757229030357,0.1449234104234953,0.13737363418111234,382885,215347
d:27000-28000,27500,0.0019316595245404576,0.0017946745019053762,0.028780525755810776,0.02712662233571081,0.14313409674882566,0.13632900459025296,951164,530254
d:49000-50000,49500,0.002161162566276159,0.001969517312325726,0.029017914185683984,0.027177779582555024,0.14311634546231158,0.13570697636644197,547834,307825
d:39000-40000,39500,0.002234713153916944,0.002075467083812623,0.02900256077991266,0.02683935950277879,0.14346250979965317,0.13592617145432487,679871,381641
u:1000-2000,-1500,0.001826251522503081,0.0016825974937295198,0.02838753986603505,0.02671462287084873,0.1419546117757314,0.13566551077681066,10879562,6036619
u:27000-28000,-27500,0.0019979109292532038,0.0018400866569674114,0.02863939282195614,0.0267144109148442,0.14246591038378706,0.13487364453867312,1239307,691462
u:98000-99000,-98500,0.0019827233690335438,0.0018347865719586104,0.028926303214006265,0.027005775094577,0.14333564533128626,0.13671072979372165,405133,228914
d:42000-43000,42500,0.0020751134910001238,0.0019185946092941811,0.029111154624774316,0.026591551780211786,0.144128045292584,0.13672820281019343,648583,362822
d:93000-94000,93500,0.00213686198081889,0.0019452050046788899,0.028674056697391582,0.02752457861112074,0.14312951641608454,0.137963701059393,307351,173118
u:16000-17000,-16500,0.0019030772049521449,0.0017661218165693202,0.028301320920980307,0.026415324548560274,0.14218276957170403,0.13498716919346967,1833872,1016304
d:86000-87000,86500,0.0021690524181381485,0.0020636674209148585,0.029099730848611397,0.027658724876880075,0.1447080974738392,0.13813922534273926,331412,187825
u:30000-31000,-30500,0.0020182794203172623,0.001827515166134779,0.02855015369732764,0.026653605807627236,0.14233163528319676,0.13437146517412124,1099889,613538
d:14000-15000,14500,0.0019740920611345868,0.001815462823077865,0.028448409253708694,0.026713357645880658,0.1429219213101395,0.1353311313070967,1673837,930658
u:0-1000,-500,0.0017783925961339098,0.0016235498510462159,0.028576469318199342,0.02688254557680483,0.14183867700959754,0.1354314698476998,24316125,13363541
d:96000-97000,96500,0.0020423279338858034,0.001904628910044686,0.029025161744310767,0.02681780648921702,0.14628380917245667,0.14060374975714007,292746,164704
d:21000-22000,21500,0.002010871061315642,0.0018884523187930333,0.028668047665091824,0.027006421225623908,0.14347271782554685,0.13627507304548458,1162444,649253
d:54000-55000,54500,0.0020674041231205417,0.001961747824643125,0.02959251383673408,0.027756835713997226,0.14453920282314617,0.13693978109559904,530472,297116
d:99000-100000,99500,0.0019081602472975684,0.001850974964182511,0.02938248754130372,0.027800348555065538,0.14393570772073438,0.13710766540955222,314439,178451
u:12000-13000,-12500,0.001969666282657748,0.0017846093746431706,0.028578866783855853,0.026469504857444308,0.14252376755317314,0.13521774069396206,2231719,1240673
u:96000-97000,-96500,0.0021812555073282267,0.0020001994193286007,0.029847619906190923,0.028033332862264053,0.1463904186409085,0.13999707937046302,377149,212283
d:20000-21000,20500,0.0020717606495745363,0.0019340105136826074,0.028534950992964676,0.026756421395838115,0.1436641484073931,0.13668659171284686,1232068,688246
u:83000-84000,-83500,0.0019195833951363638,0.0017763185838828538,0.029159793420561755,0.02730878277213214,0.14313132357369843,0.13661957248892995,444962,251128
d:79000-80000,79500,0.001965281613723604,0.001838919465496741,0.02872636628991058,0.02707429621651532,0.1429841212872328,0.13690799679851387,356641,202406
d:18000-19000,18500,0.002091383089928006,0.0018968183934766538,0.028742923270500046,0.026907204401979183,0.14352298200865474,0.13589431197747825,1346314,750208
u:35000-36000,-35500,0.001993794877801286,0.0017798744797482163,0.028644067614484396,0.02679012416857407,0.14142585283716713,0.1338756699933313,930629,520341
u:20000-21000,-20500,0.0020016244391046567,0.0018235282465505346,0.028354656750200453,0.026485676638412687,0.14194778570395936,0.13447857752625883,1570183,875039
d:78000-79000,78500,0.0021012000147354075,0.0019708765010595713,0.02927833342542963,0.027779412918923163,0.14188815825827486,0.13519837532375795,361940,203856
d:1000-2000,1500,0.0017381525315303412,0.0015900060166244363,0.028479709881570166,0.02674945462520795,0.14248945935338855,0.13579111480430034,9679909,5375661
u:77000-78000,-77500,0.001830901889039676,0.0017275290190271184,0.028608300551423223,0.026678167412179595,0.14364703760328448,0.1364174159962139,465704,262012
u:22000-23000,-22500,0.0020776763475727246,0.0018896228802513934,0.028484421260397574,0.02658338709411665,0.14304878048780487,0.13537197603515386,1418600,788989
d:63000-64000,63500,0.0020273814953808453,0.0018661789654799005,0.029047160992264027,0.02718853902211099,0.1453374158323285,0.13813253761034439,442866,249333
u:6000-7000,-6500,0.0018597513264698626,0.0017036929001037033,0.02835422677181863,0.026557657966230205,0.14238038100208475,0.1351955540061612,3548642,1967794
d:92000-93000,92500,0.0020781222717800416,0.0019234034628383004,0.02905176501948046,0.027326953940197296,0.14250645474241472,0.13640471717232577,322631,182567
d:33000-34000,33500,0.0020345328250367875,0.0018613684669663033,0.028927117228951357,0.026989177195523833,0.14411039534991907,0.13658265462868546,816846,456998
d:16000-17000,16500,0.0020709207689184007,0.0018907946355259558,0.028974108199927934,0.027109629472552563,0.14311490880389835,0.13570965363685006,1457025,811114
d:55000-56000,55500,0.0021254418969116565,0.0019904140160551327,0.029112856433600315,0.027458678859479724,0.14300013359094452,0.13651596046802225,501531,281696
u:70000-71000,-70500,0.0018998020717359738,0.0016981209689941345,0.02858956579487079,0.02710435018389382,0.14325058108873567,0.1363351942878199,511970,287666
d:6000-7000,6500,0.0019344519477265448,0.0017779560218034143,0.02867906128540556,0.026881399763900127,0.1429976147866372,0.1360134457639879,3203487,1777214
u:90000-91000,-90500,0.0019375338550575894,0.0017378049263205226,0.028737598357851522,0.026822908007922898,0.14266432175846733,0.13582451823739247,374144,210529
d:25000-26000,25500,0.0021127068827246696,0.0019488331931358368,0.02853572846075823,0.02653780228985334,0.14375566564256348,0.1361452610313139,1020405,568246
