chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
d:13000-14000,13500,0.0019567679648893315,0.0017823641037600444,0.028538665769853932,0.026559545455004347,0.1427765614692582,0.13554575383456718,1778149,990529
u:10000-11000,-10500,0.001932166061182966,0.0017758562141359055,0.028454261809335933,0.026659562640996046,0.14115796153642757,0.13354943414128406,2496076,1387007
u:91000-92000,-91500,0.0020350450559281767,0.0019129414689476217,0.02922638962566901,0.027464690253111452,0.14487139758289433,0.13746329184729408,380786,214530
d:27000-28000,27500,0.0019974600406734567,0.001809965704035509,0.02866967098839911,0.027004250049685832,0.14270776931243098,0.1360130559080277,938204,523288
d:49000-50000,49500,0.002141537350964251,0.0019740831764067535,0.029131887674612052,0.0272892662219527,0.1432213234661389,0.13598353068845553,557808,313310
d:39000-40000,39500,0.0020491189342405286,0.0019003556363661697,0.029013468866147196,0.0267850611826912,0.14315555874349137,0.1354561793995632,683131,382788
u:1000-2000,-1500,0.0018276315685625808,0.0016780139165921088,0.02834616898730463,0.026690239588294175,0.1417940458645265,0.1354808670105962,10854271,6022164
u:27000-28000,-27500,0.001984333066636805,0.0018252984860097333,0.028573584709687575,0.02652961203241959,0.14235508722274787,0.1346521060660928,1232362,687609
u:98000-99000,-98500,0.002110677025270568,0.0019446717634753993,0.02884620148739775,0.026992372291682165,0.1435076227895892,0.13681736824370155,403658,228509
d:42000-43000,42500,0.0020587303290963274,0.001918837711965826,0.029057483248746532,0.026696594478154343,0.14317453502813599,0.13618798612138852,652190,364878
d:93000-94000,93500,0.0021107970068481277,0.0019203868054305994,0.02871109278836244,0.027449022828717865,0.14354237626418787,0.13837116836832422,305631,172283
u:16000-17000,-16500,0.001987428273630937,0.0018314792844579247,0.0283191394487231,0.02653945624494294,0.14206142548072953,0.1349965996693985,1816510,1007255
d:86000-87000,86500,0.002319302850863806,0.0022008678089170145,0.02940601916854893,0.027896164277411855,0.14476527684512544,0.1379525593008739,327620,185832
u:30000-31000,-30500,0.0019484591017628241,0.0017383078245494484,0.028462768163832197,0.02658547502455123,0.14195310424541271,0.13401798419368416,1072805,598748
d:14000-15000,14500,0.0019338168876613165,0.0017507165688064323,0.0285701234849132,0.026683140902732654,0.14303154987328798,0.135309601470731,1685712,937221
u:0-1000,-500,0.0018043494111078862,0.0016436631012316269,0.028575158954559067,0.026879446268994286,0.14172571506148315,0.13531040288167362,24248754,13321703
d:96000-97000,96500,0.002182895620118541,0.0019841754004953577,0.029183935776096116,0.026909139712790228,0.14643861132303718,0.14087797855077414,290982,163922
d:21000-22000,21500,0.0021128462628347937,0.0019822063133867664,0.028682570631188592,0.026881954711695587,0.14316000931438483,0.13592405260291027,1150908,642550
d:54000-55000,54500,0.002093379425857447,0.0020102652325834094,0.029649755452136304,0.027928441475544692,0.14411880552039555,0.13662134808832516,523006,292963
d:99000-100000,99500,0.0020090164115059987,0.001950340812874371,0.02918055804787135,0.027568880514470883,0.14376517033273203,0.13717741352764948,317643,179913
u:12000-13000,-12500,0.00195553398699581,0.0017871001493798898,0.02851223477802649,0.02643116094764354,0.14253910489976626,0.13525662643570072,2220310,1233544
u:96000-97000,-96500,0.0021985906325271845,0.002000392264058574,0.029468276178939892,0.027677781329775157,0.14598387703103463,0.1396305613854643,383056,215841
d:20000-21000,20500,0.0020511968203782258,0.0018849453566013204,0.02855349341830485,0.02667413758782633,0.14336142193283286,0.13647013720445011,1213897,678185
u:83000-84000,-83500,0.0020330412178533523,0.0018877463198569825,0.028811923629720133,0.026941859093995615,0.1431564517940689,0.1363723229932869,436243,245937
d:79000-80000,79500,0.0020293399829709106,0.0018864968152866243,0.02887616689278906,0.027087898089171975,0.14259596219657894,0.13624458598726114,345683,196250
d:18000-19000,18500,0.002060407552521661,0.001894902726528484,0.02867958551833412,0.026762370181300295,0.1432918542286809,0.13569976259081198,1357551,756921
u:35000-36000,-35500,0.0019868618354146163,0.001812550532541365,0.028770381377553743,0.026723199449951298,0.14157918446734602,0.1341221184514601,936762,523590
u:20000-21000,-20500,0.0019693406930192973,0.0018140096396286652,0.028339489541920417,0.02642738445201906,0.14185954874403733,0.13434571652504487,1560755,870158
d:78000-79000,78500,0.002084032105657982,0.00195705768649665,0.02929704405782048,0.027569799845555402,0.1426848004847226,0.13584889370662243,369696,208489
d:1000-2000,1500,0.0017636479053878965,0.0015975228478591723,0.028493740687164874,0.026730704006118825,0.14248268725499183,0.13569337704668608,9654015,5363121
u:77000-78000,-77500,0.002093197359285385,0.0019363967617626952,0.028484973131924874,0.02646606377027783,0.14340069314382733,0.13608288271489838,457048,257424
u:22000-23000,-22500,0.0020583168991579123,0.001885856390129437,0.028500727740060194,0.026711797583254697,0.14284426788498372,0.13527049897423946,1409157,785271
d:63000-64000,63500,0.0022034182179782404,0.0020890118966734607,0.029149335989076604,0.027321050317733103,0.14545827343640863,0.13790016386235562,443818,250210
u:6000-7000,-6500,0.0018894666069947336,0.0017230444721602932,0.028392308814009132,0.02664069609739872,0.14236038321024364,0.13528805779477968,3572869,1981217
d:92000-93000,92500,0.0019472672427647763,0.001752837338077541,0.029036704619911237,0.02763573654367745,0.14252246906254248,0.13668884147106816,323556,183241
d:33000-34000,33500,0.001955174541824637,0.0017253465130305612,0.028743220184794527,0.026804971407590784,0.1443049552274035,0.13683902726447264,813444,454841
d:16000-17000,16500,0.002098337259293585,0.0019225331677268863,0.02892614413698751,0.02710092540651388,0.1432288218809303,0.13583650037088085,1450176,807537
d:55000-56000,55500,0.00221081033298379,0.002042862491539824,0.02919158343084105,0.027598174042020075,0.14333229415075166,0.13709085148971098,493978,277772
u:70000-71000,-70500,0.0018985684804539076,0.0017389379975747952,0.028783374811810612,0.02706624368174834,0.14306042031523641,0.1359437936545418,520752,292209
d:6000-7000,6500,0.0019637993792066457,0.001786210398563295,0.028757357779099452,0.026968409622671285,0.1426819764513146,0.13570457234692615,3164338,1755313
u:90000-91000,-90500,0.0020184049133876053,0.0018883592790000549,0.028630257349438405,0.026729906783441733,0.14333919100600234,0.13627462490314401,377852,212945
d:25000-26000,25500,0.0021698017600983357,0.0020281200057002003,0.028665019026323017,0.026604859538354456,0.14376250441332236,0.13600277001459204,1019640,566062
u:40000-41000,-40500,0.0019610233067260175,0.0018303744029742914,0.028691956370123724,0.026681142384041304,0.14229120253261418,0.13462612424383252,914786,512122
d:68000-69000,68500,0.002106451881574241,0.0018792991808871738,0.02925369039395231,0.027556860251395917,0.14321619119008774,0.1365168686138381,408222,229598
u:32000-33000,-32500,0.0020353139749737367,0.001881720430107527,0.02840231193672479,0.02653089952009009,0.1419423945162943,0.13491000870777872,1098819,610948
d:7000-8000,7500,0.0018605646937583235,0.001715619516781113,0.02857614584353897,0.026772096875434765,0.1425040731830338,0.13566127170726003,2755830,1530997
u:75000-76000,-75500,0.0019823576391388253,0.0018077141340362827,0.02881734140898948,0.027015944496311346,0.1445782389173959,0.13745583685723178,486235,273135
u:68000-69000,-68500,0.0021637963803507613,0.0020141679237139186,0.02924240946500514,0.027385831186341126,0.14411700714977005,0.13713940542777428,533164,299644
d:97000-98000,97500,0.002154848456338534,0.0020434695044677887,0.02869526568669117,0.0270632292337595,0.14182825664500598,0.13527624671542,308239,175441
d:44000-45000,44500,0.0020820123186449813,0.0018825397187771699,0.02886773135792058,0.027144414448864514,0.14371095852559587,0.13594466100872662,626097,350422
u:65000-66000,-65500,0.0021399964627385627,0.0019529892608343123,0.02854906268799486,0.026521933380768786,0.14267805565208294,0.135257227011732,535254,302165
d:45000-46000,45500,0.0021375104448970125,0.0019706814699787093,0.029020133631138662,0.02762019189898383,0.1449783476887786,0.13896240797519935,629494,352894
u:44000-45000,-44500,0.002092781964395546,0.0019213845271937107,0.028963621179386237,0.026962872927690177,0.14397188629370594,0.1368159368304697,811846,454143
u:69000-70000,-69500,0.002002358566766825,0.0018130258776717003,0.029132499757681497,0.027345638928418466,0.14363477755161383,0.137166857790243,515850,289516
d:34000-35000,34500,0.0019549791925760926,0.001780874907987441,0.02872635357569,0.02750461940601199,0.1430515649083153,0.13660372256523504,792826,443780
d:75000-76000,75500,0.0021682505888282063,0.001991038862988332,0.029292274779639402,0.027785753022617793,0.14417805753545826,0.1388968641337289,388908,219429
u:38000-39000,-38500,0.002088895135018233,0.001884412532031201,0.028827491659380543,0.026777918112836016,0.14279207166211352,0.13607152446968265,900113,502765
d:31000-32000,31500,0.00209188106339544,0.0019123124687361766,0.02865445815678946,0.026571665984546886,0.14298087775454696,0.13583691962975364,864752,483786
d:67000-68000,67500,0.002115387252067299,0.001959248657857808,0.029107115637271624,0.027126077683318813,0.14399432858860733,0.13747140840174574,413301,233023
d:12000-13000,12500,0.0019793970360202345,0.0018032175858836675,0.028408013857567735,0.026779489750358366,0.14316708609776557,0.13564717263420098,1835820,1021304
u:86000-87000,-86500,0.0019067076646496538,0.0016976090598219602,0.028756530236403954,0.02677659176807742,0.14260110121396624,0.13535324168293392,425712,240770
u:13000-14000,-13500,0.001884332251411009,0.0017389674771381791,0.02848540826573491,0.02642059839974358,0.1421408034469865,0.13483601037285325,2110133,1173062
u:62000-63000,-62500,0.0020443388715024797,0.0018388589414957781,0.028575259237828436,0.026575693606755126,0.14285865496230069,0.13629309911540008,566854,318336
d:9000-10000,9500,0.001935806081128348,0.0017872179597922852,0.029017167317366466,0.027025113781161562,0.14347819926910282,0.13634411304780797,2258594,1257238
d:91000-92000,91500,0.0020636936331266654,0.001868824426404351,0.02854112198401434,0.027130655525292858,0.14212893105251365,0.1352037443477801,334675,189085
u:7000-8000,-7500,0.0019775186011471444,0.001840141221681125,0.028548709155362534,0.026678971504834382,0.14232329054494983,0.13511109849076428,3176641,1760825
u:95000-96000,-95500,0.002041920129222944,0.001894194841884626,0.029750489741210435,0.028314954889273672,0.14529848437983298,0.1386084024423585,387960,219460
u:79000-80000,-79500,0.0019798053696126537,0.0018386264552225189,0.028727483300884343,0.02739201104944458,0.1447288463967324,0.1379117223490176,419633,237478
d:88000-89000,88500,0.0021845633460312124,0.002022545665344351,0.02868017514018329,0.02722302419950669,0.14441950859855515,0.1381611102901895,309238,175954
u:81000-82000,-81500,0.002199278620654685,0.002070070237247877,0.028985669352637727,0.02733407295183334,0.14429749403821804,0.1376247112107873,447014,251481
u:36000-37000,-36500,0.0019885648627530807,0.0018338868523179225,0.028537125681959097,0.02672644177486851,0.1436400855376377,0.1368124719688349,962851,539578
d:70000-71000,70500,0.002084351072018081,0.0019576438558805247,0.029057273661590208,0.027684536033803085,0.14285981233566022,0.13628402143379836,374605,211815
d:35000-36000,35500,0.0020348853709621574,0.0018579449063895505,0.028735305970699922,0.026613616941424684,0.14307628123988944,0.13574592934648927,704708,394347
u:74000-75000,-74500,0.0020299521090938605,0.0018638344466735746,0.02873870630032864,0.02664667798378859,0.14416806981540875,0.13719805698244375,480467,272154
u:85000-86000,-85500,0.0020049275458679165,0.0019095201392602846,0.028831684046054455,0.026418032529021297,0.143517913143693,0.13592427722024727,451205,254296
u:84000-85000,-84500,0.0021375292170032543,0.0020099131938123116,0.02880067279608142,0.02704113213501147,0.1452330351967815,0.1387981988761181,439955,247179
u:9000-10000,-9500,0.0018831647703329121,0.0017207405617483676,0.028090799602031733,0.026359593533748452,0.14173280769604799,0.13437456038737738,2673580,1485683
d:71000-72000,71500,0.0020316151202749142,0.0018475809530574374,0.02853858169322087,0.026330276043932628,0.14199562636676039,0.13578449217327995,400125,225254
u:60000-61000,-60500,0.0019657790502110215,0.001855756388479529,0.028300364484473227,0.026402230074039877,0.14267795442862774,0.1355237537212289,601123,337926
d:48000-49000,48500,0.0021503315074685326,0.0020156561262228206,0.02905113013102917,0.027134392246772134,0.14403978799615183,0.1370215360384105,563386,314914
d:53000-54000,53500,0.002064439668096415,0.0018487958461845097,0.029371384204596025,0.02750855525189432,0.14314146932669275,0.13668471743176913,528065,296017
