chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr12,-2850,0.002295096107575111,0.00226252725053435,0.030262309668866956,0.029966259974095334,0.15386291618620446,0.150630826550682,110137,62537
chr14,-4950,0.0025337820610881645,0.0024113569714742738,0.03386874713171179,0.03225806451612903,0.1647850696037938,0.16225006664889363,32685,18755
chr19,1750,0.002463962124306091,0.0021654609986724105,0.03063030358034215,0.02870844509469235,0.15074647184280981,0.14638706006665042,110185,61515
chr19,-9750,0.0015585721468074408,0.001613079615048119,0.027149321266968326,0.027559055118110236,0.14215686274509803,0.12860892388451445,2652,1524
chr14,8250,0.002779008789423148,0.002833206638793868,0.03323731442499446,0.03211706575446598,0.17017504985597165,0.16647662485746864,9026,5262
chr10,5350,0.0027309366628396484,0.0030530279259491683,0.0286308840413318,0.02685911515531848,0.16130884041331803,0.15764041418261687,27872,15935
chr10,1250,0.0025372722252898954,0.002401023947701955,0.03145552592314109,0.0298512440797812,0.15833029829528766,0.15287088920018677,425585,239856
chr1,6850,0.0025390945236924084,0.0023624880076750883,0.03350959173635022,0.032619123760793095,0.16545745204131826,0.1640017055750986,32528,18762
chr1,-3250,0.0021623194644043164,0.0021816491860526073,0.030727789001589848,0.030146498433398256,0.1584779122321038,0.1559343357971523,144039,82663
chr3,8150,0.0026717596923396736,0.002853713244313602,0.03292797006548176,0.033645252865103566,0.1625818521983162,0.16202292082851436,16035,9511
chr19,-1050,0.0022925137134393756,0.0020946542022818424,0.031033195344200147,0.029564611427004027,0.1518345443281543,0.14629589816963326,243739,134891
chr14,-1350,0.002195118192745092,0.0020543342691703172,0.03137143929821219,0.030150012537921066,0.15690482661234964,0.1540492568208749,356917,203383
chr9,-7250,0.0020181949963759965,0.0021051122579506857,0.028567144035390266,0.028318115654360196,0.1489090500112469,0.14847161572052403,13337,7557
chr7,-4250,0.002472526037586052,0.002478392536372956,0.02870663449183616,0.027198600569929184,0.14455169387946976,0.14155122309059617,63818,35443
chr16,-2650,0.0024045510714994587,0.0023256912602473254,0.03261558556308945,0.0320300125052105,0.15854478400338065,0.15556481867444769,104122,59975
chr8,7150,0.0020923267409563963,0.0020782853211283618,0.02956530468828431,0.027909898591043706,0.15174179299267143,0.1474468276047743,19922,11143
chr11,750,0.001765413171215178,0.0016626885081703702,0.028817563980036105,0.027026437589357112,0.14738372093023255,0.14136234763854896,753360,412670
chr19,2750,0.0021435281799731787,0.00198435633645436,0.030593145586368622,0.028089238238353947,0.1512445945655214,0.14584055793164566,46481,25953
chr5,-1550,0.0021828690030445486,0.001977903993114459,0.03045199587985179,0.028905172527748525,0.15610187115261634,0.15032452224949217,409694,226949
chr2,-8850,0.0016700656260621746,0.0014164569937564066,0.026747195858498704,0.023762929829466033,0.15946348733233978,0.15236231478892928,12749,7154
chr12,-8450,0.0018254268254268254,0.0014229360383206538,0.031563031563031564,0.030431107354184278,0.15658665658665658,0.15384615384615385,10582,5915
chr4,-7050,0.0029213353476855936,0.0030783002667251268,0.029648747324688404,0.028499397128137673,0.1592597255445046,0.16156965910336513,15886,9123
chr13,6150,0.00255675867291858,0.002109704641350211,0.030792285009909603,0.030655300094721432,0.15236622033160924,0.14819598725566177,20687,11613
chr16,9250,0.0027647706927420466,0.0027388714481204213,0.027819859523481615,0.02608065684617242,0.15865583252995455,0.16179666747162522,7261,4141
chr10,-2750,0.0025828949533813427,0.0025834394268454026,0.03096750029792812,0.030210439601587657,0.16034491564378012,0.15535085748520933,117478,66765
chr14,-950,0.0021625804619177513,0.0020623537299919712,0.031254456734249564,0.03033234254087019,0.1571676923549068,0.15414403218367242,553937,312208
chr15,6750,0.002898838440458396,0.0028267527522556077,0.031063153961136025,0.03153712441023094,0.1547552316890882,0.1519741743233176,21408,12081
chr13,-350,0.0020125941099340275,0.0018606995910954278,0.029596607210469868,0.0277717693263607,0.14993876946426055,0.14380698309292458,1262442,707337
chr17,-3350,0.003926860935572328,0.0035425190592529355,0.03032017196515443,0.029229093692049568,0.15653031209089588,0.1523562829305625,61873,33973
chr15,1650,0.0024439416907252095,0.002239983712072639,0.03198199227587468,0.030917815707951164,0.15521378459288376,0.15194341520041574,262554,148167
chr4,-9950,0.0028504442250740377,0.0024137687305626236,0.03047877591312932,0.03286683630195081,0.1620187561697927,0.1620016963528414,8104,4716
chr10,-3550,0.0024680238653475915,0.0023848112504292617,0.029236003888602962,0.02902228811216926,0.15765997598215817,0.15297635500163329,69948,39797
chr10,-6650,0.0024936018318965514,0.0028788060656983958,0.032125538793103446,0.03216900732205017,0.16318696120689655,0.15976473412555517,14848,8331
chr1,2950,0.0021409320374607818,0.002024465975056336,0.030118421363025172,0.03006324184554036,0.15845934278502513,0.15658847108424978,169564,96297
chr12,4350,0.0022078140434206935,0.002005624629958555,0.029591643723334945,0.029048253404381292,0.15569239822618272,0.15119893428063944,47581,27024
chr15,-5650,0.0029115589140778055,0.003131521953140382,0.033585222502099076,0.03112817483756645,0.15798488664987406,0.15634967513290018,29775,16930
chr2,-2250,0.00179471143993838,0.001667661947272805,0.02950965635665981,0.02852801777898723,0.15166521803650548,0.14836988154900937,235855,132291
chr18,-8550,0.00274890590809628,0.0026036757775683315,0.03350656455142232,0.028982092365692744,0.14428336980306344,0.13407163053722904,7312,4244
chr15,350,0.002055441024130721,0.0019366634034252567,0.030766999125263192,0.029286288443433846,0.15083099996923036,0.14626410987010632,1137485,639446
chr12,-5450,0.0023482489310694245,0.002029471745279916,0.029991843997923928,0.028484968094204328,0.1576703492251798,0.14860864416814684,26974,15201
chr2,-2550,0.0018541268298241304,0.0016828255944742803,0.02974543589962718,0.028430207689748587,0.15267970644475543,0.14842450453875766,187222,105205
chr11,-6650,0.0024414970653251007,0.002337043805726311,0.026800823233478162,0.026250207675693638,0.15170363594786188,0.14944342914105332,21865,12038
chr12,5350,0.002253620821082435,0.0020561033402124894,0.0306109114668409,0.02963769777573951,0.1587063051290428,0.15518229763815639,30610,17444
chr12,8550,0.001779613748867043,0.0014637146371463715,0.029805480025099352,0.02952029520295203,0.15906714076553022,0.16512915129151293,9562,5420
chr7,8650,0.003454518987572102,0.0034193485086342224,0.029204650908892408,0.03012166405023548,0.1588514656913587,0.15571036106750394,18319,10192
chr15,-2550,0.0023403169844449737,0.002160810332188424,0.03083453580084336,0.02920754157503274,0.1547540662080946,0.1517581358570758,142762,80938
chr10,-9950,0.002382016446192349,0.0026293995859213255,0.030210940293171253,0.02826086956521739,0.15373614587057563,0.15248447204968943,5594,3220
chr6,8650,0.002416364210194098,0.0025120772946859906,0.02895691967808111,0.02443064182194617,0.16198516648256273,0.15900621118012423,12674,7245
chr1,-350,0.0020522761819670296,0.0019387172849876448,0.02947366678515115,0.028084645770527775,0.15025334680347102,0.14558154987996025,2174687,1225011
chr13,-3850,0.001945628043540533,0.001879967070892569,0.029182182755657406,0.02830636734952348,0.15214122028072186,0.14884589810974258,55856,31583
chr14,1350,0.002281731911501082,0.0021568540557752184,0.03115955983109928,0.029912993810595354,0.1577792848232152,0.1535041287317383,358317,203089
chr11,6050,0.002511754748918563,0.002189896256202075,0.028512318976866655,0.02746955345060893,0.15422230581154786,0.15155615696887687,26585,14780
chr14,6950,0.002399670283703649,0.0024120592442985777,0.03292241824758249,0.03281999495077001,0.16653133535100023,0.16107043675839436,13547,7922
chr7,-3950,0.0025779116247942554,0.0026066573476878304,0.027999348852352272,0.02700051499619884,0.14519235986759998,0.141133482110013,73716,40777
chr5,-9750,0.0018752573075339648,0.0018899304505594192,0.026101276245368465,0.025854248563652857,0.16574722107863318,0.15860296341094648,12145,6614
chr10,-2850,0.0025340243028499367,0.002566474212208691,0.032304702535745466,0.03142316753492385,0.1613075847047889,0.15520788399641636,106517,60274
chr7,-4750,0.0022837393528043226,0.0022805188788510536,0.028629660251110384,0.027136900625434328,0.14770520486838817,0.1456219596942321,52009,28780
chr12,1450,0.0021638897949966124,0.0019956013945705764,0.029856597997641333,0.028803590515576995,0.15268925802323538,0.14962533507188305,318824,178693
chr9,5650,0.0024612831858407077,0.002483919626593807,0.03251250480954213,0.03159153005464481,0.15640631011927664,0.1524931693989071,20792,11712
chr8,4850,0.001956143566740707,0.0019506691865622708,0.0291345884281124,0.028078836733906737,0.157512238252356,0.15227369151849424,46371,25927
chr11,-6750,0.0026447051581482083,0.0025029274004683844,0.029221660963554396,0.02702966432474629,0.15349519309108686,0.14744340359094457,18411,10248
chr18,-7750,0.0018359718557607741,0.0015970054341542376,0.03206819565658616,0.03173777315296566,0.15100466815506394,0.15019077349982657,9854,5766
chr2,1850,0.0017200645133167687,0.0016820694122836035,0.02901065050927742,0.028350355607012902,0.15087688708716562,0.14790770757525637,344115,193472
chr10,-3450,0.002451160753394656,0.002228906370507481,0.03078843626806833,0.029338269319759372,0.1611432325886991,0.15872281351226283,76100,43220
chr2,9950,0.002731358075319527,0.0023482726423902896,0.02932130408037728,0.030065359477124184,0.1571662907525118,0.1553688141923436,9754,5355
chr1,-4550,0.0024060807641465183,0.002301859728544304,0.03114295054937245,0.03071910056463448,0.16223899478344916,0.15929159515459046,70353,40203
chr8,3650,0.0021257374186123253,0.002104623134436073,0.030108409590264867,0.02937992552178055,0.15762851003211242,0.15148956438901878,82834,46188
chr4,9950,0.0028185703185703184,0.002753362631508856,0.033566433566433566,0.035557331202556934,0.17785547785547787,0.1783859368757491,8580,5006
chr13,-1150,0.002034918438765416,0.0019104414181795757,0.02994071346644824,0.028543505015323482,0.1522431311221627,0.14649007794464242,443777,248638
chr7,5850,0.002811789625955776,0.0030198794527340057,0.029241578838603018,0.02742527773904151,0.1468795205620996,0.14400594989076373,38712,21513
chr6,-4150,0.0027999818972783692,0.0026665579989330803,0.02978463418359554,0.02874755497599431,0.15574563413268164,0.15322150435658824,58923,33742
chr16,8450,0.002984079829372334,0.003034979423868313,0.030393053016453384,0.027877339705296694,0.16304844606946983,0.15909996017522898,8752,5022
chr2,-5850,0.0020463644777080317,0.0018117098427221305,0.028398116851762432,0.027714240119155274,0.15493722839208113,0.1531464439597851,33136,18799
chr6,-7350,0.0032495842965486474,0.003183550616228539,0.02974814454313177,0.0276768540286386,0.15902177880520746,0.15900833511434068,16438,9358
chr10,9050,0.00266409482276641,0.0028258305484568503,0.03075030750307503,0.029290347945744054,0.16359163591635917,0.15431492038529585,8943,5087
chr16,4650,0.002504485056383566,0.00258835089916171,0.03294298556896144,0.030835855160179483,0.16149160160870593,0.1584576854847125,33816,19166
chr4,-4950,0.0027940521465035805,0.0024346685957138984,0.031375269811902556,0.03106067456370377,0.1637372802960222,0.16118093860204358,38916,22118
chr18,2950,0.002433330085103618,0.002224158700967289,0.02886864159033327,0.028804824326925133,0.1542462482946794,0.14806577850009622,82096,46763
chr19,-5850,0.0026454754311970655,0.0019220332850940665,0.03271268388025923,0.03020984081041968,0.14700133731097623,0.1416425470332851,9721,5528
chr17,-6450,0.004084636442044474,0.0040365245701495574,0.030149623129710878,0.028181910672499744,0.15969175385307682,0.14925221283955642,17778,9829
chr5,8750,0.002112683504674874,0.0019978546527219094,0.03185683462368321,0.030686128031260775,0.15141515420738672,0.14802896218825423,15758,8701
chr3,-350,0.0020619693585111117,0.001935465737345489,0.030876461016438875,0.0294460948155403,0.15295337497676023,0.1480712291642698,1780353,1016943
chr10,-4550,0.0024865732479619324,0.0023068711331369705,0.030492285084496695,0.029875169479639068,0.16815366852104546,0.16017579129459067,38108,21389
chr6,9550,0.0034569770375977795,0.003912102547028467,0.03321347464042392,0.03429332445480273,0.16029523088569267,0.15798235392042617,10568,6007
chr12,3950,0.002555718419964671,0.0023470112168110183,0.030523653818275535,0.030214397273888968,0.15680621104005926,0.1538264943915945,62083,35215
chr1,-550,0.002120188231132832,0.002025440546524189,0.02981552065085901,0.028557570084752598,0.15255432699696392,0.1481881164612695,1568143,880327
chr9,-2250,0.0018767794169982852,0.0018124981998329443,0.02862030476560225,0.02733733690486477,0.14982893332039213,0.1442365851551024,164848,92584
chr15,4850,0.0023823290850539264,0.002271669206026748,0.031753680102151446,0.030387675639072288,0.15447996723444238,0.15282715422380228,41507,23628
chr15,6150,0.002773368023401096,0.0022902111625716305,0.028487013273360673,0.02551220660962399,0.1580896944040217,0.15173875500431744,22677,12739
chr19,3750,0.0023073485942118653,0.002581051306263771,0.03076923076923077,0.02956344882690492,0.1480305217570633,0.14614658240720563,24245,13767
chr3,1350,0.0022741320919054315,0.0021366780920813087,0.031336112714045815,0.03021206071791781,0.15656817803597634,0.1542845304907906,462693,265490
chr4,-3150,0.0022608593841470554,0.002065998904729097,0.030428019469115358,0.029395657780839825,0.1559435997792162,0.1527726252936916,99645,56607
chr12,-9850,0.002086557923562329,0.002355731507240174,0.03167043695678057,0.029745345602396746,0.15478033099178473,0.1491547185961909,8399,4673
chr14,1050,0.0022616499220329037,0.0022068592002142686,0.030972034548519163,0.030266614995715816,0.15640877447002177,0.15359427163513673,496577,281267
chr8,1850,0.002121481434736728,0.0020694440976470494,0.030202954034714992,0.02895827611176309,0.15427521674958017,0.1490112112661989,285237,160196
