chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr9,35500,0.0029063688212927754,0.0023841981823512167,0.02709125475285171,0.02515391380826737,0.13678707224334602,0.12049252418645559,21040,11370
chr18,-22500,0.0036683708753210828,0.003164794007490637,0.0318118948824343,0.02947277441659464,0.1383372851215175,0.1299913569576491,40488,23140
chr6,-90500,0.003490316663969359,0.0037307046438028813,0.03004801208394023,0.027514047665181167,0.14581647515779253,0.13824840147258283,18537,10322
chr1,33500,0.0033082051898125904,0.0033104499035248713,0.028932404292807946,0.027671890441903147,0.14135832131987827,0.13352393053790768,49944,28332
chr12,87500,0.004085838129752007,0.003961588541666667,0.02970226675193633,0.027473958333333333,0.1409081219356214,0.13177083333333334,14073,7680
chr4,-91500,0.0036113094851652275,0.0038531286985072346,0.029085243134454326,0.02874813881571412,0.14107641368564566,0.14122093689153592,15403,8731
chr7,-34500,0.0036711345434197185,0.003546414008155433,0.029115517784073026,0.02633725113936196,0.1298132410030427,0.12501798992564164,38124,20845
chr14,-85500,0.0032459619921702833,0.0031880127937699903,0.027533639262658473,0.026978167153386176,0.14801275569728553,0.14810179390905298,12857,7191
chr9,77500,0.0025672891755116668,0.002535800706097029,0.029826682789197905,0.030227299773890277,0.1371086927314255,0.12721647030822325,14886,8403
chr4,54500,0.0034019185101862265,0.0030408151823507978,0.030136857892763404,0.02657472037675553,0.15054368203974502,0.14405853166260196,21336,11891
chr1,68500,0.0034538125927402385,0.0034705214742249565,0.029366819480433192,0.027238516217669196,0.14520629858481163,0.13828325667522848,30102,16741
chr19,-64500,0.003844008033921,0.0032983070636310565,0.025775496540950682,0.023350846468184472,0.1421557688016068,0.13738081338781863,8962,5139
chr10,-2500,0.0033644852763697808,0.0030417157265977407,0.031132331643736424,0.028774657655768643,0.14761042722664736,0.1396958015451862,220960,123998
chr13,6500,0.003459148823290476,0.0031305768181348905,0.029718236303499044,0.026768727047475776,0.1441894009101987,0.13587894340958365,80422,45202
chr10,-79500,0.0035298535486293654,0.004137108216174384,0.028614344723995495,0.027473236166645168,0.13819001126549005,0.12859538243260674,13315,7753
chr6,80500,0.00489556135770235,0.004346577164973391,0.028302872062663187,0.027757619738751814,0.14078328981723237,0.13497822931785197,19150,11024
chr4,-88500,0.003676470588235294,0.003423028239710183,0.028353243611069105,0.02645017677098337,0.14063208831090276,0.1360481864606521,13226,7637
chr4,-100500,0.0034380524955800354,0.0033434650455927053,0.03011015911872705,0.02793457808655377,0.14214606283149736,0.1408308004052685,12255,6909
chr13,76500,0.004559532718051052,0.0041046984831668515,0.02407084060863058,0.02241953385127636,0.1283362434522325,0.12896781354051054,8018,4505
chr11,83500,0.00384558540983122,0.0033068145290903253,0.03094794714906447,0.027643844423015106,0.1262747184534894,0.11539697846351656,11277,6222
chr18,-21500,0.003830275723801927,0.0035816012317167055,0.030612024920775218,0.028598922247882987,0.14391963265570096,0.13695150115473442,46387,25980
chr2,64500,0.003501175967500535,0.0036033278109918604,0.030829057087876845,0.029676582871137364,0.13891116100064144,0.13195995101923216,24944,13883
chr18,43500,0.002880036358606517,0.0027538062162351788,0.030173691386567076,0.02725741949063355,0.1400794356511945,0.12986739633761313,16869,9502
chr3,-31500,0.004028110445775116,0.003807998346595019,0.02996007984031936,0.027453411870069926,0.13954091816367264,0.13216906065929523,50100,29031
chr5,-10500,0.0038306230686624733,0.00368549636515314,0.028687895855705803,0.028443173241171096,0.14169716627583334,0.13311881778095577,91258,50346
chr16,-22500,0.00367709911800132,0.003062832635767065,0.03185103158876326,0.029504469591277838,0.1447429770369507,0.13749806231592002,34316,19353
chr1,54500,0.003832215217611166,0.003551994558476374,0.031217341469170348,0.0291681670867843,0.1462427940531976,0.13821870123634616,29663,16662
chr15,-54500,0.0031626506024096386,0.003173278215014442,0.027701715954728003,0.02615470228158041,0.13586162833150786,0.13196597503776133,21912,12579
chr4,21500,0.003098470604514118,0.0030064577145305963,0.0260298390838278,0.025091989182958727,0.1386711596220057,0.12971583100589618,40953,22557
chr17,-92500,0.003581350294257411,0.0028733936532913716,0.03289834411667946,0.03107789142407553,0.15528018423072706,0.1402439024390244,9119,5084
chr16,98500,0.004230223483504789,0.003010657938905673,0.03100390209294076,0.029959718026183284,0.1501241575026605,0.1438821752265861,14095,7944
chr4,79500,0.0036710533715764017,0.0038001398671262303,0.026742028007423653,0.02832309306159149,0.13143242787244813,0.1260302712423198,11854,6673
chr1,86500,0.0036338925941364463,0.0038907844583794416,0.028657774072530222,0.028402803393581703,0.1411525635681534,0.12901143489487274,19192,10844
chr16,69500,0.0048085062906851155,0.004139614474810005,0.03170155004816534,0.031707685338970254,0.15386636307907872,0.1511399667824249,11419,6623
chr4,-37500,0.0026484949224735736,0.0024664006557478463,0.029556138482715634,0.027235187676889528,0.13785938758018856,0.129309144898622,38503,21553
chr18,-6500,0.0033886819402851828,0.003208975310258537,0.029751905144498818,0.027846885775391732,0.1417963138801646,0.13572083278774388,82146,45822
chr19,-21500,0.003344571484413173,0.002810106622616009,0.03141098127905516,0.027706862892326174,0.13699375968505256,0.12884817540171198,23877,13318
chr10,12500,0.004039162875156606,0.0038784081271766,0.03242692149672079,0.029583716775835003,0.14982424638982303,0.139988090727007,65717,36946
chr5,36500,0.003940114308836174,0.0032272119005383876,0.02862778817459916,0.026234711978340024,0.14344241565929897,0.13434786667911494,19771,10711
chr3,-71500,0.0028798862097921276,0.002598870056497175,0.032903192637910646,0.03032524049473202,0.1493496478330163,0.13989922125515347,19451,10915
chr13,46500,0.003676762333024733,0.003591796875000001,0.026583785213596084,0.025703125,0.1443812546841247,0.135078125,22683,12800
chr14,-91500,0.003561402201187548,0.0029640965529217677,0.03189982857568756,0.02865329512893983,0.14563613326376984,0.1413128418859078,13417,7678
chr8,-99500,0.003751515689231952,0.0040373906125696106,0.028746340165025287,0.028639618138424822,0.14213468192706946,0.1381066030230708,11271,6285
chr9,-70500,0.0033183606208802893,0.0030310354829353185,0.029236657452689774,0.02794160301653292,0.13895385923878376,0.13119984530600406,18812,10343
chr1,26500,0.003569882807297909,0.003651595201260983,0.02908176854441337,0.027146151376280684,0.139149687042216,0.13313289938410344,60072,34259
chr8,-26500,0.0035352498288843256,0.0030988538681948423,0.028936976780919287,0.026532951289398282,0.1406728794819144,0.13197707736389686,31655,17450
chr7,39500,0.0044652651412494995,0.004359711221700428,0.029927600758836968,0.028527370855821126,0.13918463742305162,0.1354874886100792,25829,14267
chr17,35500,0.003307026847172833,0.0031180547707838928,0.029758562605277934,0.02644366595095491,0.14168070372449934,0.12882811617131879,16029,8849
chr5,-29500,0.0034890001370448294,0.0035000144688485686,0.028658492345643185,0.02691205833839743,0.13823792594742315,0.13052348294122754,41349,23038
chr14,-63500,0.004538791799061885,0.0043076819769003495,0.029051293690422152,0.029411764705882353,0.14934180662732638,0.14655519742143433,17624,9928
chr13,-87500,0.003331756636906522,0.0029553647158608995,0.028853544610654525,0.02703562340966921,0.1413705433690061,0.1342239185750636,16913,9432
chr15,-84500,0.003438255714174273,0.0031958211177811903,0.03299789375146267,0.029317325143096467,0.1408846243856775,0.13290520731537064,12819,7163
chr9,47500,0.003308391355457094,0.003,0.031874491364499505,0.02812121212121212,0.14404557374084456,0.1334141414141414,22118,12375
chr1,-32500,0.003452882756301714,0.003417052320349659,0.02862341031091256,0.02699575780948708,0.13666822783442015,0.1326327291425633,55514,31116
chr12,-43500,0.004076849106498919,0.003708362863217576,0.029128936613510698,0.0294826364280652,0.13795175895504447,0.13479801559177887,24958,14110
chr17,-16500,0.003395551858573637,0.0033075481632905902,0.03022282718289978,0.028201077866567552,0.14733313167977416,0.1416093662887939,39672,21524
chr17,59500,0.003491111906466238,0.0035537374074692493,0.031048675733715104,0.02871931875104358,0.15515390121689335,0.1405910836533645,11176,5989
chr9,98500,0.0030234809973372066,0.0029493891797556715,0.032824981844589686,0.032984293193717276,0.13623819898329703,0.1301047120418848,6885,3820
chr11,12500,0.0031045888227557456,0.0030173908608731132,0.02720189928442453,0.02515299877600979,0.1351066675583495,0.12548959608323135,59812,32680
