chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr9,35500,0.0024367001517061307,0.0022496447454790703,0.026502052293073914,0.025113068317067364,0.1346756730551695,0.12526779338252797,30941,16804
chr18,-22500,0.0027839663822927423,0.002241792605708546,0.030723251643753734,0.028190671450538187,0.14130304841601912,0.13040321202801983,41825,23412
chr6,-90500,0.0025212212272030096,0.0022648311776351775,0.02742041506244718,0.02601474451317685,0.14921588881585127,0.14464875857978138,21298,11801
chr1,33500,0.002428238894616377,0.002298251634194595,0.027660526366978546,0.024849713406962112,0.1418623198272676,0.1330910107647141,51409,28612
chr12,87500,0.0030060842701926218,0.0034553455345534556,0.02702702702702703,0.025082508250825083,0.1409309987188091,0.1328932893289329,16391,9090
chr4,-91500,0.0031911764464229078,0.0031742001015744033,0.02971639282034597,0.029570410325563474,0.14012255300688684,0.13831631670198422,18441,10382
chr7,-34500,0.0027526730791129165,0.0023811474643977847,0.0279659500498479,0.026184716095061903,0.1332344896341931,0.128077415682368,39119,21081
chr14,-85500,0.0018223169489773251,0.0013167267028919144,0.028090295419902735,0.027535258562793822,0.14850838353778037,0.14318334452652787,13777,7445
chr9,77500,0.0024359252300428774,0.0024595441162640966,0.02927927927927928,0.028527094772021963,0.14202437731849496,0.13738362377655766,15096,8378
chr4,54500,0.002260648283933457,0.0020629190304280558,0.029737691120774304,0.026044352759154205,0.14714546219666153,0.1383015299982809,21387,11634
chr1,68500,0.0027526358526117124,0.0027057978387916132,0.026726902783046524,0.024963843300006287,0.14542883746594476,0.1380242721499088,28997,15903
chr19,-64500,0.003120545842505208,0.0021813022564149253,0.028527692735875312,0.02628943415122684,0.1433342610631784,0.13620430645968953,7186,3994
chr10,-2500,0.0022472565813180753,0.0020116318710260107,0.030250147822087906,0.027978386827688308,0.15008458708363445,0.14101167081244786,243536,133067
