chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr12,-2850,0.004049852570504589,0.003993267734219131,0.03063026109288058,0.028595155275610292,0.15350798972749322,0.1496662592836326,112144,63822
chr14,-4950,0.004382171355349758,0.0041138919850035455,0.03148115790086784,0.030651535109940217,0.16427864173801618,0.16121187556996655,34338,19738
chr19,1750,0.004376867120120171,0.004017356025027307,0.029553241404918225,0.02795185817187901,0.15064389272392784,0.146766131589677,118498,66221
chr19,-9750,0.004850746268656716,0.004892000732198426,0.024452207049857098,0.02580999450851181,0.14734836456017783,0.1372872048325096,3149,1821
chr14,8250,0.0045723730731155425,0.00431655765503876,0.03415358506576156,0.031613372093023256,0.17172252863809928,0.16497093023255813,9428,5504
chr10,5350,0.004157914040878931,0.0041172500241056795,0.028641925911106664,0.026439109054093145,0.161148344503351,0.156551923633208,29991,17285
chr10,1250,0.0040131837251467925,0.0038108039415030892,0.030712763751703936,0.029092046609838117,0.15825763959043768,0.15289747399702824,453362,255740
chr1,6850,0.004626330223844564,0.004501185850532372,0.033171099136682314,0.03330473835595701,0.16707225215829422,0.1642024524398244,34518,19817
chr1,-3250,0.003947556076294039,0.0037896048483738254,0.030456618900612818,0.02960774884935083,0.1582401379664431,0.15530901513590253,151921,87342
chr3,8150,0.003669327393106862,0.003959503501837598,0.0327950003093868,0.03380486790097774,0.16515067136934597,0.163095485749948,16161,9614
chr19,-1050,0.004232054861278524,0.003937619502868069,0.0304298123507866,0.02846277134180632,0.15202852454681898,0.14594112023394443,257182,142256
chr14,-1350,0.003937513792231139,0.0038082920339474638,0.030647010382522485,0.029508568834411532,0.15701614161997493,0.15389853592100783,371586,211464
chr9,-7250,0.003505210204814948,0.003296610527204424,0.029392741645706072,0.02785868051158668,0.14897592526051023,0.14651133341775358,13915,7897
chr7,-4250,0.0041457021481726974,0.0038479806752795566,0.02826067307402609,0.02643578330257301,0.14547618330270254,0.14208554988600586,66382,36844
chr16,-2650,0.0038952700816577194,0.003817089316631022,0.03179626413730485,0.03113351665139016,0.1580998051850742,0.15502597005805072,113441,65460
chr8,7150,0.003915958687323006,0.00364541236341865,0.028885557221389305,0.026672653794342166,0.1519240379810095,0.14638527166591828,20010,11135
chr11,750,0.003414347598803024,0.003159600906864638,0.028339526233774,0.026563046629016943,0.14705512324972192,0.14083889522442175,802801,440198
chr19,2750,0.004205997786052128,0.003926602529456274,0.03141793297775989,0.030014773177674484,0.15262151554795209,0.14938925521565236,49685,27753
chr5,-1550,0.003918861399308326,0.0037111873553300184,0.029836962718048112,0.028442289518017833,0.15627180481131,0.15004314418375314,438550,243370
chr2,-8850,0.004049312992029729,0.00368014785823005,0.02823822795951298,0.026484018264840183,0.16026111192606718,0.15459882583170254,13634,7665
chr12,-8450,0.00496220542463317,0.004347941145337144,0.03254779902178746,0.03080342966020959,0.15571365051133837,0.15560495395363608,11245,6298
chr4,-7050,0.003946278905382207,0.003936339522546418,0.028657982429566797,0.028010610079575598,0.16207209936382913,0.16084880636604776,16505,9425
chr13,6150,0.003660890856012807,0.003277574345317355,0.030652603823335532,0.029793608521970705,0.15279216498728693,0.14655459387483355,21238,12016
chr16,9250,0.0037541981528127623,0.0034069273579379025,0.027707808564231738,0.02680140597539543,0.16272040302267002,0.1680579964850615,7940,4552
chr10,-2750,0.004211881772299253,0.004048976782729609,0.030760889498401358,0.029551806958158348,0.16011130689927364,0.15513294099470484,125419,71197
chr14,-950,0.003961278564709789,0.0037804394035176017,0.030822912632103138,0.029840486580373526,0.1569952415205002,0.15397740175409524,578336,325866
chr15,6750,0.0041293701024713685,0.0042311785049215225,0.030831826401446653,0.03192338387869114,0.1525768535262206,0.1501197126895451,22120,12530
chr13,-350,0.003620634605411034,0.0034258594002935993,0.029327269089377918,0.027403238467781636,0.15049393924009807,0.1445468939182267,1339436,751590
chr17,-3350,0.004138746098769965,0.003956245360059391,0.030613181567835508,0.029955456570155903,0.15738020928951715,0.15484409799554566,65364,35920
chr15,1650,0.0039984165381199465,0.003739354050893587,0.031633010797924556,0.03061066095433237,0.15525872949095498,0.15199155567973674,285240,161055
chr4,-9950,0.004111604769499506,0.003629216415475957,0.029163818637502847,0.03033861812487767,0.16552745500113922,0.1630456057936974,8778,5109
chr10,-3550,0.0040120866391274886,0.0039800708795507895,0.028811225493410267,0.02908823123302803,0.15946495311782835,0.15512956229576103,76255,43454
chr10,-6650,0.0037214747394802798,0.00424471240146726,0.03251549927450204,0.03324748302505268,0.1634349030470914,0.16178880824162958,15162,8542
chr1,2950,0.003918416659749698,0.003717921376270704,0.029798301192485405,0.02964384730219663,0.158570124228758,0.15672075844820565,180715,103158
chr12,4350,0.004071760073373744,0.0036169892084162293,0.029749467281792417,0.029661783324290106,0.1561950472722759,0.15037077229155363,48337,27645
chr15,-5650,0.004436127586243353,0.004387850032561169,0.033810143042912875,0.03226346636896456,0.16058232103777476,0.1599218531956461,31529,17915
chr2,-2250,0.003686825028183995,0.003411597447560209,0.0291759119464285,0.028346534793759655,0.1514287193909867,0.14890963966389412,251029,141146
chr18,-8550,0.003932983825083313,0.003816526610644258,0.03291880029261156,0.027941176470588237,0.14703730797366496,0.1369747899159664,8202,4760
chr15,350,0.0037085923739863043,0.0034925430365563125,0.030388781864167876,0.02874402266654733,0.15074493885002876,0.146257041111729,1211039,681533
chr12,-5450,0.004235610001678134,0.003961392704879204,0.029266655479107232,0.027475130270014213,0.1582815908709515,0.1504618664140218,29795,16888
chr2,-2550,0.0036559425684658336,0.0034235049133188367,0.029689012857881034,0.02822336292018679,0.15284473719855718,0.1484778811535308,199333,112212
chr11,-6650,0.004079416949735563,0.00386223191566703,0.02687362944489831,0.026795451004829413,0.15178225910478566,0.14916653684374512,23257,12838
chr12,5350,0.004165038426468672,0.00418227570287963,0.031164517389605316,0.02979906913384039,0.1587208545004559,0.15393347712566693,30708,17618
chr12,8550,0.0036678028689106665,0.003247503121098627,0.028653600340860674,0.029213483146067417,0.1583936940775458,0.1646067415730337,9388,5340
chr7,8650,0.004505873866446826,0.003745110720995411,0.02942085737840066,0.027995934583756814,0.1560181368507832,0.15337706735655549,19408,10823
chr15,-2550,0.004037037280284073,0.0038350594286508657,0.030552800782866263,0.029227775074720234,0.155430477929345,0.15231343110678622,152261,86322
chr10,-9950,0.0036474733843154896,0.0029550209205020926,0.028939871045134204,0.026673640167364017,0.15369620632778527,0.15219665271966526,6669,3824
chr6,8650,0.004272567380103052,0.004093096189371483,0.029280618311533887,0.025132104652661424,0.15725326991676575,0.155174635906689,13456,7759
chr1,-350,0.003666671931963011,0.0034519155519297197,0.02913156834749552,0.02793459171980869,0.15038783295320818,0.14562808265245117,2279074,1284608
chr13,-3850,0.003627530835466605,0.0034726095081550183,0.028873965224907743,0.027414952009157886,0.15211609428504938,0.1481405383192932,60158,34069
chr14,1350,0.004072368875295122,0.003950546159183551,0.03061287623843611,0.029018904963086244,0.15651303737299557,0.15236821766075384,371739,210897
chr11,6050,0.003602367548301054,0.0035286002334712937,0.02889211486031937,0.02776185928048392,0.15302906914987785,0.14957020057306591,28243,15705
chr14,6950,0.004306526806526806,0.003855172687889988,0.03363636363636364,0.03398116132109217,0.1665034965034965,0.1621557171813521,14300,8387
chr7,-3950,0.0036239650317320222,0.0036197290636670143,0.027159248518471818,0.025967251780287567,0.14513932669272475,0.1413571007393296,79310,44094
chr5,-9750,0.003868909512761021,0.004065667180421279,0.02614075792730085,0.02620148521787866,0.1636504253673627,0.15440661342300688,12930,7137
chr10,-2850,0.004068040986834119,0.0037822550754597803,0.03159278437502776,0.031102688988771082,0.16069065361625026,0.15562307174290949,112589,63853
chr7,-4750,0.004039525738941279,0.0038418882105285823,0.02818315464878626,0.027069806505798367,0.14875040338484707,0.1472364893239009,55778,30957
chr12,1450,0.003679962939728031,0.003528056560002421,0.029707249865676525,0.028885339942207957,0.15343793054800975,0.14992281931172985,333151,187223
chr9,5650,0.004039227001672067,0.004124805526988898,0.031118213699116614,0.03053555889565699,0.1557242420206863,0.15022545684676844,22527,12641
chr8,4850,0.0036398526567065887,0.0033495826870522196,0.028892455858747994,0.026552921190634463,0.15794130962670289,0.1512667109830859,48594,27078
chr11,-6750,0.0036024865258076247,0.0033293283493532693,0.02856859438547763,0.026432894268422925,0.14968753099890883,0.14480242079031683,20162,11236
chr18,-7750,0.004508806944180447,0.004636294236326954,0.03278844326173731,0.032880745951251435,0.1608059304314769,0.16047767053819728,10522,6113
chr2,1850,0.0036585091567727253,0.0034788027482725355,0.028677971143015304,0.02790877615682587,0.15193017920633653,0.14893168985460403,363101,204201
chr10,-3450,0.004033911459176347,0.003930896526641207,0.029781988869106168,0.028717948717948718,0.16011554216417445,0.1580796508456083,80317,45825
chr2,9950,0.004195230279038332,0.003288509990039257,0.02906246982717003,0.029179117595359464,0.15931254224196195,0.15433292318509403,10357,5689
chr1,-4550,0.0038256378666952345,0.0038903950576888616,0.03093363329583802,0.030499918199453104,0.1634795650543682,0.16177811017365087,74676,42787
chr8,3650,0.003797073332130181,0.0034620871098192,0.029056127052878543,0.028583540241022224,0.1562218011189316,0.15177940612446758,88656,49539
chr4,9950,0.004621762718804381,0.005042090494563311,0.0330637731599959,0.03402314977200982,0.17606715119254784,0.17695545422658715,9769,5702
chr13,-1150,0.003954794110733594,0.003759079410162831,0.029531807594503922,0.02807809183502069,0.15219992734577004,0.14677340540870706,467970,261948
chr7,5850,0.004066100667070952,0.00373899973860765,0.028041237113402062,0.026400627341639803,0.14755609460278957,0.1447677964624902,41225,22954
chr6,-4150,0.004349744764085684,0.004258226513512014,0.02889493185757677,0.027523444869874035,0.15606761763910754,0.15348759780256369,62883,36042
chr16,8450,0.003940656998210955,0.003447592629284724,0.03117505995203837,0.02853180106994254,0.16158501770012562,0.15831186843669506,8757,5047
chr2,-5850,0.0037420576735092866,0.0034523452095009343,0.028846153846153848,0.027572057646116893,0.15556620798556284,0.15232185748598878,35464,19984
chr6,-7350,0.004412041746731472,0.004516166434771087,0.029784107607098452,0.028622540250447227,0.16638408500056517,0.1638839196978732,17694,10062
chr10,9050,0.0039974279284106734,0.0038393253439857966,0.03075768942235559,0.03062583222370173,0.16654163540885222,0.15693361232642192,9331,5257
chr16,4650,0.004006522402253683,0.003797378170418923,0.03127523281477095,0.030255533390329627,0.16253969962857295,0.15849719768215065,37154,21054
chr4,-4950,0.0040436548464479975,0.00385523428603172,0.02997411110847208,0.029664194650445796,0.1639313113079828,0.16127822681443213,42103,24002
chr18,2950,0.0037686011904761907,0.0036798646702173986,0.028708791208791207,0.027756004421666165,0.1540521978021978,0.1488895588383077,87360,49755
chr19,-5850,0.004624915139171758,0.004221943348870562,0.031059063136456212,0.030476873431337398,0.14979633401221995,0.1427034779490857,9820,5578
chr17,-6450,0.0035649562470874536,0.003359776014932338,0.02899601304820587,0.026784881007932804,0.16149743695956092,0.1512832477834811,19313,10715
chr5,8750,0.004001566096833843,0.0038272043884599754,0.03130306804030341,0.02752945956928078,0.15125099060341898,0.1450629825274279,17666,9844
chr3,-350,0.003739756599549734,0.0035048934354143,0.03049106455926653,0.02915246648386822,0.15266418743459761,0.14779846286490306,1891177,1080972
chr10,-4550,0.004142046322424008,0.0036381514257620455,0.029423823650001207,0.029156513188833312,0.16527988809299857,0.15625667991962722,41463,23391
chr6,9550,0.0044564645432878325,0.004706298655343241,0.031943541647321015,0.03331700146986771,0.16157489089051907,0.15988894332843379,10769,6123
chr12,3950,0.003735506110937011,0.00351337335242501,0.031009088060169224,0.02971142196277123,0.15918207458476966,0.15574402467232074,63820,36316
chr1,-550,0.0037310253590853394,0.003562633697568872,0.029607293084910342,0.02833448963663169,0.15259433890427065,0.14834684762813286,1641555,922480
chr9,-2250,0.0037558152891849985,0.003561361093825977,0.027850209637585433,0.02713482744902019,0.149750157946126,0.14473268114537535,174110,98029
chr15,4850,0.004150018435329616,0.004063933296216761,0.03173886543714305,0.031257456454306845,0.1576333551547439,0.15581006919589596,44299,25146
chr15,6150,0.004122991636403653,0.004063164065362351,0.028557279630241003,0.025939766981754233,0.15945856718388907,0.15336704037517404,24232,13647
chr19,3750,0.003930361550008905,0.003820445755929627,0.027898633692084573,0.02655757494467172,0.14689718342111288,0.14351820803433707,26202,14911
chr3,1350,0.003947619346043722,0.003741713344200309,0.030974748363020332,0.030076643864794167,0.15628480919255813,0.15411155431786255,494661,284041
