chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr12,-2850,0.002162903582117556,0.002180654209594505,0.03021361973327039,0.029628207589428555,0.15391878273974344,0.15055672873872145,110149,62508
chr14,-4950,0.0023946997178557034,0.0021952056602777335,0.03334340991535671,0.032155868842071916,0.16532648125755744,0.1621521727651935,33080,18939
chr19,1750,0.0023566210635796885,0.002182943862031654,0.030666691283717667,0.028618273960351766,0.15097945091667744,0.14716549908083668,108326,60381
chr19,-9750,0.0023014322916666665,0.002429593721144968,0.026953125,0.02631578947368421,0.152734375,0.139196675900277,2560,1444
chr14,8250,0.0029024038994128723,0.0029105799026117756,0.03345518998559876,0.03187250996015936,0.1686052952254348,0.16429520015177385,9027,5271
chr10,5350,0.002514404492743053,0.0030000212842943193,0.02931952446940413,0.028414532916161164,0.1631901393042083,0.1591852372134602,27422,15661
chr10,1250,0.0022522127736851662,0.002098647322680123,0.031475471966269514,0.029932716568544997,0.15822299073832816,0.1528174936921783,422170,237800
chr1,6850,0.002289673968939628,0.0021410366092753,0.03341561246528849,0.032723772858517804,0.16433199629743905,0.16388621537803444,32410,18702
chr1,-3250,0.002359866144937189,0.002269986650695898,0.03079036465560304,0.030078280964537633,0.15800355220069934,0.15521893262029499,144136,82651
chr3,8150,0.0022646629096222085,0.0022661744022503517,0.03249843456480902,0.03270042194092827,0.1593613024420789,0.15780590717299578,15970,9480
chr19,-1050,0.002310830630667851,0.002304555907763068,0.030936396124687557,0.02931941077754988,0.15204610712883967,0.14648517620734663,242045,134075
chr14,-1350,0.0022430355160418043,0.0021370772416797524,0.031375623425797736,0.030234758268231073,0.1571338815588286,0.1542362797592923,359706,205062
chr9,-7250,0.002251978088861838,0.002097635392829901,0.027921485088253196,0.02705613137703594,0.1492696287279367,0.14658769686364248,13144,7429
chr7,-4250,0.002432522621800742,0.0023927300243827246,0.028263670086451753,0.027073232252459292,0.1452917164630834,0.1419803256635184,64429,35681
chr16,-2650,0.002402616682789468,0.0023180395090460753,0.03242119781240722,0.032017288670933425,0.15869625599816103,0.15564790956695204,104407,60155
chr8,7150,0.0020437125036115505,0.0019289417505336994,0.029266302962320908,0.027721866422689846,0.1524499056748075,0.1484903934126258,19613,10930
chr11,750,0.001942238545871661,0.001812569630562289,0.02874594666137251,0.0269411369507795,0.14735225994308782,0.1412911348966024,755550,413791
chr19,2750,0.0020278215339560265,0.001940098464641639,0.03097197878996295,0.02830526692941598,0.15155414549730437,0.14686094191647756,45073,25119
chr5,-1550,0.002380333330031728,0.0022478585079771136,0.030405305018769625,0.029083444395745936,0.15621626172482445,0.15035465433501194,403844,223598
chr2,-8850,0.0022139745869738914,0.0020411907710655474,0.02721719631949277,0.024907114352552634,0.16098353050336348,0.15370854547956517,12933,7267
chr12,-8450,0.0024431716484696613,0.002526431599849729,0.03230714157866476,0.02978586379004991,0.15786647574727045,0.15488649170825955,11174,6211
chr4,-7050,0.0021895921772371115,0.002310622791519435,0.03009567255908256,0.029814487632508834,0.1609326490527783,0.16243374558303886,15783,9056
chr13,6150,0.0025423728813559325,0.00222880983750549,0.030597162002364998,0.031093544137022398,0.1524931020890816,0.1466842336407554,20296,11385
chr16,9250,0.00239211360816214,0.001817632850241546,0.02688542671997794,0.026328502415458938,0.1608989383703295,0.16328502415458937,7253,4140
chr10,-2750,0.002218544552878819,0.0023328831870357866,0.030829864191633114,0.029949733663440618,0.15980515935303352,0.1554655262960462,117224,66645
chr14,-950,0.002195611396639298,0.002094097172173374,0.03117847368373513,0.030202277422764618,0.1570684033203566,0.15384935697240507,553555,312195
chr15,6750,0.0018503537324323467,0.0017813147432667006,0.030408299229085372,0.03183268940030237,0.15580089464166746,0.15135225936502603,21014,11906
chr13,-350,0.0020324145613782583,0.0018483796851895256,0.029650917269401524,0.02782805621521493,0.15019129879147244,0.14394630357006713,1264514,708278
chr17,-3350,0.003549860126177293,0.0031185887248244572,0.030618882172830104,0.029358222324963157,0.15687021084193994,0.15268587280030052,63033,34607
chr15,1650,0.0024486760708475495,0.002236608938976814,0.03216367558635884,0.031029198367169806,0.15511161089946604,0.15198611280632518,261444,147474
chr4,-9950,0.002242306730047536,0.002159896840747905,0.028646484863647736,0.030947775628626693,0.16074555916937702,0.1614012465076295,7994,4653
chr10,-3550,0.002142522966995577,0.002042147599697521,0.029346716570261992,0.029092812803829183,0.15909606442100488,0.15391518958940992,70536,40113
chr10,-6650,0.001845444059976932,0.0021777670333212457,0.032702354298120635,0.032515411579838026,0.16303684103399146,0.16003868004351504,14739,8273
chr1,2950,0.0024168713210930494,0.002326582113553528,0.03034732779791837,0.030169620539617557,0.15833820605777102,0.1562278202372013,171020,97217
chr12,4350,0.0021326138116872497,0.0019639423677179314,0.029690932747477763,0.029103303618248557,0.15557878122133822,0.1503108847104652,46883,26698
chr15,-5650,0.0024538347266950763,0.0026177013726274103,0.033473211671708795,0.03078416814209835,0.1591034774405517,0.1566622879661888,30741,17509
chr2,-2250,0.0020581973778508495,0.0017659476491154308,0.029783735930188442,0.02859052038050619,0.15192023945027613,0.1483658805775165,237210,133191
chr18,-8550,0.0029807862974795883,0.002558782849239281,0.033280085197018104,0.028354080221300138,0.14470181043663471,0.1355463347164592,7512,4338
chr15,350,0.0021207173843194767,0.002003665425617048,0.030744283576052137,0.02916335413993687,0.15086774222386662,0.146318962870839,1129771,635215
chr12,-5450,0.002120230776736924,0.0016368085198120122,0.029896077283372364,0.027874789807269436,0.1561402224824356,0.14778165825895745,27328,15462
chr2,-2550,0.002095994763792622,0.0019216972753963964,0.0297951582867784,0.028330062292004438,0.1520278742669932,0.1476045548065345,187413,105471
chr11,-6650,0.0023104636591478695,0.0020269535920008695,0.02662907268170426,0.02526899250081513,0.15127103472968134,0.14892402999673948,22344,12268
chr12,5350,0.0021778181778831064,0.002151194739734334,0.031068402428334904,0.029674265249275196,0.15819887673278576,0.15473821840714003,30803,17591
chr12,8550,0.0025583085211966544,0.0021208427106776694,0.029136537643555935,0.028882220555138786,0.16035729476818375,0.16579144786196548,9404,5332
chr7,8650,0.00311804008908686,0.002858093198338525,0.029659405725460372,0.02949766355140187,0.15552175566299092,0.15440031152647976,18409,10272
chr15,-2550,0.0022066557059735774,0.0021256226425959515,0.031126036310210936,0.02962771011488296,0.15484660859831392,0.15154431816779576,142935,81039
chr10,-9950,0.0022028076463560336,0.0024929884699283265,0.030107526881720432,0.02991586163913992,0.15519713261648746,0.15394203801807416,5580,3209
chr6,8650,0.0027504859280560214,0.002978520175193365,0.02915568336129084,0.026698350573105954,0.16207364805495647,0.15837293821638243,12519,7154
chr1,-350,0.0019862970225331326,0.0018669854681824466,0.02955551692993307,0.028164346436435676,0.15022068088571114,0.14554974850193564,2168969,1222077
chr13,-3850,0.0021926928088243165,0.002031583709455123,0.029057418744533884,0.02768045955244137,0.1520516893640566,0.14821828740965187,56027,31683
chr14,1350,0.0022879675302303303,0.0021743697478991595,0.03098521325792907,0.029866534849233812,0.1575198384354456,0.1536777063766683,357009,202300
chr11,6050,0.0025011172827683077,0.002155987637235907,0.02853859413905382,0.027539440907832825,0.15368703313541468,0.1501522280653197,26105,14452
