chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr12,-2850,0.0025154270068133535,0.0024229136480337582,0.030225934737682997,0.028902615724853198,0.1540211520761336,0.15001906504995044,115166,65565
chr14,-4950,0.0024749534238241895,0.0023383084577114424,0.031595756815330216,0.031243781094527363,0.16479411429223223,0.1625373134328358,35068,20100
chr19,1750,0.0025280407297320583,0.002289229334064233,0.029699211682605326,0.028187706467015766,0.15058800723701216,0.1463914253977871,123808,69321
chr19,-9750,0.002733671171171171,0.002488797973894409,0.025,0.025131502045587374,0.14662162162162162,0.13617767387492694,2960,1711
chr14,8250,0.00237063103495172,0.0024818649818649815,0.032843737250102,0.03123903123903124,0.17390860873113015,0.1691821691821692,9804,5698
chr10,5350,0.002292341749815522,0.0022614415415971837,0.028489845680002568,0.027015008337965538,0.16064037986460908,0.15792106725958865,31169,17990
chr10,1250,0.0023781557870256563,0.0022942209644623837,0.030592243780339482,0.029308670450062215,0.158561531835214,0.15354996813450275,467831,263608
chr1,6850,0.0030811571215468574,0.003258287043864392,0.03319549085141336,0.03264022022317259,0.16444796918370816,0.1636435137393698,35306,20343
chr1,-3250,0.0023949225587496415,0.002259170252799046,0.030075622376006264,0.029575811769965907,0.15908303054425,0.1566757950036327,155774,89465
chr3,8150,0.002223791395472594,0.0024814814814814816,0.03321871546113226,0.03472868217054263,0.16425150435957264,0.16361757105943153,16286,9675
chr19,-1050,0.0023670881396036674,0.0021191388188841276,0.030050280981958,0.027995962377918755,0.15250665483584738,0.1459894513780725,270480,149593
chr14,-1350,0.0021533556094258445,0.001986432545917247,0.030785559850619145,0.029626011914909302,0.15736880036690035,0.15410133662613631,381575,217039
chr9,-7250,0.0022441304653451426,0.002456020812685828,0.030156052298608182,0.02923686818632309,0.1487417404751863,0.1465559960356789,14226,8072
chr7,-4250,0.0026773261974107647,0.0024256265480597653,0.02885909016987241,0.027245851865661704,0.14559647540620058,0.14152928329826617,67639,37547
chr16,-2650,0.002287807555680696,0.0023793699322078956,0.031655020008361706,0.03111938204321562,0.1590942056808389,0.15608430442937954,117201,67707
chr8,7150,0.0022695747250236625,0.002058927155817846,0.02844413982179575,0.0266889808861094,0.15083716831489277,0.14604069408966794,20426,11353
chr11,750,0.002006934372258314,0.0018651024062205403,0.02818826560385093,0.026623188821748932,0.1474838434735866,0.14145017893767758,825982,452951
chr19,2750,0.0020786334759496953,0.0020308732146169543,0.03160248930377285,0.029841402337228713,0.15256709451575262,0.14931135225375627,51420,28752
chr5,-1550,0.0023625033926434145,0.002200525642466772,0.0296750626248604,0.028114110449151318,0.15662444216043533,0.1505066401169046,449502,249092
chr2,-8850,0.00228411023365248,0.0017869692835586423,0.02865329512893983,0.02592087312414734,0.1595499336082186,0.15143246930422918,14309,8063
chr12,-8450,0.0034109405883036856,0.003733623323494381,0.03296128357167771,0.029982911294081094,0.158702476456226,0.1575267981979183,11468,6437
chr4,-7050,0.002424457705787629,0.0025268603263032233,0.02875816993464052,0.027855153203342618,0.16254617789144643,0.16165937126939914,17595,10052
chr13,6150,0.0027008350976240885,0.0022822036327626197,0.030875088214537758,0.030568368384020016,0.15503705010585744,0.14932374325697756,22672,12791
chr16,9250,0.0031754705525197328,0.0031459879816189465,0.027443837279902853,0.02926829268292683,0.16162720097146327,0.16797454931071049,8235,4715
chr10,-2750,0.002594743993337819,0.002565840873578255,0.03055218235398764,0.029447836040553798,0.16089011269501188,0.15594680039245612,129287,73384
chr14,-950,0.002204130284410428,0.002054767557051822,0.03074132215814154,0.029868864026406587,0.15713934404139493,0.1540234765085421,593696,334462
chr15,6750,0.001750552766822039,0.0016745749308026891,0.031104338472570815,0.032344800316330566,0.15363929723915382,0.15183867141162516,22312,12645
chr13,-350,0.002222489022305051,0.0020806758485192693,0.02930045260095018,0.027491222214459994,0.15059881303786715,0.14456631141539042,1378477,772974
chr17,-3350,0.003261648477972023,0.0030404548337410525,0.03012704716122001,0.030252786083174776,0.1570249167699267,0.1541179668388149,66983,36790
chr15,1650,0.002177687366805264,0.0020685079106122126,0.031547162543719975,0.03070498499449088,0.1557548723909881,0.15251441198492752,290771,164273
chr4,-9950,0.002304983651324063,0.0022223254661463175,0.02888864934784952,0.029176732949265937,0.16438503826668105,0.16372421482995725,9277,5381
chr10,-3550,0.0026970469240043073,0.002728725003758833,0.028985880323838698,0.029273793414524133,0.15867581377987722,0.15324763193504737,77693,44340
chr10,-6650,0.0022070903588413313,0.0026814755290246045,0.032814526588845656,0.03271725404660774,0.16245136186770429,0.16129032258064516,15420,8711
chr1,2950,0.002499581422730636,0.0023677122114962564,0.02981890456978358,0.029831658124840135,0.1583194257659964,0.15605490768195984,185151,105559
chr12,4350,0.0027399142206138588,0.0022904637844435053,0.029634097305991154,0.029362061681453316,0.1570365902694009,0.1509998591747641,49740,28404
chr15,-5650,0.002593419681405389,0.0025863116946267936,0.03311001935387822,0.03011357715952902,0.15891022778025904,0.15723663644889027,33585,19194
chr2,-2250,0.002371480317642142,0.002160001192515589,0.02883082305227473,0.028028702932900357,0.15095354561074906,0.1480829165262021,258404,145351
chr18,-8550,0.0025771660112024787,0.0026682493806771262,0.03229650816350852,0.02786952931461602,0.1473006792992492,0.13769611890999175,8391,4844
chr15,350,0.002086571990101192,0.0019330563362255791,0.030253974961618153,0.028824922317583702,0.15119596313735761,0.14675803479544225,1244729,700609
chr12,-5450,0.0029401619506457667,0.0028429791554679565,0.028058627943272036,0.026757450874992535,0.1562393974350275,0.14847996177507017,29474,16743
chr2,-2550,0.002273042663375324,0.002064727766983524,0.029200869854828282,0.027733003406724577,0.1528221303606763,0.14874578515853032,204172,114773
chr11,-6650,0.0023984694858901435,0.002234737918818452,0.027738850877916083,0.026495022827632664,0.15266672162229,0.14886610283661403,24262,13361
chr12,5350,0.00258755645818128,0.0027557027225901397,0.030749214609843558,0.029194260485651213,0.15691936661060515,0.1534216335540839,31513,18120
chr12,8550,0.002243824896062607,0.0018099963248805588,0.028403731265066554,0.029952223447262036,0.15952206267686825,0.1679529584711503,9541,5442
chr7,8650,0.003371852362883753,0.0030746414025146092,0.029123343024688317,0.02842217106428192,0.154289656531809,0.15202762528776342,20293,11294
chr15,-2550,0.002195085896501842,0.002039238912604579,0.030403243688428522,0.029065999150705138,0.1559948050302512,0.15278367565876227,157845,89486
chr10,-9950,0.0022865934532335934,0.0018021152240467575,0.028807894318000956,0.026718619537990537,0.15215661308292217,0.14917895908711384,6283,3593
chr6,8650,0.0030553662906604084,0.0034835705499912145,0.028314028314028315,0.0279388508170796,0.15807404042698162,0.15669478123352662,13209,7588
chr1,-350,0.002229749299024765,0.002096400444699833,0.029128138544081254,0.02789584416453083,0.1506633910000818,0.14600150192605293,2335199,1315644
chr13,-3850,0.002159824343147575,0.002100071165046725,0.028740948674598872,0.027445362098994324,0.15263644773358,0.14908140906792516,62698,35598
chr14,1350,0.0022931891769402066,0.0022252942795167314,0.030604907766926828,0.02923501930092377,0.15643670497182674,0.15238736515871953,382455,216829
chr11,6050,0.0019668807799189105,0.001801083512215067,0.02883695503621703,0.02778288868445262,0.15238485718190514,0.14989267095982828,29268,16305
chr14,6950,0.002405100628502711,0.002263863144887241,0.03287727179906065,0.03313253012048193,0.16438635899530324,0.16137627432808155,14691,8632
chr7,-3950,0.0024983366192756233,0.002262259500423059,0.026634501169468902,0.026045690321156605,0.14543049925913226,0.14236839200971196,81661,45305
chr5,-9750,0.0021234676007005258,0.0021476748313809016,0.025758902510215995,0.025692225772097975,0.1653531815528313,0.1597444089456869,13704,7512
chr10,-2850,0.0022843514373734105,0.0021190077036682235,0.030985651796504008,0.030580170039516224,0.1605620138546117,0.15526583642677524,117506,66808
chr7,-4750,0.0026952714233998178,0.0026073334160565827,0.027547449533693046,0.026864375232659138,0.14818390249788826,0.14673036356868097,58009,32236
chr12,1450,0.002371403050948386,0.002277859163904733,0.02975637949454437,0.02875354549138173,0.15350485431225225,0.15041714719113966,342582,192498
chr9,5650,0.0022489076630521562,0.0022454314852202724,0.0308757566520054,0.030361857431278148,0.1552062012803205,0.14986799192421182,22963,12878
chr8,4850,0.00226142665901702,0.002161231417821734,0.029116465863453816,0.02720688260597816,0.15867551840013114,0.15272620316923416,48804,27199
chr11,-6750,0.0022144166157605375,0.0022413162191071328,0.027348338893848974,0.027022462421888195,0.149898970913021,0.14592129707819626,21281,11842
chr18,-7750,0.0021342090569808105,0.002175890826383624,0.03138499515119457,0.02941622441243366,0.15771841664462663,0.1555724033358605,11343,6595
chr2,1850,0.002321264710941095,0.0021872538093499604,0.028674009417523728,0.02779912764444786,0.1518069164498691,0.1486030782237765,370161,208172
chr10,-3450,0.0026183608113870987,0.002383900601134536,0.030209766577352935,0.028638557277114556,0.160330219422116,0.15800948268563203,82854,47244
chr2,9950,0.002481403441560515,0.001967146030632527,0.028062446125850016,0.027183444405471765,0.1589886026242697,0.15766397755173622,10441,5702
chr1,-4550,0.00249407370474366,0.002636003843338214,0.0303881176686698,0.03063232064421669,0.16184690476815283,0.15972730600292825,76214,43712
chr8,3650,0.002117443062456234,0.0019932508585597413,0.029521935820912112,0.0288794303671586,0.15604610579434683,0.15066231751461873,89967,50278
chr4,9950,0.002788368281997258,0.0033436479284854733,0.0328082672820307,0.03421007392126526,0.1766830540784589,0.1782705862128245,9967,5817
chr13,-1150,0.0024009833159264185,0.002241324609854134,0.029652574755359443,0.02833631860184512,0.1525558803914249,0.1472611722737254,476822,266866
chr7,5850,0.0029353936958823896,0.0027572111676692885,0.028312464959820594,0.026460813596398975,0.14719211362362175,0.14463001135837786,42808,23771
chr6,-4150,0.0027074321767851846,0.00257354582384715,0.02912844740313526,0.02812374447569305,0.15662484277694266,0.1541449042453462,65194,37335
chr16,8450,0.003597855227882037,0.003535400135326321,0.03131367292225201,0.02952574275696623,0.16085790884718498,0.15722458018084517,9325,5419
chr2,-5850,0.002394068178947178,0.0023560817084493967,0.02785447458177684,0.02761502257227932,0.15610957717503113,0.15430794352127558,36942,20822
chr6,-7350,0.0032118147016471747,0.0036080246913580247,0.029501633126119482,0.028703703703703703,0.16547255294489516,0.16583333333333333,18982,10800
chr10,9050,0.0020736052021721836,0.0021789480099957334,0.030714952786136764,0.02998720058511611,0.16810210646466742,0.15816419820808192,9637,5469
chr16,4650,0.0022589546345834774,0.002019691700347777,0.03172828661928718,0.0305009869348623,0.16279379275466474,0.15927248801579097,37569,21278
chr4,-4950,0.0021879804980567594,0.002249305978739251,0.03029600611946872,0.03038797481210644,0.1644839016249044,0.1621369083891936,43141,24615
chr18,2950,0.0020622807114633254,0.0019897453825088855,0.028146410032208437,0.027753500747732526,0.15488826661058783,0.14948824020664608,90349,51489
chr19,-5850,0.0032482560792750506,0.0026523637199149866,0.031390573049090556,0.03119076339824229,0.15098767846665362,0.14458038945373083,10226,5803
chr17,-6450,0.003886522274686923,0.003915681202266568,0.030075959761855883,0.02891722099039172,0.1611065489632519,0.1512379896526238,19484,10824
chr5,8750,0.002854076071998679,0.0026274490369048798,0.030935212197941323,0.02814946971949648,0.15379534320471183,0.14768559817623153,18167,10089
chr3,-350,0.0024081197462031815,0.002235724128639079,0.030363896818608103,0.029075338201778843,0.15312986303628662,0.14832879510484842,1940660,1108362
chr10,-4550,0.002401685720272882,0.0022550758106863514,0.029453537917064426,0.02886716978019712,0.16677920324105333,0.15905810548888613,42949,24249
chr6,9550,0.002736444077033771,0.00263399115712283,0.031229907228804997,0.03235198964736331,0.16019105355010563,0.15771594953089615,10887,6182
chr12,3950,0.002623954482288471,0.0025642265193370167,0.030771651065838117,0.029226519337016574,0.15875088492094705,0.15546961325966852,63565,36200
chr1,-550,0.002296196034132074,0.0021918533327835643,0.02947258890062207,0.028170398931755637,0.1528180817159955,0.14851493522764156,1683734,945851
chr9,-2250,0.0022854811450498964,0.0021602594209995103,0.02812222459556385,0.026811500064955182,0.15044237838810132,0.14514984660584196,177902,100069
chr15,4850,0.002323659337664759,0.002249061972753141,0.03168968633019233,0.030331646143385963,0.15702852717180843,0.15483115509556547,46482,26474
chr15,6150,0.0024559586193822697,0.0024430717054263564,0.028598123248161838,0.025944767441860465,0.1604175975951578,0.15457848837209304,24617,13760
chr19,3750,0.0021444763671188373,0.002208258909585779,0.027930319671236863,0.026218423067108955,0.14619776702913045,0.1444245981117632,27497,15676
chr3,1350,0.002427096992624892,0.002280988919661213,0.03082230505690531,0.02974977726516151,0.156555567237935,0.15413941474262904,504083,289582
chr4,-3150,0.0021454318694598727,0.002040928508606609,0.030271641097994392,0.0289295137580098,0.15751968996124516,0.15355258198266114,111986,63672
chr12,-9850,0.003541642756035043,0.003168749573174896,0.03259497302880753,0.029297275148535137,0.1537931826007116,0.148740012292563,8713,4881
chr14,1050,0.0022377925627080114,0.0021211340634503845,0.030431096230093452,0.029691057451016238,0.15698700751800543,0.1535871570305619,531923,300865
chr8,1850,0.0021898588437816997,0.0019937929927406556,0.029876971282164343,0.028900634375167215,0.15465274367736612,0.14920599059436257,299361,168197
chr11,8750,0.0025710245532844836,0.002507323197098619,0.028924026224450443,0.029850746268656716,0.16799074431160818,0.16152880457525456,12965,7169
chr7,4250,0.002934666480862133,0.002822968490878938,0.027675585284280938,0.02661691542288557,0.14613991081382385,0.1430099502487562,71760,40200
chr6,-2050,0.002568744048660098,0.002542441188557624,0.029433140947161818,0.028063292260116748,0.1535746905303251,0.1514600404601835,257295,146811
chr9,1750,0.002275839999235795,0.0021691945133921644,0.029012347890255304,0.027934992757830793,0.14917053844252517,0.14531556077360405,279157,156721
chr15,3450,0.0022010552287797676,0.0020482103016781455,0.030169849976868682,0.029741003007081192,0.1550899918489635,0.1527403239887477,90786,51545
chr14,6350,0.0023890981099382942,0.002137365760268031,0.032673845011404024,0.03114062640222561,0.1687795045881292,0.16970295252624967,18853,11143
chr5,-1950,0.0023570462486380886,0.0021609114067364845,0.0295268687931272,0.028287574299462215,0.15535810446957457,0.1512652136994056,319404,176650
chr9,450,0.002202024378779365,0.00206923911601069,0.02867917059844284,0.027356595805688933,0.1466388173217271,0.14140918918434564,1414755,781201
chr13,-4250,0.0025502396580288603,0.0023103893189722878,0.029138369313654818,0.027633793335577247,0.15384907235269568,0.14779535509929317,52714,29710
chr4,-8650,0.0022924016112487178,0.0022953564190677594,0.03235007130526158,0.0323817076394396,0.17008181340538917,0.17129262490087233,13323,7566
chr12,-6450,0.0028215308045282583,0.0029320522481788495,0.029603417770681397,0.02856066314996232,0.15673413023777671,0.15440844009042953,23173,13270
chr17,-5450,0.0036785830538218767,0.0038613519527353644,0.026748184944593044,0.02539706897874626,0.15564896191567953,0.15100130438118622,23553,13033
chr17,-3250,0.003353746030864369,0.0032278122998344607,0.02889715888577221,0.02824985650470415,0.1558724692420918,0.1490604177584787,72014,40071
chr8,2050,0.0023890924202212417,0.0022562244784467005,0.030138358815116218,0.028770266865504962,0.15591944748254263,0.15094005570196045,261494,146853
chr2,-3450,0.0024055816078044035,0.002270257724889494,0.029417784145006717,0.028072285343545274,0.153255443535829,0.1485900560179764,112381,63194
chr1,-6050,0.0027451904024883545,0.0027576513056237263,0.029833337071846752,0.02948852791087219,0.16412821605616743,0.16306337891005415,44581,25671
chr8,-250,0.002209945540915858,0.0020501465890260307,0.029483580956764274,0.027565851426809736,0.15023416262934816,0.14359795773374454,1807718,1012013
chr2,-7850,0.0016789705731569773,0.0015458871720731304,0.028093919819542706,0.026926899792174934,0.15261970675689532,0.14764615523628807,19506,11067
chr14,-3450,0.002097492608378451,0.002056029862882064,0.031179203624774412,0.030047677126067193,0.1624364832520575,0.1573345160217319,78129,45095
chr13,-6650,0.002330337119958825,0.0024567648397373384,0.02751737068490129,0.02642871074702555,0.1498841954339914,0.14618685391066902,18134,10254
chr3,-8850,0.0035386891872383423,0.003341803569318048,0.0335643135556518,0.03451128708190521,0.16009816659448534,0.16286490958515543,13854,8461
chr14,-2550,0.0021840839206108665,0.0020556621880998076,0.031587929791522605,0.030607805502239283,0.15984492930600716,0.15868202175303903,135938,78150
chr9,2050,0.0022187327377664336,0.0021538700039461073,0.028710070668012726,0.02821748689328598,0.14985523533781595,0.1450025367833587,209996,118260
chr8,3150,0.002464265200172593,0.0022873529339523,0.030464930289313776,0.028295630388328052,0.1563976353607559,0.14996684105813868,121287,67855
chr19,-9450,0.0012965639049454078,0.0016784574837009293,0.023603082851637765,0.02663337494798169,0.1498073217726397,0.14606741573033707,4152,2403
chr8,-8650,0.0017178144539448975,0.0014430577223088924,0.030357261218267383,0.030121204848193927,0.16517531649764697,0.156486259450378,15087,8333
chr15,5650,0.0022783216938996004,0.0019793391688352653,0.03074147091255388,0.02927608232789212,0.16262906405586927,0.15643482375207002,29927,16908
chr10,9850,0.0032597701149425285,0.0038586956521739126,0.026758620689655174,0.02681159420289855,0.1733793103448276,0.17294685990338166,7250,4140
chr4,7850,0.0024254643206256107,0.002039870190078813,0.03313782991202346,0.03224174990517133,0.16180351906158358,0.16070299658616766,13640,7909
chr5,-8250,0.0026270948600753746,0.002641547049441786,0.028025018041857107,0.02631578947368421,0.15660331970170796,0.1464767290126142,16628,9196
chr8,-9150,0.002219014762139454,0.002455000420556817,0.029641625008800958,0.0290184203885945,0.16010701964373725,0.15455463033055766,14203,7926
chr2,-6150,0.0029496156399220577,0.003040224954723096,0.0298387614826235,0.028653131255361737,0.15574612963319842,0.15338861881612811,31134,17485
chr10,-50,0.00213865602972691,0.001941117211228779,0.02874258891235288,0.026405479429554592,0.14422982527066452,0.13417621720616435,4227281,2435290
chr6,3750,0.002569151019659808,0.0024867823123306825,0.029077180788559143,0.029450318972297475,0.15693677025776934,0.15492003845145505,79994,45772
chr18,3750,0.002201174212916342,0.0019767147139204797,0.029868328551614066,0.02919201269505422,0.15464270106971176,0.15085294895530282,52631,30248
chr18,-10050,0.0017330664633371457,0.0014814814814814816,0.02497140678612276,0.023880597014925373,0.15135341212352268,0.14129353233830846,5246,3015
chr1,-4150,0.00248280297827343,0.0024805016396348485,0.031014597028267435,0.030330079386181485,0.1633035724019143,0.16314050214608578,91731,52654
