chrom,dist,all_pi,ncpg_pi,all_div1,ncpg_div1,all_div2,ncpg_div2,all_sites,ncpg_sites
chr12,-2850,0.004024015814266487,0.00393527065947862,0.031775740242261104,0.030906136917509784,0.15251724427994617,0.14803190310907613,95104,54164
chr14,-4950,0.004817708333333333,0.0047871528005062084,0.033717105263157895,0.030961576225698763,0.1638755980861244,0.162466452837599,26752,15277
chr19,1750,0.004063714711491366,0.0037582399165766636,0.0320345147406705,0.030594763695951734,0.1498660886420242,0.1467915533872109,95959,53702
chr19,-9750,0.0019652945924132368,0.0017835997631734754,0.029055690072639227,0.027531083481349913,0.16464891041162227,0.15896980461811722,2065,1126
chr14,8250,0.004795523127505293,0.005191891055400804,0.035535738413727876,0.033890436397400185,0.16768004323740035,0.1606313834726091,7401,4308
chr10,5350,0.0038347925119225565,0.0037220736117303216,0.03032244287849669,0.02868182493684054,0.16105060858424086,0.15663545846336752,23415,13458
chr10,1250,0.0037895758866883724,0.0036020065965398232,0.032397366701623576,0.030650014386243825,0.15727314156449548,0.15193824156210226,364258,205057
chr1,6850,0.0038687677752626388,0.0039658816425120775,0.03270067908758489,0.03176328502415459,0.16447849555981195,0.16243961352657005,28715,16560
chr1,-3250,0.004039362786700615,0.004052824589888584,0.032474499191340135,0.03177313700240748,0.15776873929126167,0.15605229270477577,124898,71444
chr3,8150,0.004046168426753317,0.003991108071135431,0.0346872461413485,0.032968536251709986,0.1562144597887896,0.15294117647058825,12310,7310
chr19,-1050,0.00377285564583206,0.00350592672261696,0.031686583365836005,0.02966607667617991,0.15153451784044397,0.14543406644591425,212803,118081
chr14,-1350,0.003955239033613166,0.0038113241410523526,0.03234160403171581,0.03155067069316665,0.156438695417718,0.15360980405927382,300418,170868
chr9,-7250,0.0034265350877192985,0.0035951945545057403,0.03185595567867036,0.031545260591283146,0.15096952908587258,0.15163060042669918,11552,6562
chr7,-4250,0.004000712607372597,0.0038916796581788785,0.029679134085744,0.027819158150008662,0.14419706482801126,0.14113978867140134,51922,28865
chr16,-2650,0.003938706831897472,0.0037743043604435353,0.03362128259830495,0.0327387580733332,0.15707807272176175,0.1538336943977648,85779,49391
chr8,7150,0.003562115955830669,0.0034123782748645237,0.029385756071015578,0.027380515829360713,0.15053397728045712,0.14484781811514486,14701,8181
chr11,750,0.003333535244931388,0.0032234658027636416,0.029861211015287232,0.028391045114423846,0.1474388775734264,0.1411342597071612,660355,361769
chr19,2750,0.003903669035939534,0.0038760735644588337,0.03291120232255481,0.031026574935923378,0.15244268695565122,0.14726381581905662,39956,22239
chr5,-1550,0.004045879431795181,0.003839299490819318,0.03171992280259643,0.030514838245126782,0.15641596515284117,0.15065061976032507,350789,194430
chr2,-8850,0.003521218011013929,0.003468769643979657,0.028085519922254616,0.02760157723298474,0.15364431486880467,0.14966569518258185,10290,5833
chr12,-8450,0.004821062843591678,0.0046810300207039334,0.03718874636197046,0.03571428571428571,0.15489921310768567,0.15081521739130435,9277,5152
chr4,-7050,0.004239766081871345,0.004429419377872987,0.029771398192450824,0.028383987146873745,0.15652768284347232,0.16026241799437677,13167,7469
chr13,6150,0.003917184505488123,0.004013401029254309,0.03327719379754922,0.03284633716713294,0.15448051570939078,0.149829033260802,17219,9651
chr16,9250,0.0033435992933199634,0.0029275873655913976,0.02950866638017476,0.028981854838709676,0.16473284629709212,0.17237903225806453,6981,3968
chr10,-2750,0.003680539417270379,0.0036084081836327345,0.03146376211213386,0.030421300256629598,0.15845045518384174,0.15388865126889079,98971,56112
chr14,-950,0.0037557450036793645,0.0035681360330522076,0.03218340741879422,0.03137152244264615,0.15716365841264962,0.15405014739190312,468378,263583
chr15,6750,0.004161635907165719,0.003804347826086957,0.03409417581785776,0.03398652786282915,0.15132524578853562,0.1494182486221678,17393,9798
chr13,-350,0.003740441669870997,0.003528600019367959,0.03074257537716858,0.028930888666516028,0.14989120354662866,0.14397010878336938,1105275,619580
chr17,-3350,0.0036232573178385983,0.0035682992067884154,0.03246666793464823,0.03095600442722745,0.15590467314605247,0.15173630326508025,52577,28912
chr15,1650,0.0036005373578501033,0.0034495590992438753,0.033374892107029826,0.03245719760182953,0.15460735677480666,0.15174763582421658,229394,129432
chr4,-9950,0.003961728210494842,0.004248619737750173,0.029600837195395427,0.030279503105590064,0.16011361937509344,0.15476190476190477,6689,3864
chr10,-3550,0.003706493591100833,0.0037766313174739654,0.03094512939950162,0.03109773574089997,0.15878108763986384,0.1530524505588994,61399,34890
chr10,-6650,0.0034378753138988973,0.0033720367682631837,0.03488372093023256,0.033962264150943396,0.15492957746478872,0.15268505079825834,12212,6890
chr1,2950,0.0037846619381524697,0.0037389729048519223,0.031150320991642104,0.03181710775047259,0.1573262809383454,0.15531663516068053,148602,84640
chr12,4350,0.004166777697835336,0.004091530372924529,0.03168385429157673,0.029868132892223103,0.15319636528366243,0.14840874143795724,37527,21461
chr15,-5650,0.003672979334176836,0.0036805306561491576,0.033263948410268966,0.03133739691645751,0.15680992612546427,0.15453567586948727,24501,13945
chr2,-2250,0.003724295438599902,0.0037030050735007156,0.03092081917567167,0.03004206235635922,0.1510604270874348,0.1476605524478557,205719,115305
chr18,-8550,0.004778650092683459,0.0049404761904761904,0.03483807654563297,0.03371428571428572,0.15276414785737652,0.1397142857142857,6114,3500
chr15,350,0.0033965841872696414,0.003257544922545679,0.031476762233960155,0.030130463285139,0.15047976016547854,0.1460994287278569,987681,555252
chr12,-5450,0.004067409311625249,0.003425377291603363,0.03260497000856898,0.03091765420844728,0.15882604970008568,0.15116985718626558,23340,13164
chr2,-2550,0.003484674329501916,0.003478265665155576,0.030177073625349486,0.029504869682229797,0.15144454799627213,0.14739199011724738,160950,90663
chr11,-6650,0.0038493060867664736,0.003711902629920738,0.02966888864604961,0.029748283752860413,0.14883619276581794,0.14894040393990648,18302,10051
